codMunRes6,codMunRes,idMes,numCasos,edad,delay,para,agriPecu,dom,turViaj,gariMine,roadHuntwood,impo,male,populacao,ano,nomeMunRes,codMicroRes,nomeMicroRes,codUF,siglaUF,mes,Y,rhum,temp
120001,1200013,1,5,36.4,2.4,4,0.2,0.4,0,0,0,0.2,0.4,8695,2003,Acrelândia,12004,Rio Branco,12,AC,1,5,88.84677419354838,298.42806451612904
120005,1200054,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3667,2003,Assis Brasil,12005,Brasiléia,12,AC,1,0,81.7741935483871,299.46096774193546
120010,1200104,1,2,21,4.5,4.5,0,0,0,0,0,1,1,17944,2003,Brasiléia,12005,Brasiléia,12,AC,1,2,88.84677419354838,298.42806451612904
120013,1200138,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6641,2003,Bujari,12004,Rio Branco,12,AC,1,0,88.84677419354838,298.42806451612904
120017,1200179,1,2,5,3,3.5,0,0,0,0,0,0,0.5,6196,2003,Capixaba,12004,Rio Branco,12,AC,1,2,88.84677419354838,298.42806451612904
120020,1200203,1,20,18.85,4.35,3.75,0.15,0.05,0.05,0,0,0.4,0.6,73488,2003,Cruzeiro do Sul,12001,Cruzeiro do Sul,12,AC,1,20,90.05645161290323,298.6893548387097
120025,1200252,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12137,2003,Epitaciolândia,12005,Brasiléia,12,AC,1,0,88.84677419354838,298.42806451612904
120030,1200302,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29481,2003,Feijó,12002,Tarauacá,12,AC,1,0,93.45967741935485,296.89774193548385
120032,1200328,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4529,2003,Jordão,12002,Tarauacá,12,AC,1,0,93.26612903225806,298.3825806451613
120033,1200336,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12197,2003,Mâncio Lima,12001,Cruzeiro do Sul,12,AC,1,0,90.05645161290323,298.6893548387097
120034,1200344,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6915,2003,Manoel Urbano,12003,Sena Madureira,12,AC,1,0,81.7741935483871,299.46096774193546
120035,1200351,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8362,2003,Marechal Thaumaturgo,12001,Cruzeiro do Sul,12,AC,1,0,93.26612903225806,298.3825806451613
120038,1200385,1,11,23.454545454545453,7.363636363636363,3.636363636363636,0.3636363636363637,0.09090909090909093,0.18181818181818185,0,0,0.9090909090909092,0.7272727272727273,16131,2003,Plácido de Castro,12004,Rio Branco,12,AC,1,11,88.84677419354838,298.42806451612904
120080,1200807,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12116,2003,Porto Acre,12004,Rio Branco,12,AC,1,0,88.84677419354838,298.42806451612904
120039,1200393,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5189,2003,Porto Walter,12001,Cruzeiro do Sul,12,AC,1,0,90.05645161290323,298.6893548387097
120040,1200401,1,39,20.82051282051282,4.512820512820513,3.9743589743589745,0.4615384615384616,0.10256410256410256,0.05128205128205128,0,0.10256410256410256,0.5384615384615384,0.7435897435897436,274555,2003,Rio Branco,12004,Rio Branco,12,AC,1,39,88.84677419354838,298.42806451612904
120042,1200427,1,169,13.976331360946746,2.284023668639054,3.437869822485207,0.22485207100591717,0.1124260355029586,0,0.0059171597633136,0.0059171597633136,0.0059171597633136,0.5502958579881657,8541,2003,Rodrigues Alves,12001,Cruzeiro do Sul,12,AC,1,169,90.05645161290323,298.6893548387097
120043,1200435,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2729,2003,Santa Rosa do Purus,12003,Sena Madureira,12,AC,1,0,81.7741935483871,299.46096774193546
120050,1200500,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31129,2003,Sena Madureira,12003,Sena Madureira,12,AC,1,0,88.84677419354838,298.42806451612904
120045,1200450,1,4,16,8.25,3.25,0,0.5,0,0,0,1,0.5,21174,2003,Senador Guiomard,12004,Rio Branco,12,AC,1,4,88.84677419354838,298.42806451612904
120060,1200609,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26834,2003,Tarauacá,12002,Tarauacá,12,AC,1,0,93.45967741935485,296.89774193548385
120070,1200708,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12357,2003,Xapuri,12005,Brasiléia,12,AC,1,0,88.84677419354838,298.42806451612904
