codMunRes6,codMunRes,idMes,numCasos,edad,delay,para,agriPecu,dom,turViaj,gariMine,roadHuntwood,impo,male,populacao,ano,nomeMunRes,codMicroRes,nomeMicroRes,codUF,siglaUF,mes,Y,rhum,temp
120001,1200013,1,14,23.071428571428573,2.4285714285714284,4.428571428571429,0.42857142857142855,0.14285714285714285,0,0,0.14285714285714285,0.07142857142857142,0.7142857142857143,8695,2003,Acrelândia,12004,Rio Branco,12,AC,1,14,88.84677419354838,298.42806451612904
120005,1200054,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3667,2003,Assis Brasil,12005,Brasiléia,12,AC,1,0,81.7741935483871,299.46096774193546
120010,1200104,1,2,25,6.5,5,0.5,0,0,0,0,1,1,17944,2003,Brasiléia,12005,Brasiléia,12,AC,1,2,88.84677419354838,298.42806451612904
120013,1200138,1,2,25,2,4,0,1,0,0,0,0,0,6641,2003,Bujari,12004,Rio Branco,12,AC,1,2,88.84677419354838,298.42806451612904
120017,1200179,1,2,16.5,1.5,3.5,0,0.5,0,0,0,0,0.5,6196,2003,Capixaba,12004,Rio Branco,12,AC,1,2,88.84677419354838,298.42806451612904
120020,1200203,1,114,21.228070175438596,3.9473684210526314,3.719298245614035,0.14912280701754385,0.05263157894736842,0,0,0,0.05263157894736842,0.5877192982456141,73488,2003,Cruzeiro do Sul,12001,Cruzeiro do Sul,12,AC,1,114,90.05645161290323,298.6893548387097
120025,1200252,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12137,2003,Epitaciolândia,12005,Brasiléia,12,AC,1,0,88.84677419354838,298.42806451612904
120030,1200302,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29481,2003,Feijó,12002,Tarauacá,12,AC,1,0,93.45967741935485,296.89774193548385
120032,1200328,1,3,21.666666666666668,4.666666666666667,3.6666666666666665,0.3333333333333333,0,0.3333333333333333,0,0,0.3333333333333333,1,4529,2003,Jordão,12002,Tarauacá,12,AC,1,3,93.26612903225806,298.3825806451613
120033,1200336,1,139,20.618705035971225,3.949640287769784,3.3956834532374103,0.2949640287769784,0.17985611510791366,0.02158273381294964,0,0.02877697841726619,0.1079136690647482,0.48201438848920863,12197,2003,Mâncio Lima,12001,Cruzeiro do Sul,12,AC,1,139,90.05645161290323,298.6893548387097
120034,1200344,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6915,2003,Manoel Urbano,12003,Sena Madureira,12,AC,1,0,81.7741935483871,299.46096774193546
120035,1200351,1,1,9,6,3,0,0,0,0,0,0,0,8362,2003,Marechal Thaumaturgo,12001,Cruzeiro do Sul,12,AC,1,1,93.26612903225806,298.3825806451613
120038,1200385,1,34,26.558823529411764,3.264705882352941,3.7058823529411766,0.2647058823529412,0.29411764705882354,0.02941176470588235,0,0.02941176470588235,0.6470588235294118,0.5882352941176471,16131,2003,Plácido de Castro,12004,Rio Branco,12,AC,1,34,88.84677419354838,298.42806451612904
120080,1200807,1,4,16.5,2.5,3.25,0.5,0.25,0,0,0,0.25,0.75,12116,2003,Porto Acre,12004,Rio Branco,12,AC,1,4,88.84677419354838,298.42806451612904
120039,1200393,1,2,6.5,5.5,4.5,0,0,0,0,0,0,0,5189,2003,Porto Walter,12001,Cruzeiro do Sul,12,AC,1,2,90.05645161290323,298.6893548387097
120040,1200401,1,73,26.95890410958904,4.917808219178082,4,0.3972602739726027,0.1095890410958904,0.0136986301369863,0,0.0136986301369863,0.5616438356164384,0.6986301369863014,274555,2003,Rio Branco,12004,Rio Branco,12,AC,1,73,88.84677419354838,298.42806451612904
120042,1200427,1,109,14.605504587155965,2.0642201834862384,3.706422018348624,0.1926605504587156,0.07339449541284404,0,0,0.0091743119266055,0.0091743119266055,0.5963302752293578,8541,2003,Rodrigues Alves,12001,Cruzeiro do Sul,12,AC,1,109,90.05645161290323,298.6893548387097
120043,1200435,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2729,2003,Santa Rosa do Purus,12003,Sena Madureira,12,AC,1,0,81.7741935483871,299.46096774193546
120050,1200500,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31129,2003,Sena Madureira,12003,Sena Madureira,12,AC,1,0,88.84677419354838,298.42806451612904
120045,1200450,1,14,33.57142857142857,4.428571428571429,4.428571428571429,0.5,0,0,0,0.21428571428571427,0.9285714285714286,0.8571428571428571,21174,2003,Senador Guiomard,12004,Rio Branco,12,AC,1,14,88.84677419354838,298.42806451612904
