codMunRes6,codMunRes,idMes,numCasos,edad,delay,para,agriPecu,dom,turViaj,gariMine,roadHuntwood,impo,male,populacao,ano,nomeMunRes,codMicroRes,nomeMicroRes,codUF,siglaUF,mes,Y,rhum,temp
130002,1300029,1,2,20.5,1.5,2.5,0,0,0,0,0,0,0,13278,2003,Alvarães,13005,Tefé,13,AM,1,2,94.83870967741936,297.58870967741933
130006,1300060,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8111,2003,Amaturá,13003,Alto Solimões,13,AM,1,0,89.43548387096774,299.00129032258064
130008,1300086,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6729,2003,Anamã,13006,Coari,13,AM,1,0,86.44354838709677,299.1974193548387
130010,1300102,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12138,2003,Anori,13006,Coari,13,AM,1,0,86.44354838709677,299.1974193548387
130014,1300144,1,2,32,0,3.5,0.5,0,0,0,0,0,1,16369,2003,Apuí,13013,Madeira,13,AM,1,2,93.12096774193547,297.9861290322581
130020,1300201,1,8,17.375,1.5,2,0.125,0,0.375,0,0.375,0,0.625,11682,2003,Atalaia do Norte,13003,Alto Solimões,13,AM,1,8,94.84677419354838,298.078064516129
130030,1300300,1,4,21.25,1,4,0,0,0,0,0,0.25,0.5,26575,2003,Autazes,13007,Manaus,13,AM,1,4,95.2016129032258,298.2829032258065
130040,1300409,1,1,2,2,6,0,0,0,0,0,0,0,28252,2003,Barcelos,13001,Rio Negro,13,AM,1,1,87.48387096774194,298.7287096774194
130050,1300508,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24518,2003,Barreirinha,13010,Parintins,13,AM,1,0,92.81451612903226,298.10483870967744
130060,1300607,1,9,21.11111111111111,4.444444444444445,4.444444444444445,0.1111111111111111,0.1111111111111111,0,0,0.4444444444444444,0.8888888888888888,0.8888888888888888,24731,2003,Benjamin Constant,13003,Alto Solimões,13,AM,1,9,94.84677419354838,298.078064516129
130063,1300631,1,1,23,2,2,1,0,0,0,0,0,1,12148,2003,Beruri,13006,Coari,13,AM,1,1,92.53225806451611,298.90096774193546
130068,1300680,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11399,2003,Boa Vista do Ramos,13010,Parintins,13,AM,1,0,92.81451612903226,298.10483870967744
130070,1300706,1,8,29.75,2.875,2.875,0.75,0,0,0,0.25,0,0.875,27561,2003,Boca do Acre,13011,Boca do Acre,13,AM,1,8,94.0241935483871,298.1316129032258
130080,1300805,1,28,22.964285714285715,1.8214285714285712,2.8214285714285716,0.03571428571428571,0,0,0.03571428571428571,0,0,0.6428571428571429,32131,2003,Borba,13013,Madeira,13,AM,1,28,91.86290322580643,298.7293548387097
130083,1300839,1,3,15.666666666666666,0.6666666666666666,3.3333333333333335,0,0.6666666666666666,0,0,0,0,0.3333333333333333,9411,2003,Caapiranga,13006,Coari,13,AM,1,3,95.2016129032258,298.2829032258065
130090,1300904,1,9,12.11111111111111,1.7777777777777777,5,0.1111111111111111,0,0,0,0,0,0.3333333333333333,11311,2003,Canutama,13012,Purus,13,AM,1,9,90.25806451612904,299.06387096774193
130100,1301001,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24691,2003,Carauari,13004,Juruá,13,AM,1,0,80.58064516129032,300.08451612903224
