codMunRes6,codMunRes,idMes,numCasos,edad,delay,para,agriPecu,dom,turViaj,gariMine,roadHuntwood,impo,male,populacao,ano,nomeMunRes,codMicroRes,nomeMicroRes,codUF,siglaUF,mes,Y,rhum,temp
130002,1300029,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13278,2003,Alvarães,13005,Tefé,13,AM,1,0,94.83870967741936,297.58870967741933
130006,1300060,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8111,2003,Amaturá,13003,Alto Solimões,13,AM,1,0,89.43548387096774,299.00129032258064
130008,1300086,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6729,2003,Anamã,13006,Coari,13,AM,1,0,86.44354838709677,299.1974193548387
130010,1300102,1,2,16,6.5,5,0.5,0,0,0,0,0,0.5,12138,2003,Anori,13006,Coari,13,AM,1,2,86.44354838709677,299.1974193548387
130014,1300144,1,39,23.128205128205128,0,3.6153846153846154,0,0,0,0,0,0,0.717948717948718,16369,2003,Apuí,13013,Madeira,13,AM,1,39,93.12096774193547,297.9861290322581
130020,1300201,1,10,19.3,5.5,2,0.4,0.1,0.1,0,0.1,0,0.7,11682,2003,Atalaia do Norte,13003,Alto Solimões,13,AM,1,10,94.84677419354838,298.078064516129
130030,1300300,1,22,20.045454545454547,10.090909090909092,3.4545454545454546,0.2727272727272727,0.18181818181818185,0,0.04545454545454545,0,0.2727272727272727,0.6363636363636364,26575,2003,Autazes,13007,Manaus,13,AM,1,22,95.2016129032258,298.2829032258065
130040,1300409,1,175,22.154285714285713,4.9714285714285715,3.851428571428571,0.2228571428571429,0.14285714285714285,0,0,0.09142857142857144,0.02285714285714285,0.5714285714285714,28252,2003,Barcelos,13001,Rio Negro,13,AM,1,175,87.48387096774194,298.7287096774194
130050,1300508,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24518,2003,Barreirinha,13010,Parintins,13,AM,1,0,92.81451612903226,298.10483870967744
130060,1300607,1,5,27.2,2.6,4.4,0.2,0.2,0,0,0,0.8,0.8,24731,2003,Benjamin Constant,13003,Alto Solimões,13,AM,1,5,94.84677419354838,298.078064516129
130063,1300631,1,8,15.75,5.5,2,0.75,0,0,0,0,0.5,0.25,12148,2003,Beruri,13006,Coari,13,AM,1,8,92.53225806451611,298.90096774193546
130068,1300680,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11399,2003,Boa Vista do Ramos,13010,Parintins,13,AM,1,0,92.81451612903226,298.10483870967744
130070,1300706,1,49,22.693877551020407,4.755102040816326,3.7551020408163263,0.4897959183673469,0.1020408163265306,0.02040816326530612,0,0.04081632653061224,0.14285714285714285,0.7346938775510204,27561,2003,Boca do Acre,13011,Boca do Acre,13,AM,1,49,94.0241935483871,298.1316129032258
