codMunRes6,codMunRes,idMes,numCasos,edad,delay,para,agriPecu,dom,turViaj,gariMine,roadHuntwood,impo,male,populacao,ano,nomeMunRes,codMicroRes,nomeMicroRes,codUF,siglaUF,mes,Y,rhum,temp
160010,1600105,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7265,2003,Amapá,16002,Amapá,16,AP,1,0,88.29032258064517,299.3009677419355
160020,1600204,1,18,32.22222222222222,6,2.0555555555555554,0.16666666666666666,0.2222222222222222,0,0.3333333333333333,0,0.05555555555555555,0.7777777777777778,7218,2003,Calçoene,16001,Oiapoque,16,AP,1,18,88.29032258064517,299.3009677419355
160021,1600212,1,1,24,3,3,0,0,1,0,0,1,1,3774,2003,Cutias,16003,Macapá,16,AP,1,1,94.55645161290325,298.52612903225804
160023,1600238,1,3,21.333333333333332,7.333333333333333,3.6666666666666665,0.6666666666666666,0,0,0,0,1,1,3935,2003,Ferreira Gomes,16003,Macapá,16,AP,1,3,94.55645161290325,298.52612903225804
160025,1600253,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3381,2003,Itaubal,16003,Macapá,16,AP,1,0,94.55645161290325,298.52612903225804
160027,1600279,1,6,23.666666666666668,1.8333333333333333,2.8333333333333335,0.16666666666666666,0,0,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.8333333333333334,32133,2003,Laranjal do Jari,16004,Mazagão,16,AP,1,6,96.06451612903226,297.23064516129034
160030,1600303,1,5,32,3.2,3.8,0.4,0,0,0,0,1,0.6,318761,2003,Macapá,16003,Macapá,16,AP,1,5,94.55645161290325,298.52612903225804
160040,1600402,1,28,12.25,2.5,3.9642857142857144,0.6071428571428571,0.21428571428571427,0,0.03571428571428571,0,0,0.5714285714285714,12933,2003,Mazagão,16004,Mazagão,16,AP,1,28,96.06451612903226,297.23064516129034
160050,1600501,1,13,20.076923076923077,5.076923076923077,3.5384615384615383,0.15384615384615383,0.15384615384615383,0,0.07692307692307693,0.4615384615384616,0.15384615384615383,0.7692307692307693,14528,2003,Oiapoque,16001,Oiapoque,16,AP,1,13,86.0241935483871,298.50935483870967
160015,1600154,1,38,21.92105263157895,0.5526315789473685,3.9210526315789473,0.07894736842105263,0,0,0.07894736842105263,0,0.21052631578947367,0.7894736842105263,4794,2003,Pedra Branca do Amapari,16003,Macapá,16,AP,1,38,96.06451612903226,297.23064516129034
160053,1600535,1,83,23.14457831325301,2.783132530120482,2.963855421686747,0.3734939759036144,0.07228915662650602,0,0.13253012048192772,0,0.5903614457831325,0.6867469879518072,12828,2003,Porto Grande,16003,Macapá,16,AP,1,83,96.06451612903226,297.23064516129034
160055,1600550,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2553,2003,Pracuúba,16002,Amapá,16,AP,1,0,88.29032258064517,299.3009677419355
160060,1600600,1,18,20.88888888888889,3.7222222222222223,4,0.3333333333333333,0,0,0.05555555555555555,0,0.5555555555555556,0.8888888888888888,89369,2003,Santana,16003,Macapá,16,AP,1,18,94.55645161290325,298.52612903225804
160005,1600055,1,15,25.333333333333332,2.466666666666667,4.266666666666667,0.3333333333333333,0.2,0,0,0.13333333333333333,0.13333333333333333,0.7333333333333333,3724,2003,Serra do Navio,16003,Macapá,16,AP,1,15,96.06451612903226,297.23064516129034
160070,1600709,1,9,17.22222222222222,3.888888888888889,4.222222222222222,0.4444444444444444,0,0,0.1111111111111111,0,0.2222222222222222,0.5555555555555556,7869,2003,Tartarugalzinho,16002,Amapá,16,AP,1,9,88.29032258064517,299.3009677419355
160080,1600808,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9781,2003,Vitória do Jari,16004,Mazagão,16,AP,1,0,96.06451612903226,297.23064516129034
