codMunRes6,codMunRes,idMes,numCasos,edad,delay,para,agriPecu,dom,turViaj,gariMine,roadHuntwood,impo,male,populacao,ano,nomeMunRes,codMicroRes,nomeMicroRes,codUF,siglaUF,mes,Y,rhum,temp
160010,1600105,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7265,2003,Amapá,16002,Amapá,16,AP,1,0,88.29032258064517,299.3009677419355
160020,1600204,1,12,27.583333333333332,4.333333333333333,2.9166666666666665,0.25,0.08333333333333333,0,0.25,0,0,0.75,7218,2003,Calçoene,16001,Oiapoque,16,AP,1,12,88.29032258064517,299.3009677419355
160021,1600212,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3774,2003,Cutias,16003,Macapá,16,AP,1,0,94.55645161290325,298.52612903225804
160023,1600238,1,12,22.75,3.0833333333333335,4.75,0.5833333333333334,0.08333333333333333,0,0.08333333333333333,0,0.9166666666666666,0.5833333333333334,3935,2003,Ferreira Gomes,16003,Macapá,16,AP,1,12,94.55645161290325,298.52612903225804
160025,1600253,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3381,2003,Itaubal,16003,Macapá,16,AP,1,0,94.55645161290325,298.52612903225804
160027,1600279,1,11,30,2.5454545454545454,2.636363636363636,0.18181818181818185,0,0,0.8181818181818182,0,0.9090909090909092,0.5454545454545454,32133,2003,Laranjal do Jari,16004,Mazagão,16,AP,1,11,96.06451612903226,297.23064516129034
160030,1600303,1,26,23.346153846153847,5.1923076923076925,4.576923076923077,0.19230769230769232,0.07692307692307693,0,0,0.1153846153846154,0.8461538461538461,0.7307692307692307,318761,2003,Macapá,16003,Macapá,16,AP,1,26,94.55645161290325,298.52612903225804
160040,1600402,1,23,21.217391304347824,2.1739130434782608,4.043478260869565,0.2608695652173913,0.2608695652173913,0,0,0.08695652173913043,0.04347826086956521,0.6086956521739131,12933,2003,Mazagão,16004,Mazagão,16,AP,1,23,96.06451612903226,297.23064516129034
160050,1600501,1,29,18.689655172413794,4.448275862068965,3.5172413793103448,0.27586206896551724,0.1724137931034483,0.03448275862068965,0.03448275862068965,0.03448275862068965,0.03448275862068965,0.7241379310344828,14528,2003,Oiapoque,16001,Oiapoque,16,AP,1,29,86.0241935483871,298.50935483870967
160015,1600154,1,34,23.705882352941178,2.0294117647058822,4.088235294117647,0.38235294117647056,0.2058823529411765,0,0.02941176470588235,0,0.17647058823529413,0.5,4794,2003,Pedra Branca do Amapari,16003,Macapá,16,AP,1,34,96.06451612903226,297.23064516129034
160053,1600535,1,50,23.24,2.24,3.72,0.32,0.08,0,0.14,0,0.46,0.62,12828,2003,Porto Grande,16003,Macapá,16,AP,1,50,96.06451612903226,297.23064516129034
160055,1600550,1,2,2.5,5,2,0,0,0,0,0,1,0,2553,2003,Pracuúba,16002,Amapá,16,AP,1,2,88.29032258064517,299.3009677419355
160060,1600600,1,60,22.1,3.85,4.116666666666666,0.3,0.1,0.01666666666666666,0.05,0.03333333333333333,0.6,0.6333333333333333,89369,2003,Santana,16003,Macapá,16,AP,1,60,94.55645161290325,298.52612903225804
160005,1600055,1,10,25.9,2.9,4.3,0,0,0,0.3,0.2,0.1,1,3724,2003,Serra do Navio,16003,Macapá,16,AP,1,10,96.06451612903226,297.23064516129034
160070,1600709,1,45,17.977777777777778,11.044444444444444,4.4,0.6888888888888889,0.02222222222222222,0,0,0,0.04444444444444444,0.5555555555555556,7869,2003,Tartarugalzinho,16002,Amapá,16,AP,1,45,88.29032258064517,299.3009677419355
160080,1600808,1,2,19.5,4,3,0,0,0,1,0,1,0.5,9781,2003,Vitória do Jari,16004,Mazagão,16,AP,1,2,96.06451612903226,297.23064516129034
160010,1600105,2,5,25.2,5.8,4.2,0.2,0.4,0,0,0,0.2,0.4,7265,2003,Amapá,16002,Amapá,16,AP,2,5,91.14285714285714,298.90714285714284
160020,1600204,2,9,26.555555555555557,0.3333333333333333,2.2222222222222223,0.5555555555555556,0.1111111111111111,0,0.3333333333333333,0,0.1111111111111111,0.4444444444444444,7218,2003,Calçoene,16001,Oiapoque,16,AP,2,9,91.14285714285714,298.90714285714284
