codMunRes6,codMunRes,idMes,numCasos,edad,delay,para,agriPecu,dom,turViaj,gariMine,roadHuntwood,impo,male,populacao,ano,nomeMunRes,codMicroRes,nomeMicroRes,codUF,siglaUF,mes,Y,rhum,temp
510010,5100102,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5974,2003,Acorizal,51016,Rosário Oeste,51,MT,1,0,94.66935483870968,297.66064516129035
510020,5100201,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14811,2003,Água Boa,51010,Canarana,51,MT,1,0,92.08870967741936,297.0941935483871
510025,5100250,1,5,25.2,4.2,5.2,0,0,0,0.4,0,1,0.6,47117,2003,Alta Floresta,51002,Alta Floresta,51,MT,1,5,93.9516129032258,297.16387096774196
510030,5100300,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11617,2003,Alto Araguaia,51022,Alto Araguaia,51,MT,1,0,92.5,296.4425806451613
510035,5100359,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3782,2003,Alto Boa Vista,51009,Norte Araguaia,51,MT,1,0,93.43548387096774,298.0858064516129
510040,5100409,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8344,2003,Alto Garças,51022,Alto Araguaia,51,MT,1,0,92.5,296.4425806451613
510050,5100508,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7395,2003,Alto Paraguai,51015,Alto Paraguai,51,MT,1,0,94.66935483870968,297.66064516129035
510060,5100607,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4926,2003,Alto Taquari,51022,Alto Araguaia,51,MT,1,0,92.5,296.4425806451613
510080,5100805,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6525,2003,Apiacás,51002,Alta Floresta,51,MT,1,0,92.78225806451611,297.59451612903223
510100,5101001,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3438,2003,Araguaiana,51011,Médio Araguaia,51,MT,1,0,92.08870967741936,297.0941935483871
510120,5101209,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1332,2003,Araguainha,51020,Tesouro,51,MT,1,0,92.5,296.4425806451613
510125,5101258,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14118,2003,Araputanga,51014,Jauru,51,MT,1,0,94.66935483870968,297.66064516129035
510130,5101308,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11116,2003,Arenápolis,51015,Alto Paraguai,51,MT,1,0,94.66935483870968,297.66064516129035
510140,5101407,1,12,27.166666666666668,2.3333333333333335,3.1666666666666665,0.08333333333333333,0.25,0,0,0,0,0.5833333333333334,16297,2003,Aripuanã,51001,Aripuanã,51,MT,1,12,94.70967741935485,298.0516129032258
510160,5101605,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7112,2003,Barão de Melgaço,51018,Alto Pantanal,51,MT,1,0,92.66129032258064,297.12709677419355
510170,5101704,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29717,2003,Barra do Bugres,51013,Tangará da Serra,51,MT,1,0,94.66935483870968,297.66064516129035
510180,5101803,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54176,2003,Barra do Garças,51011,Médio Araguaia,51,MT,1,0,92.08870967741936,297.0941935483871
510185,5101852,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4131,2003,Bom Jesus do Araguaia,51009,Norte Araguaia,51,MT,1,0,93.43548387096774,298.0858064516129
510190,5101902,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11919,2003,Brasnorte,51001,Aripuanã,51,MT,1,0,95.9516129032258,296.83354838709676
510250,5102504,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85274,2003,Cáceres,51018,Alto Pantanal,51,MT,1,0,94.66935483870968,297.66064516129035
510260,5102603,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12614,2003,Campinápolis,51010,Canarana,51,MT,1,0,92.08870967741936,297.0941935483871
510263,5102637,1,1,46,0,2,1,0,0,0,0,1,1,21358,2003,Campo Novo do Parecis,51004,Parecis,51,MT,1,1,95.9516129032258,296.83354838709676
510267,5102678,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21685,2003,Campo Verde,51019,Primavera do Leste,51,MT,1,0,92.66129032258064,297.12709677419355
510268,5102686,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3466,2003,Campos de Júlio,51004,Parecis,51,MT,1,0,97.01612903225806,297.17709677419356
510269,5102694,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5631,2003,Canabrava do Norte,51009,Norte Araguaia,51,MT,1,0,95.00806451612904,297.40258064516127
510270,5102702,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17142,2003,Canarana,51010,Canarana,51,MT,1,0,93.43548387096774,298.0858064516129
510279,5102793,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11949,2003,Carlinda,51002,Alta Floresta,51,MT,1,0,93.9516129032258,297.16387096774196
510285,5102850,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7427,2003,Castanheira,51001,Aripuanã,51,MT,1,0,92.78225806451611,297.59451612903223
510300,5103007,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16666,2003,Chapada dos Guimarães,51017,Cuiabá,51,MT,1,0,92.66129032258064,297.12709677419355
510305,5103056,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11751,2003,Cláudia,51007,Sinop,51,MT,1,0,93.16935483870968,296.8567741935484
510310,5103106,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5376,2003,Cocalinho,51011,Médio Araguaia,51,MT,1,0,90.83064516129032,296.77193548387095
510320,5103205,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27514,2003,Colíder,51003,Colíder,51,MT,1,0,93.9516129032258,297.16387096774196
510325,5103254,1,20,24.4,2.65,5,0.45,0,0.4,0.05,0.05,0,0.85,11912,2003,Colniza,51001,Aripuanã,51,MT,1,20,94.70967741935485,298.0516129032258
510330,5103304,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16921,2003,Comodoro,51004,Parecis,51,MT,1,0,97.01612903225806,297.17709677419356
510335,5103353,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22323,2003,Confresa,51009,Norte Araguaia,51,MT,1,0,95.00806451612904,297.40258064516127
510336,5103361,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2736,2003,Conquista D'Oeste,51012,Alto Guaporé,51,MT,1,0,90.26612903225806,297.64
510337,5103379,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11331,2003,Cotriguaçu,51001,Aripuanã,51,MT,1,0,92.78225806451611,297.59451612903223
510340,5103403,1,2,49,3.5,3,0.5,0,0.5,0,0,1,1,518156,2003,Cuiabá,51017,Cuiabá,51,MT,1,2,92.66129032258064,297.12709677419355
510343,5103437,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4719,2003,Curvelândia,51018,Alto Pantanal,51,MT,1,0,94.66935483870968,297.66064516129035
510345,5103452,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8317,2003,Denise,51013,Tangará da Serra,51,MT,1,0,94.66935483870968,297.66064516129035
510350,5103502,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19374,2003,Diamantino,51004,Parecis,51,MT,1,0,94.66935483870968,297.66064516129035
510360,5103601,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8313,2003,Dom Aquino,51021,Rondonópolis,51,MT,1,0,92.66129032258064,297.12709677419355
510370,5103700,1,1,21,4,3,0,0,1,0,0,0,0,7931,2003,Feliz Natal,51007,Sinop,51,MT,1,1,93.16935483870968,296.8567741935484
510380,5103809,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3977,2003,Figueirópolis D'Oeste,51014,Jauru,51,MT,1,0,94.66935483870968,297.66064516129035
510385,5103858,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5128,2003,Gaúcha do Norte,51008,Paranatinga,51,MT,1,0,93.43548387096774,298.0858064516129
510390,5103908,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4362,2003,General Carneiro,51020,Tesouro,51,MT,1,0,92.08870967741936,297.0941935483871
510395,5103957,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3119,2003,Glória D'Oeste,51014,Jauru,51,MT,1,0,NA,NA
510410,5104104,1,7,32.42857142857143,3.7142857142857144,4.285714285714286,0.14285714285714285,0,0,0.2857142857142857,0.2857142857142857,1,1,31531,2003,Guarantã do Norte,51003,Colíder,51,MT,1,7,93.9516129032258,297.16387096774196
510420,5104203,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11995,2003,Guiratinga,51020,Tesouro,51,MT,1,0,92.31451612903226,297.66709677419357
510450,5104500,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2166,2003,Indiavaí,51014,Jauru,51,MT,1,0,94.66935483870968,297.66064516129035
510452,5104526,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2003,Ipiranga do Norte,51006,Alto Teles Pires,51,MT,1,0,93.16935483870968,296.8567741935484
510454,5104542,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2003,Itanhangá,51006,Alto Teles Pires,51,MT,1,0,95.9516129032258,296.83354838709676
510455,5104559,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6177,2003,Itaúba,51007,Sinop,51,MT,1,0,93.9516129032258,297.16387096774196
510460,5104609,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9568,2003,Itiquira,51021,Rondonópolis,51,MT,1,0,92.31451612903226,297.66709677419357
510480,5104807,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25337,2003,Jaciara,51021,Rondonópolis,51,MT,1,0,92.66129032258064,297.12709677419355
