codMunRes6,codMunRes,idMes,numCasos,edad,delay,para,agriPecu,dom,turViaj,gariMine,roadHuntwood,impo,male,populacao,ano,nomeMunRes,codMicroRes,nomeMicroRes,codUF,siglaUF,mes,Y,rhum,temp
150010,1500107,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125155,2003,Abaetetuba,15011,Cametá,15,PA,1,0,94.51612903225806,297.97483870967744
150013,1500131,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6446,2003,Abel Figueiredo,15017,Paragominas,15,PA,1,0,95.16129032258064,297.19548387096773
150020,1500206,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56729,2003,Acará,15012,Tomé-Açu,15,PA,1,0,95.60483870967742,297.87193548387097
150030,1500305,1,20,24.2,3.45,2.9,0,0.15,0,0,0.45,0.6,0.75,32431,2003,Afuá,15005,Furos de Breves,15,PA,1,20,94.55645161290325,298.52612903225804
150034,1500347,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26779,2003,Água Azul do Norte,15019,Parauapebas,15,PA,1,0,94.7258064516129,297.56
150040,1500404,1,1,42,0,4,1,0,0,0,0,0,1,41914,2003,Alenquer,15002,Santarém,15,PA,1,1,90.16935483870968,298.3954838709677
150050,1500503,1,2,17,6.5,4,0.5,0,0,0.5,0,0,1,34116,2003,Almeirim,15003,Almeirim,15,PA,1,2,95.83870967741936,297.6283870967742
150060,1500602,1,135,25.288888888888888,3.1185185185185187,3.214814814814815,0.1925925925925926,0.14074074074074075,0,0.2,0.22962962962962963,0.15555555555555556,0.6518518518518519,81861,2003,Altamira,15015,Altamira,15,PA,1,135,95.83870967741936,297.6283870967742
150070,1500701,1,287,18.958188153310104,2.35191637630662,4.156794425087108,0.04181184668989547,0.1986062717770035,0.00348432055749128,0.00348432055749128,0.289198606271777,0.20905923344947736,0.5818815331010453,19566,2003,Anajás,15005,Furos de Breves,15,PA,1,287,94.55645161290325,298.52612903225804
150080,1500800,1,3,46.333333333333336,3,2,0.3333333333333333,0.3333333333333333,0,0,0,0.6666666666666666,0.6666666666666666,437135,2003,Ananindeua,15007,Belém,15,PA,1,3,95.60483870967742,297.87193548387097
150085,1500859,1,131,24.65648854961832,2.480916030534351,4.0458015267175576,0.7175572519083969,0.13740458015267176,0,0,0.00763358778625954,0.17557251908396945,0.6335877862595419,8164,2003,Anapu,15015,Altamira,15,PA,1,131,94.51612903225806,297.97483870967744
150090,1500909,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33839,2003,Augusto Corrêa,15010,Bragantina,15,PA,1,0,90.99193548387096,299.2132258064516
150095,1500958,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21998,2003,Aurora do Pará,15013,Guamá,15,PA,1,0,95.60483870967742,297.87193548387097
150100,1501006,1,2,37.5,3,4.5,0,0,0,1,0,1,0.5,16948,2003,Aveiro,15014,Itaituba,15,PA,1,2,90.16935483870968,298.3954838709677
150110,1501105,1,9,17,6.666666666666667,4.222222222222222,0,0.1111111111111111,0,0,0.1111111111111111,0,0.4444444444444444,13666,2003,Bagre,15004,Portel,15,PA,1,9,94.51612903225806,297.97483870967744
150120,1501204,1,12,29.083333333333332,2.9166666666666665,3,0.5,0.16666666666666666,0,0,0.08333333333333333,0.6666666666666666,0.5833333333333334,21442,2003,Baião,15011,Cametá,15,PA,1,12,94.51612903225806,297.97483870967744
150125,1501253,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3599,2003,Bannach,15018,São Félix do Xingu,15,PA,1,0,94.7258064516129,297.56
150130,1501303,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68614,2003,Barcarena,15007,Belém,15,PA,1,0,95.60483870967742,297.87193548387097
150140,1501402,1,7,28.285714285714285,4,3.857142857142857,0.14285714285714285,0,0,0.14285714285714285,0,1,0.5714285714285714,1342212,2003,Belém,15007,Belém,15,PA,1,7,95.60483870967742,297.87193548387097
150145,1501451,1,1,2,6,4,0,0,0,0,0,0,1,15872,2003,Belterra,15002,Santarém,15,PA,1,1,90.16935483870968,298.3954838709677
150150,1501501,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39819,2003,Benevides,15007,Belém,15,PA,1,0,95.60483870967742,297.87193548387097
150157,1501576,1,10,21,3.1,4.1,0.9,0,0,0,0,0,0.9,13575,2003,Bom Jesus do Tocantins,15017,Paragominas,15,PA,1,10,95.16129032258064,297.19548387096773
150160,1501600,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11219,2003,Bonito,15010,Bragantina,15,PA,1,0,95.60483870967742,297.87193548387097
150170,1501709,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97935,2003,Bragança,15010,Bragantina,15,PA,1,0,90.99193548387096,299.2132258064516
150172,1501725,1,6,22.666666666666668,3.6666666666666665,4.166666666666667,0.6666666666666666,0,0,0,0,0.6666666666666666,0.8333333333333334,18941,2003,Brasil Novo,15015,Altamira,15,PA,1,6,95.83870967741936,297.6283870967742
150175,1501758,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7789,2003,Brejo Grande do Araguaia,15020,Marabá,15,PA,1,0,95.16129032258064,297.19548387096773
150178,1501782,1,77,25.948051948051948,2.8701298701298703,3.727272727272727,0.4675324675324675,0.09090909090909093,0,0,0.11688311688311688,0.14285714285714285,0.7142857142857143,38211,2003,Breu Branco,15016,Tucuruí,15,PA,1,77,95.36290322580643,297.76
150180,1501808,1,4,17.75,3,3.75,0,0,0,0,0.75,0,1,82628,2003,Breves,15005,Furos de Breves,15,PA,1,4,94.51612903225806,297.97483870967744
150190,1501907,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23162,2003,Bujaru,15008,Castanhal,15,PA,1,0,95.60483870967742,297.87193548387097
150200,1502004,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16565,2003,Cachoeira do Arari,15006,Arari,15,PA,1,0,94.55645161290325,298.52612903225804
150195,1501956,1,5,20.6,3,2.6,0.6,0,0,0,0,0,0.8,17655,2003,Cachoeira do Piriá,15013,Guamá,15,PA,1,5,95.60483870967742,297.87193548387097
150210,1502103,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111455,2003,Cametá,15011,Cametá,15,PA,1,0,94.51612903225806,297.97483870967744
