codMunRes6,codMunRes,idMes,numCasos,edad,delay,para,agriPecu,dom,turViaj,gariMine,roadHuntwood,impo,male,populacao,ano,nomeMunRes,codMicroRes,nomeMicroRes,codUF,siglaUF,mes,Y,rhum,temp
140005,1400050,1,1,29,3,2,1,0,0,0,0,1,1,19971,2003,Alto Alegre,14001,Boa Vista,14,RR,1,1,75.33064516129032,297.40387096774197
140002,1400027,1,5,14.4,1.8,3.8,0.2,0.2,0,0,0.2,0,0.8,5684,2003,Amajari,14001,Boa Vista,14,RR,1,5,75.33064516129032,297.40387096774197
140010,1400100,1,5,34.4,2.6,3.2,0.6,0,0,0.2,0,1,0.6,221127,2003,Boa Vista,14001,Boa Vista,14,RR,1,5,75.81451612903226,298.3725806451613
140015,1400159,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11949,2003,Bonfim,14002,Nordeste de Roraima,14,RR,1,0,75.81451612903226,298.3725806451613
140017,1400175,1,1,41,0,4,1,0,0,0,0,0,1,9511,2003,Cantá,14002,Nordeste de Roraima,14,RR,1,1,75.81451612903226,298.3725806451613
140020,1400209,1,1,26,1,2,1,0,0,0,0,0,1,15987,2003,Caracaraí,14003,Caracaraí,14,RR,1,1,75.81451612903226,298.3725806451613
140023,1400233,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5779,2003,Caroebe,14004,Sudeste de Roraima,14,RR,1,0,90.85483870967742,297.55967741935484
140028,1400282,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5411,2003,Iracema,14003,Caracaraí,14,RR,1,0,75.81451612903226,298.3725806451613
140030,1400308,1,3,22,2.6666666666666665,4.333333333333333,0.6666666666666666,0,0,0,0,0,0.6666666666666666,11445,2003,Mucajaí,14003,Caracaraí,14,RR,1,3,75.81451612903226,298.3725806451613
140040,1400407,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5743,2003,Normandia,14002,Nordeste de Roraima,14,RR,1,0,77.83064516129032,296.6209677419355
140045,1400456,1,1,20,3,3,0,0,0,0,0,0,1,7592,2003,Pacaraima,14001,Boa Vista,14,RR,1,1,77.83064516129032,296.6209677419355
140047,1400472,1,12,17.583333333333332,1.9166666666666667,3.25,0.75,0,0,0,0,0,0.5833333333333334,21944,2003,Rorainópolis,14004,Sudeste de Roraima,14,RR,1,12,90.85483870967742,297.55967741935484
140050,1400506,1,4,20.25,1,5,0,0.25,0,0,0,0,0.75,5259,2003,São João da Baliza,14004,Sudeste de Roraima,14,RR,1,4,90.85483870967742,297.55967741935484
140060,1400605,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5891,2003,São Luiz,14004,Sudeste de Roraima,14,RR,1,0,90.85483870967742,297.55967741935484
140070,1400704,1,4,20.75,5,2,0.5,0.25,0,0,0,0.5,0.5,6111,2003,Uiramutã,14002,Nordeste de Roraima,14,RR,1,4,77.83064516129032,296.6209677419355
140005,1400050,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19971,2003,Alto Alegre,14001,Boa Vista,14,RR,2,0,82.25,296.7417857142857
140002,1400027,2,7,21,1.4285714285714286,2.7142857142857144,0,0.2857142857142857,0,0,0,0,0.42857142857142855,5684,2003,Amajari,14001,Boa Vista,14,RR,2,7,82.25,296.7417857142857
140010,1400100,2,10,30.1,13.5,3.5,0,0,0.1,0,0,1,0.6,221127,2003,Boa Vista,14001,Boa Vista,14,RR,2,10,84.8125,297.5375
140015,1400159,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11949,2003,Bonfim,14002,Nordeste de Roraima,14,RR,2,0,84.8125,297.5375
