codMunRes6,codMunRes,idMes,numCasos,edad,delay,para,agriPecu,dom,turViaj,gariMine,roadHuntwood,impo,male,populacao,ano,nomeMunRes,codMicroRes,nomeMicroRes,codUF,siglaUF,mes,Y,rhum,temp
140005,1400050,1,14,10.214285714285714,3.4285714285714284,3.642857142857143,0.07142857142857142,0,0,0,0.07142857142857142,0,0.8571428571428571,19971,2003,Alto Alegre,14001,Boa Vista,14,RR,1,14,75.33064516129032,297.40387096774197
140002,1400027,1,33,25.060606060606062,2.5757575757575757,3.6666666666666665,0.42424242424242425,0.12121212121212122,0,0,0,0,0.6363636363636364,5684,2003,Amajari,14001,Boa Vista,14,RR,1,33,75.33064516129032,297.40387096774197
140010,1400100,1,19,27.73684210526316,3,3.736842105263158,0.21052631578947367,0.05263157894736842,0,0,0,0.6842105263157895,0.6842105263157895,221127,2003,Boa Vista,14001,Boa Vista,14,RR,1,19,75.81451612903226,298.3725806451613
140015,1400159,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11949,2003,Bonfim,14002,Nordeste de Roraima,14,RR,1,0,75.81451612903226,298.3725806451613
140017,1400175,1,12,23.75,4.166666666666667,3.6666666666666665,0.5,0.08333333333333333,0,0,0.08333333333333333,0.25,0.6666666666666666,9511,2003,Cantá,14002,Nordeste de Roraima,14,RR,1,12,75.81451612903226,298.3725806451613
140020,1400209,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15987,2003,Caracaraí,14003,Caracaraí,14,RR,1,0,75.81451612903226,298.3725806451613
140023,1400233,1,2,11,3.5,2.5,0.5,0,0,0,0,0,0,5779,2003,Caroebe,14004,Sudeste de Roraima,14,RR,1,2,90.85483870967742,297.55967741935484
140028,1400282,1,13,30.923076923076923,2.6153846153846154,2.769230769230769,0.4615384615384616,0.07692307692307693,0.07692307692307693,0,0.07692307692307693,0.38461538461538464,0.6923076923076923,5411,2003,Iracema,14003,Caracaraí,14,RR,1,13,75.81451612903226,298.3725806451613
140030,1400308,1,2,17.5,2,4,1,0,0,0,0,0,1,11445,2003,Mucajaí,14003,Caracaraí,14,RR,1,2,75.81451612903226,298.3725806451613
140040,1400407,1,1,1,4,5,0,0,0,0,0,0,0,5743,2003,Normandia,14002,Nordeste de Roraima,14,RR,1,1,77.83064516129032,296.6209677419355
140045,1400456,1,2,21.5,2,5,0.5,0.5,0,0,0,0,0.5,7592,2003,Pacaraima,14001,Boa Vista,14,RR,1,2,77.83064516129032,296.6209677419355
140047,1400472,1,195,19.605128205128207,2.3743589743589744,3.605128205128205,0.6307692307692307,0,0.01025641025641025,0,0,0,0.5743589743589743,21944,2003,Rorainópolis,14004,Sudeste de Roraima,14,RR,1,195,90.85483870967742,297.55967741935484
140050,1400506,1,48,21.583333333333332,1.7708333333333333,3.9166666666666665,0.125,0.16666666666666666,0,0,0.02083333333333333,0.04166666666666666,0.625,5259,2003,São João da Baliza,14004,Sudeste de Roraima,14,RR,1,48,90.85483870967742,297.55967741935484
140060,1400605,1,4,29.5,4,2,0.5,0,0.25,0,0,0.25,0.5,5891,2003,São Luiz,14004,Sudeste de Roraima,14,RR,1,4,90.85483870967742,297.55967741935484
140070,1400704,1,1,19,1,2,0,0,0,0,0,0,1,6111,2003,Uiramutã,14002,Nordeste de Roraima,14,RR,1,1,77.83064516129032,296.6209677419355
140005,1400050,2,1,21,0,5,0,0,0,0,0,0,1,19971,2003,Alto Alegre,14001,Boa Vista,14,RR,2,1,82.25,296.7417857142857
140002,1400027,2,21,26.047619047619047,2.0952380952380953,3.619047619047619,0.2857142857142857,0.14285714285714285,0,0,0,0,0.5238095238095238,5684,2003,Amajari,14001,Boa Vista,14,RR,2,21,82.25,296.7417857142857
140010,1400100,2,16,20.5,2.9375,3.8125,0.1875,0.0625,0,0.1875,0,1,0.5625,221127,2003,Boa Vista,14001,Boa Vista,14,RR,2,16,84.8125,297.5375
140015,1400159,2,2,17,4,2,1,0,0,0,0,0,1,11949,2003,Bonfim,14002,Nordeste de Roraima,14,RR,2,2,84.8125,297.5375
140017,1400175,2,34,22.529411764705884,2.4705882352941178,3.5588235294117645,0.4411764705882353,0.14705882352941177,0.0588235294117647,0,0.02941176470588235,0.17647058823529413,0.7058823529411765,9511,2003,Cantá,14002,Nordeste de Roraima,14,RR,2,34,84.8125,297.5375
140020,1400209,2,1,12,2,4,1,0,0,0,0,0,1,15987,2003,Caracaraí,14003,Caracaraí,14,RR,2,1,84.8125,297.5375
140023,1400233,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5779,2003,Caroebe,14004,Sudeste de Roraima,14,RR,2,0,97.0625,296.7
140028,1400282,2,3,16,1.6666666666666667,2.6666666666666665,0,0,0,0,0,0.6666666666666666,1,5411,2003,Iracema,14003,Caracaraí,14,RR,2,3,84.8125,297.5375
140030,1400308,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11445,2003,Mucajaí,14003,Caracaraí,14,RR,2,0,84.8125,297.5375
140040,1400407,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5743,2003,Normandia,14002,Nordeste de Roraima,14,RR,2,0,81.15178571428571,296.52714285714285
140045,1400456,2,2,29.5,1.5,4,0.5,0,0.5,0,0,0.5,0.5,7592,2003,Pacaraima,14001,Boa Vista,14,RR,2,2,81.15178571428571,296.52714285714285
140047,1400472,2,7,22.285714285714285,0,3.857142857142857,0.42857142857142855,0,0.42857142857142855,0,0,0,0.8571428571428571,21944,2003,Rorainópolis,14004,Sudeste de Roraima,14,RR,2,7,97.0625,296.7
140050,1400506,2,22,30.318181818181817,2.227272727272727,3.772727272727273,0.2272727272727273,0.4545454545454546,0,0,0.04545454545454545,0.04545454545454545,0.5,5259,2003,São João da Baliza,14004,Sudeste de Roraima,14,RR,2,22,97.0625,296.7
140060,1400605,2,12,31.166666666666668,4.583333333333333,3.8333333333333335,0.75,0,0,0,0,0.16666666666666666,0.75,5891,2003,São Luiz,14004,Sudeste de Roraima,14,RR,2,12,97.0625,296.7
140070,1400704,2,3,33.666666666666664,1.3333333333333333,2,0.3333333333333333,0.3333333333333333,0,0,0,0,0.6666666666666666,6111,2003,Uiramutã,14002,Nordeste de Roraima,14,RR,2,3,81.15178571428571,296.52714285714285
140005,1400050,3,4,20.75,2.25,2.75,0.25,0.25,0,0,0,0.25,0.75,19971,2003,Alto Alegre,14001,Boa Vista,14,RR,3,4,85.28225806451613,296.6661290322581
140002,1400027,3,21,21.714285714285715,2.7142857142857144,3.1904761904761907,0.23809523809523808,0.14285714285714285,0,0.09523809523809525,0.04761904761904761,0,0.5714285714285714,5684,2003,Amajari,14001,Boa Vista,14,RR,3,21,85.28225806451613,296.6661290322581
140010,1400100,3,11,20.727272727272727,1.181818181818182,4.090909090909091,0,0,0,0,0,0.8181818181818182,0.9090909090909092,221127,2003,Boa Vista,14001,Boa Vista,14,RR,3,11,84.95967741935483,297.80451612903227
140015,1400159,3,1,32,1,2,1,0,0,0,0,0,1,11949,2003,Bonfim,14002,Nordeste de Roraima,14,RR,3,1,84.95967741935483,297.80451612903227
140017,1400175,3,9,25.333333333333332,1.7777777777777777,4.444444444444445,0.6666666666666666,0,0.1111111111111111,0.1111111111111111,0,0.3333333333333333,0.7777777777777778,9511,2003,Cantá,14002,Nordeste de Roraima,14,RR,3,9,84.95967741935483,297.80451612903227
140020,1400209,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15987,2003,Caracaraí,14003,Caracaraí,14,RR,3,0,84.95967741935483,297.80451612903227
140023,1400233,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5779,2003,Caroebe,14004,Sudeste de Roraima,14,RR,3,0,96.51612903225806,296.95129032258063
140028,1400282,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5411,2003,Iracema,14003,Caracaraí,14,RR,3,0,84.95967741935483,297.80451612903227
140030,1400308,3,1,58,0,4,0,0,0,0,1,0,1,11445,2003,Mucajaí,14003,Caracaraí,14,RR,3,1,84.95967741935483,297.80451612903227
140040,1400407,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5743,2003,Normandia,14002,Nordeste de Roraima,14,RR,3,0,76.6774193548387,297.4325806451613
140045,1400456,3,4,42.75,3.25,4.5,0.75,0,0,0,0,0,0.75,7592,2003,Pacaraima,14001,Boa Vista,14,RR,3,4,76.6774193548387,297.4325806451613
140047,1400472,3,2,28.5,0,5,0.5,0.5,0,0,0,0,0.5,21944,2003,Rorainópolis,14004,Sudeste de Roraima,14,RR,3,2,96.51612903225806,296.95129032258063
140050,1400506,3,22,30.863636363636363,3.227272727272727,4,0.2272727272727273,0.18181818181818185,0,0.04545454545454545,0.04545454545454545,0.2272727272727273,0.9090909090909092,5259,2003,São João da Baliza,14004,Sudeste de Roraima,14,RR,3,22,96.51612903225806,296.95129032258063
140060,1400605,3,2,46.5,2,2,0.5,0,0,0,0,0.5,0.5,5891,2003,São Luiz,14004,Sudeste de Roraima,14,RR,3,2,96.51612903225806,296.95129032258063
140070,1400704,3,5,24,3.8,2,0.4,0,0,0,0,0,0.6,6111,2003,Uiramutã,14002,Nordeste de Roraima,14,RR,3,5,76.6774193548387,297.4325806451613
140005,1400050,4,5,11.2,0.2,2.8,0,0.2,0,0,0,0.2,0.2,19971,2003,Alto Alegre,14001,Boa Vista,14,RR,4,5,92.81666666666666,296.11
140002,1400027,4,47,20.170212765957448,1.25531914893617,3.1702127659574466,0.2553191489361702,0.10638297872340426,0,0,0,0.0851063829787234,0.6808510638297872,5684,2003,Amajari,14001,Boa Vista,14,RR,4,47,92.81666666666666,296.11
140010,1400100,4,33,32.24242424242424,4.151515151515151,4.151515151515151,0.48484848484848486,0,0.06060606060606061,0.0303030303030303,0,1,0.7878787878787878,221127,2003,Boa Vista,14001,Boa Vista,14,RR,4,33,91.93333333333334,297.3763333333333
140015,1400159,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11949,2003,Bonfim,14002,Nordeste de Roraima,14,RR,4,0,91.93333333333334,297.3763333333333
140017,1400175,4,5,28.4,3,3.6,0.8,0,0,0,0.2,0.2,0.6,9511,2003,Cantá,14002,Nordeste de Roraima,14,RR,4,5,91.93333333333334,297.3763333333333
140020,1400209,4,1,45,0,2,0,0,0,0,1,0,1,15987,2003,Caracaraí,14003,Caracaraí,14,RR,4,1,91.93333333333334,297.3763333333333
140023,1400233,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5779,2003,Caroebe,14004,Sudeste de Roraima,14,RR,4,0,97.6,296.8516666666667
140028,1400282,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5411,2003,Iracema,14003,Caracaraí,14,RR,4,0,91.93333333333334,297.3763333333333
140030,1400308,4,2,33,3.5,2,0.5,0,0.5,0,0,0,1,11445,2003,Mucajaí,14003,Caracaraí,14,RR,4,2,91.93333333333334,297.3763333333333
140040,1400407,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5743,2003,Normandia,14002,Nordeste de Roraima,14,RR,4,0,83.55,297.1976666666667
140045,1400456,4,1,29,5,4,0,0,0,0,0,1,0,7592,2003,Pacaraima,14001,Boa Vista,14,RR,4,1,83.55,297.1976666666667
140047,1400472,4,54,20.796296296296298,2.1666666666666665,4.092592592592593,0.5185185185185185,0,0,0,0,0,0.5185185185185185,21944,2003,Rorainópolis,14004,Sudeste de Roraima,14,RR,4,54,97.6,296.8516666666667
140050,1400506,4,7,25.571428571428573,1.5714285714285714,4.142857142857143,0.14285714285714285,0.8571428571428571,0,0,0,0,0.14285714285714285,5259,2003,São João da Baliza,14004,Sudeste de Roraima,14,RR,4,7,97.6,296.8516666666667
140060,1400605,4,10,25,2.5,2,0.4,0,0,0,0,0.1,0.6,5891,2003,São Luiz,14004,Sudeste de Roraima,14,RR,4,10,97.6,296.8516666666667
140070,1400704,4,6,24.166666666666668,3.3333333333333335,2,0,0,0,0.16666666666666666,0,0.16666666666666666,0.6666666666666666,6111,2003,Uiramutã,14002,Nordeste de Roraima,14,RR,4,6,83.55,297.1976666666667
140005,1400050,5,5,11.2,0.4,3.8,0,0,0,0,0.2,0,0.6,19971,2003,Alto Alegre,14001,Boa Vista,14,RR,5,5,94.6774193548387,295.84322580645164
140002,1400027,5,95,20.18947368421053,1.5052631578947369,3.0631578947368423,0.2736842105263158,0.08421052631578947,0,0.01052631578947368,0.01052631578947368,0.01052631578947368,0.5578947368421052,5684,2003,Amajari,14001,Boa Vista,14,RR,5,95,94.6774193548387,295.84322580645164
140010,1400100,5,63,29.238095238095237,2.5238095238095237,3.1587301587301586,0.3492063492063492,0.09523809523809525,0.04761904761904761,0.01587301587301587,0,0.8888888888888888,0.6984126984126984,221127,2003,Boa Vista,14001,Boa Vista,14,RR,5,63,95.51612903225806,296.9135483870968
140015,1400159,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11949,2003,Bonfim,14002,Nordeste de Roraima,14,RR,5,0,95.51612903225806,296.9135483870968
140017,1400175,5,15,20.933333333333337,3,4.066666666666666,0.26666666666666666,0.26666666666666666,0.13333333333333333,0,0,0.2,0.6,9511,2003,Cantá,14002,Nordeste de Roraima,14,RR,5,15,95.51612903225806,296.9135483870968
140020,1400209,5,1,2,0,3,0,0,0,0,0,0,0,15987,2003,Caracaraí,14003,Caracaraí,14,RR,5,1,95.51612903225806,296.9135483870968
140023,1400233,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5779,2003,Caroebe,14004,Sudeste de Roraima,14,RR,5,0,97.46774193548389,296.8932258064516
140028,1400282,5,3,20.333333333333332,31,2,0,0,0,0,0,0,0.6666666666666666,5411,2003,Iracema,14003,Caracaraí,14,RR,5,3,95.51612903225806,296.9135483870968
140030,1400308,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11445,2003,Mucajaí,14003,Caracaraí,14,RR,5,0,95.51612903225806,296.9135483870968
140040,1400407,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5743,2003,Normandia,14002,Nordeste de Roraima,14,RR,5,0,96.41935483870968,295.7690322580645
140045,1400456,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7592,2003,Pacaraima,14001,Boa Vista,14,RR,5,0,96.41935483870968,295.7690322580645
140047,1400472,5,78,20.64102564102564,2.7051282051282053,3.576923076923077,0.8461538461538461,0,0.01282051282051282,0,0,0,0.6153846153846154,21944,2003,Rorainópolis,14004,Sudeste de Roraima,14,RR,5,78,97.46774193548389,296.8932258064516
140050,1400506,5,19,29.31578947368421,3.3684210526315788,4.2631578947368425,0.21052631578947367,0.5263157894736842,0,0,0,0.21052631578947367,0.47368421052631576,5259,2003,São João da Baliza,14004,Sudeste de Roraima,14,RR,5,19,97.46774193548389,296.8932258064516
140060,1400605,5,8,30.75,2.5,2.5,0.375,0,0,0,0,0,0.625,5891,2003,São Luiz,14004,Sudeste de Roraima,14,RR,5,8,97.46774193548389,296.8932258064516
140070,1400704,5,7,17.571428571428573,2.5714285714285716,2,0,0.14285714285714285,0,0,0,0,0.42857142857142855,6111,2003,Uiramutã,14002,Nordeste de Roraima,14,RR,5,7,96.41935483870968,295.7690322580645
140005,1400050,6,3,30.666666666666668,4.333333333333333,4.333333333333333,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,19971,2003,Alto Alegre,14001,Boa Vista,14,RR,6,3,94.54166666666669,295.7033333333333
140002,1400027,6,40,18.5,3.525,3.15,0.225,0.075,0,0,0,0,0.55,5684,2003,Amajari,14001,Boa Vista,14,RR,6,40,94.54166666666669,295.7033333333333
140010,1400100,6,86,36.41860465116279,3.767441860465116,4.046511627906977,0.32558139534883723,0.08139534883720931,0.03488372093023256,0.01162790697674418,0.03488372093023256,0.9534883720930232,0.7790697674418605,221127,2003,Boa Vista,14001,Boa Vista,14,RR,6,86,94.93333333333334,296.89866666666666
140015,1400159,6,2,19.5,3.5,4,0.5,0.5,0,0,0,1,0,11949,2003,Bonfim,14002,Nordeste de Roraima,14,RR,6,2,94.93333333333334,296.89866666666666
140017,1400175,6,24,28.791666666666668,4.708333333333333,3.5833333333333335,0.5833333333333334,0.125,0.04166666666666666,0,0,0.04166666666666666,0.6666666666666666,9511,2003,Cantá,14002,Nordeste de Roraima,14,RR,6,24,94.93333333333334,296.89866666666666
140020,1400209,6,6,20,0,2,0,0,0,0,0.3333333333333333,0,0.5,15987,2003,Caracaraí,14003,Caracaraí,14,RR,6,6,94.93333333333334,296.89866666666666
140023,1400233,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5779,2003,Caroebe,14004,Sudeste de Roraima,14,RR,6,0,95.91666666666669,296.95666666666665
140028,1400282,6,5,32.4,0.8,2,0.4,0,0,0,0.2,0,0.8,5411,2003,Iracema,14003,Caracaraí,14,RR,6,5,94.93333333333334,296.89866666666666
140030,1400308,6,1,19,1,4,0,1,0,0,0,0,0,11445,2003,Mucajaí,14003,Caracaraí,14,RR,6,1,94.93333333333334,296.89866666666666
140040,1400407,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5743,2003,Normandia,14002,Nordeste de Roraima,14,RR,6,0,95.95833333333331,295.71
140045,1400456,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7592,2003,Pacaraima,14001,Boa Vista,14,RR,6,0,95.95833333333331,295.71
140047,1400472,6,74,21.77027027027027,3.783783783783784,4.405405405405405,0.5945945945945946,0,0,0,0,0,0.5405405405405406,21944,2003,Rorainópolis,14004,Sudeste de Roraima,14,RR,6,74,95.91666666666669,296.95666666666665
140050,1400506,6,48,27.729166666666668,3.0416666666666665,3.7083333333333335,0.4791666666666667,0.3125,0,0,0,0.10416666666666669,0.5833333333333334,5259,2003,São João da Baliza,14004,Sudeste de Roraima,14,RR,6,48,95.91666666666669,296.95666666666665
140060,1400605,6,28,24.785714285714285,6.25,3.2142857142857144,0.4642857142857143,0.07142857142857142,0,0,0.10714285714285714,0.17857142857142858,0.6785714285714286,5891,2003,São Luiz,14004,Sudeste de Roraima,14,RR,6,28,95.91666666666669,296.95666666666665
140070,1400704,6,4,21.25,2,2,0.25,0,0,0,0,0,1,6111,2003,Uiramutã,14002,Nordeste de Roraima,14,RR,6,4,95.95833333333331,295.71
140005,1400050,7,5,18,4,3.6,0.4,0,0,0,0,0.4,0.8,19971,2003,Alto Alegre,14001,Boa Vista,14,RR,7,5,93.62096774193547,295.3477419354839
140002,1400027,7,42,16.476190476190474,1.0952380952380951,2.9761904761904763,0.2857142857142857,0.04761904761904761,0,0.0238095238095238,0,0,0.6190476190476191,5684,2003,Amajari,14001,Boa Vista,14,RR,7,42,93.62096774193547,295.3477419354839
