codMunRes6,codMunRes,ano,populacao
110001,1100015,2003,27563
110001,1100015,2004,29111
110001,1100015,2005,28629
110001,1100015,2006,29115
110001,1100015,2007,24354
110001,1100015,2008,24577
110001,1100015,2009,24354
110001,1100015,2010,24392
110001,1100015,2011,24228
110001,1100015,2012,24169
110001,1100015,2014,25652
110001,1100015,2015,25578
110001,1100015,2016,25516
110001,1100015,2017,25437
110001,1100015,2018,23167
110002,1100023,2003,79681
110002,1100023,2004,86911
110002,1100023,2005,85131
110002,1100023,2006,86924
110002,1100023,2007,85541
110002,1100023,2008,84581
110002,1100023,2009,85541
110002,1100023,2010,91353
110002,1100023,2011,91571
110002,1100023,2012,92747
110002,1100023,2013,102804
110002,1100023,2014,112861
110002,1100023,2015,114411
110002,1100023,2016,115896
110002,1100023,2017,117345
110002,1100023,2018,116168
110003,1100031,2003,7478
110003,1100031,2004,7421
110003,1100031,2005,7436
110003,1100031,2006,7421
110003,1100031,2007,6695
110003,1100031,2008,6777
110003,1100031,2009,6695
110003,1100031,2010,6313
110003,1100031,2011,6221
110003,1100031,2012,6132
110003,1100031,2013,6278
110003,1100031,2014,6424
110003,1100031,2015,6355
110003,1100031,2016,6289
110003,1100031,2017,6224
110003,1100031,2018,5438
110004,1100049,2003,74758
110004,1100049,2004,76417
110004,1100049,2005,75988
110004,1100049,2006,76422
110004,1100049,2007,78675
110004,1100049,2008,78263
110004,1100049,2009,78675
110004,1100049,2010,78574
110004,1100049,2011,78958
110004,1100049,2012,79331
110004,1100049,2014,86556
110004,1100049,2015,87226
110004,1100049,2016,87877
110004,1100049,2017,88517
110004,1100049,2018,84813
110005,1100056,2003,17794
110005,1100056,2004,17217
110005,1100056,2005,17366
110005,1100056,2006,17215
110005,1100056,2007,16622
110005,1100056,2008,16784
110005,1100056,2009,16622
110005,1100056,2010,17129
110005,1100056,2011,16939
110005,1100056,2012,16852
110005,1100056,2014,18113
110005,1100056,2015,17986
110005,1100056,2016,17959
110005,1100056,2017,17934
110005,1100056,2018,16444
110006,1100064,2003,21412
110006,1100064,2004,18349
110006,1100064,2005,18883
110006,1100064,2006,18342
110006,1100064,2007,17822
110006,1100064,2008,18216
110006,1100064,2009,17822
110006,1100064,2010,18591
110006,1100064,2011,18338
110006,1100064,2012,18193
110006,1100064,2013,18652
110006,1100064,2014,19111
110006,1100064,2015,18817
110006,1100064,2016,18639
110006,1100064,2017,18467
110006,1100064,2018,16227
110007,1100072,2003,11122
110007,1100072,2004,9411
110007,1100072,2005,9569
110007,1100072,2006,9419
110007,1100072,2007,9681
110007,1100072,2008,9761
110007,1100072,2009,9681
110007,1100072,2010,8783
110007,1100072,2011,8654
110007,1100072,2012,8531
110007,1100072,2014,8938
110007,1100072,2015,8842
110007,1100072,2016,8749
110007,1100072,2017,8659
110007,1100072,2018,7567
110008,1100080,2003,11255
110008,1100080,2004,11731
110008,1100080,2005,11349
110008,1100080,2006,11735
110008,1100080,2007,14452
110008,1100080,2008,13973
110008,1100080,2009,14452
110008,1100080,2010,13678
110008,1100080,2011,14122
110008,1100080,2012,14355
110008,1100080,2014,16258
110008,1100080,2015,16651
110008,1100080,2016,17131
110008,1100080,2017,17411
110008,1100080,2018,17855
110009,1100098,2003,26468
110009,1100098,2004,27556
110009,1100098,2005,27274
110009,1100098,2006,27559
110009,1100098,2007,28892
110009,1100098,2008,28617
110009,1100098,2009,28892
110009,1100098,2010,28729
110009,1100098,2011,28962
110009,1100098,2012,29189
110009,1100098,2013,30668
110009,1100098,2014,32147
110009,1100098,2015,32385
110009,1100098,2016,32712
110009,1100098,2017,33131
110009,1100098,2018,32147
110010,1100106,2003,39728
110010,1100106,2004,42175
110010,1100106,2005,41467
110010,1100106,2006,42182
110010,1100106,2007,41762
110010,1100106,2008,41541
110010,1100106,2009,41762
110010,1100106,2010,41656
110010,1100106,2011,41933
110010,1100106,2012,42212
110010,1100106,2014,46213
110010,1100106,2015,46632
110010,1100106,2016,47148
110010,1100106,2017,47451
110010,1100106,2018,45783
110011,1100114,2003,54711
110011,1100114,2004,56238
110011,1100114,2005,55841
110011,1100114,2006,56242
110011,1100114,2007,53943
110011,1100114,2008,53955
110011,1100114,2009,53943
110011,1100114,2010,52115
110011,1100114,2011,51883
110011,1100114,2012,51765
110011,1100114,2013,53717
110011,1100114,2014,55669
110011,1100114,2015,55738
110011,1100114,2016,55816
110011,1100114,2017,55871
110011,1100114,2018,51933
110012,1100122,2003,119573
110012,1100122,2004,113441
110012,1100122,2005,112439
110012,1100122,2006,113453
110012,1100122,2007,111111
110012,1100122,2008,111717
110012,1100122,2009,111111
110012,1100122,2010,116611
110012,1100122,2011,117363
110012,1100122,2012,118192
110012,1100122,2013,123717
110012,1100122,2014,129242
110012,1100122,2015,131419
110012,1100122,2016,131561
110012,1100122,2017,132667
110012,1100122,2018,127917
110013,1100130,2003,25645
110013,1100130,2004,29698
110013,1100130,2005,28649
110013,1100130,2006,29711
110013,1100130,2007,33159
110013,1100130,2008,32214
110013,1100130,2009,33159
110013,1100130,2010,31135
110013,1100130,2011,31779
110013,1100130,2012,32413
110013,1100130,2014,36412
110013,1100130,2015,37167
110013,1100130,2016,37899
110013,1100130,2017,38619
110013,1100130,2018,39197
110014,1100148,2003,17458
110014,1100148,2004,18113
110014,1100148,2005,17862
110014,1100148,2006,18115
110014,1100148,2007,17698
110014,1100148,2008,17653
110014,1100148,2009,17698
110014,1100148,2010,19874
110014,1100148,2011,19882
110014,1100148,2012,19891
110014,1100148,2014,21511
110014,1100148,2015,21592
110014,1100148,2016,21671
110014,1100148,2017,21747
110014,1100148,2018,21459
110015,1100155,2003,41822
110015,1100155,2004,41735
110015,1100155,2005,41757
110015,1100155,2006,41735
110015,1100155,2007,36725
110015,1100155,2008,37142
110015,1100155,2009,36725
110015,1100155,2010,37928
110015,1100155,2011,37711
110015,1100155,2012,37482
110015,1100155,2014,41111
110015,1100155,2015,39924
110015,1100155,2016,39841
110015,1100155,2017,39759
110015,1100155,2018,36341
110018,1100189,2003,31612
110018,1100189,2004,31416
110018,1100189,2005,31466
110018,1100189,2006,31415
110018,1100189,2007,33984
110018,1100189,2008,33813
110018,1100189,2009,33984
110018,1100189,2010,33822
110018,1100189,2011,33981
110018,1100189,2012,34135
110018,1100189,2013,35683
110018,1100189,2014,37231
110018,1100189,2015,37512
110018,1100189,2016,37786
110018,1100189,2017,38151
110018,1100189,2018,36434
110020,1100205,2003,353961
110020,1100205,2004,381884
110020,1100205,2005,373917
110020,1100205,2006,381974
110020,1100205,2007,382829
110020,1100205,2008,379186
110020,1100205,2009,382829
110020,1100205,2010,428527
110020,1100205,2011,435732
110020,1100205,2012,442711
110020,1100205,2013,468412
110020,1100205,2014,494113
110020,1100205,2015,512748
110020,1100205,2016,511219
110020,1100205,2017,519436
110020,1100205,2018,519531
110025,1100254,2003,25926
110025,1100254,2004,25314
110025,1100254,2005,25473
110025,1100254,2006,25313
110025,1100254,2007,22519
110025,1100254,2008,22896
110025,1100254,2009,22519
110025,1100254,2010,22319
110025,1100254,2011,22118
110025,1100254,2012,21719
110025,1100254,2013,22251
110025,1100254,2014,22783
110025,1100254,2015,22557
110025,1100254,2016,22337
110025,1100254,2017,22124
110025,1100254,2018,19419
110026,1100262,2003,3215
110026,1100262,2004,3612
110026,1100262,2005,3511
110026,1100262,2006,3613
110026,1100262,2007,3291
110026,1100262,2008,3261
110026,1100262,2009,3291
110026,1100262,2010,3316
110026,1100262,2011,3345
110026,1100262,2012,3374
110026,1100262,2014,3719
110026,1100262,2015,3751
110026,1100262,2016,3791
110026,1100262,2017,3829
110026,1100262,2018,3723
110028,1100288,2003,48434
110028,1100288,2004,49912
110028,1100288,2005,49522
110028,1100288,2006,49917
110028,1100288,2007,51499
110028,1100288,2008,51249
110028,1100288,2009,51499
110028,1100288,2010,51648
110028,1100288,2011,51899
110028,1100288,2012,51142
110028,1100288,2014,55817
110028,1100288,2015,56242
110028,1100288,2016,56664
110028,1100288,2017,57174
110028,1100288,2018,54712
110029,1100296,2003,11381
110029,1100296,2004,11168
110029,1100296,2005,11149
110029,1100296,2006,11167
110029,1100296,2007,9348
110029,1100296,2008,9566
110029,1100296,2009,9348
110029,1100296,2010,8886
110029,1100296,2011,8677
110029,1100296,2012,8476
110029,1100296,2013,8596
110029,1100296,2014,8716
110029,1100296,2015,8532
110029,1100296,2016,8362
110029,1100296,2017,8198
110029,1100296,2018,6781
110030,1100304,2003,58687
110030,1100304,2004,65785
110030,1100304,2005,63947
110030,1100304,2006,65817
110030,1100304,2007,69866
110030,1100304,2008,68415
110030,1100304,2009,69866
110030,1100304,2010,76212
110030,1100304,2011,77937
110030,1100304,2012,79616
110030,1100304,2014,89797
110030,1100304,2015,91811
110030,1100304,2016,93745
110030,1100304,2017,95631
110030,1100304,2018,97448
110032,1100320,2003,26927
110032,1100320,2004,31185
110032,1100320,2005,31182
110032,1100320,2006,31198
110032,1100320,2007,23211
110032,1100320,2008,23283
110032,1100320,2009,23211
110032,1100320,2010,21828
110032,1100320,2011,21878
110032,1100320,2012,21927
110032,1100320,2013,22870
110032,1100320,2014,23813
110032,1100320,2015,23933
110032,1100320,2016,24159
110032,1100320,2017,24181
110032,1100320,2018,22931
110033,1100338,2003,17198
110033,1100338,2004,21333
110033,1100338,2005,19496
110033,1100338,2006,21343
110033,1100338,2007,22337
110033,1100338,2008,21651
110033,1100338,2009,22337
110033,1100338,2010,22546
110033,1100338,2011,23142
110033,1100338,2012,23719
110033,1100338,2013,16821
110033,1100338,2014,26925
110033,1100338,2015,27611
110033,1100338,2016,28255
110033,1100338,2017,28891
110033,1100338,2018,29757
110034,1100346,2003,19711
110034,1100346,2004,19543
110034,1100346,2005,19586
110034,1100346,2006,19542
110034,1100346,2007,17127
110034,1100346,2008,17119
110034,1100346,2009,17127
110034,1100346,2010,16853
110034,1100346,2011,16624
110034,1100346,2012,16414
110034,1100346,2013,16821
110034,1100346,2014,17228
110034,1100346,2015,17163
110034,1100346,2016,16912
110034,1100346,2017,16747
110034,1100346,2018,14722
110037,1100379,2003,13852
110037,1100379,2004,15449
110037,1100379,2005,15135
110037,1100379,2006,15454
110037,1100379,2007,11875
110037,1100379,2008,11962
110037,1100379,2009,11875
110037,1100379,2010,12816
110037,1100379,2011,12824
110037,1100379,2012,12833
110037,1100379,2014,13884
110037,1100379,2015,13941
110037,1100379,2016,13993
110037,1100379,2017,14145
110037,1100379,2018,13227
110040,1100403,2003,14532
110040,1100403,2004,16514
110040,1100403,2005,15993
110040,1100403,2006,16511
110040,1100403,2007,17569
110040,1100403,2008,17169
110040,1100403,2009,17569
110040,1100403,2010,17135
110040,1100403,2011,17443
110040,1100403,2012,17742
110040,1100403,2014,19841
110040,1100403,2015,21211
