codMunRes,ano,mes,rhum
1100015,2003,1,90.2741935483871
1100015,2003,2,94.3125
1100015,2003,3,94.9274193548387
1100015,2003,4,92.28333333333333
1100015,2003,5,84.99193548387096
1100015,2003,6,72.18333333333334
1100015,2003,7,53.685483870967744
1100015,2003,8,47.33870967741935
1100015,2003,9,53.083333333333336
1100015,2003,10,80.41129032258064
1100015,2003,11,86.86666666666666
1100015,2003,12,84.62096774193549
1100023,2003,1,96.3225806451613
1100023,2003,2,96.24107142857143
1100023,2003,3,96.04032258064517
1100023,2003,4,94.98333333333333
1100023,2003,5,93.08064516129032
1100023,2003,6,84.30833333333334
1100023,2003,7,61.274193548387096
1100023,2003,8,71.62903225806451
1100023,2003,9,71
1100023,2003,10,92.76612903225806
1100023,2003,11,95.25833333333334
1100023,2003,12,96.3225806451613
1100031,2003,1,97.01612903225806
1100031,2003,2,97.22321428571429
1100031,2003,3,96.51612903225806
1100031,2003,4,94.275
1100031,2003,5,87.7741935483871
1100031,2003,6,69.11666666666666
1100031,2003,7,48.71774193548387
1100031,2003,8,44.28225806451613
1100031,2003,9,59.53333333333333
1100031,2003,10,88.91935483870968
1100031,2003,11,95.25833333333334
1100031,2003,12,95.39516129032258
1100049,2003,1,90.2741935483871
1100049,2003,2,94.3125
1100049,2003,3,94.9274193548387
1100049,2003,4,92.28333333333333
1100049,2003,5,84.99193548387096
1100049,2003,6,72.18333333333334
1100049,2003,7,53.685483870967744
1100049,2003,8,47.33870967741935
1100049,2003,9,53.083333333333336
1100049,2003,10,80.41129032258064
1100049,2003,11,86.86666666666666
1100049,2003,12,84.62096774193549
1100056,2003,1,97.01612903225806
1100056,2003,2,97.22321428571429
1100056,2003,3,96.51612903225806
1100056,2003,4,94.275
1100056,2003,5,87.7741935483871
1100056,2003,6,69.11666666666666
1100056,2003,7,48.71774193548387
1100056,2003,8,44.28225806451613
1100056,2003,9,59.53333333333333
1100056,2003,10,88.91935483870968
1100056,2003,11,95.25833333333334
1100056,2003,12,95.39516129032258
1100064,2003,1,97.01612903225806
1100064,2003,2,97.22321428571429
1100064,2003,3,96.51612903225806
1100064,2003,4,94.275
1100064,2003,5,87.7741935483871
1100064,2003,6,69.11666666666666
1100064,2003,7,48.71774193548387
1100064,2003,8,44.28225806451613
1100064,2003,9,59.53333333333333
1100064,2003,10,88.91935483870968
1100064,2003,11,95.25833333333334
1100064,2003,12,95.39516129032258
1100072,2003,1,97.01612903225806
1100072,2003,2,97.22321428571429
1100072,2003,3,96.51612903225806
1100072,2003,4,94.275
1100072,2003,5,87.7741935483871
1100072,2003,6,69.11666666666666
1100072,2003,7,48.71774193548387
1100072,2003,8,44.28225806451613
1100072,2003,9,59.53333333333333
1100072,2003,10,88.91935483870968
1100072,2003,11,95.25833333333334
1100072,2003,12,95.39516129032258
1100080,2003,1,83.35483870967742
1100080,2003,2,93.35714285714286
1100080,2003,3,93.81451612903226
1100080,2003,4,92.03333333333333
1100080,2003,5,87.56451612903226
1100080,2003,6,80.70833333333333
1100080,2003,7,66.54838709677419
1100080,2003,8,55.08064516129032
1100080,2003,9,54.791666666666664
1100080,2003,10,68.11290322580645
1100080,2003,11,80.5
1100080,2003,12,75.3225806451613
1100098,2003,1,97.01612903225806
1100098,2003,2,97.22321428571429
1100098,2003,3,96.51612903225806
1100098,2003,4,94.275
1100098,2003,5,87.7741935483871
1100098,2003,6,69.11666666666666
1100098,2003,7,48.71774193548387
1100098,2003,8,44.28225806451613
1100098,2003,9,59.53333333333333
1100098,2003,10,88.91935483870968
1100098,2003,11,95.25833333333334
1100098,2003,12,95.39516129032258
1100106,2003,1,92.91935483870968
1100106,2003,2,97.125
1100106,2003,3,96.35483870967742
1100106,2003,4,95.59166666666667
1100106,2003,5,93.7741935483871
1100106,2003,6,87.425
1100106,2003,7,72.83870967741936
1100106,2003,8,71.73387096774194
1100106,2003,9,70.225
1100106,2003,10,84.18548387096774
1100106,2003,11,91.54166666666667
1100106,2003,12,90.91935483870968
1100114,2003,1,96.3225806451613
1100114,2003,2,96.24107142857143
1100114,2003,3,96.04032258064517
1100114,2003,4,94.98333333333333
1100114,2003,5,93.08064516129032
1100114,2003,6,84.30833333333334
1100114,2003,7,61.274193548387096
1100114,2003,8,71.62903225806451
1100114,2003,9,71
1100114,2003,10,92.76612903225806
1100114,2003,11,95.25833333333334
1100114,2003,12,96.3225806451613
1100122,2003,1,96.3225806451613
1100122,2003,2,96.24107142857143
1100122,2003,3,96.04032258064517
1100122,2003,4,94.98333333333333
1100122,2003,5,93.08064516129032
1100122,2003,6,84.30833333333334
1100122,2003,7,61.274193548387096
1100122,2003,8,71.62903225806451
1100122,2003,9,71
1100122,2003,10,92.76612903225806
1100122,2003,11,95.25833333333334
1100122,2003,12,96.3225806451613
1100130,2003,1,96.3225806451613
1100130,2003,2,96.24107142857143
1100130,2003,3,96.04032258064517
1100130,2003,4,94.98333333333333
1100130,2003,5,93.08064516129032
1100130,2003,6,84.30833333333334
1100130,2003,7,61.274193548387096
1100130,2003,8,71.62903225806451
1100130,2003,9,71
1100130,2003,10,92.76612903225806
1100130,2003,11,95.25833333333334
1100130,2003,12,96.3225806451613
1100148,2003,1,90.2741935483871
1100148,2003,2,94.3125
1100148,2003,3,94.9274193548387
1100148,2003,4,92.28333333333333
1100148,2003,5,84.99193548387096
1100148,2003,6,72.18333333333334
1100148,2003,7,53.685483870967744
1100148,2003,8,47.33870967741935
1100148,2003,9,53.083333333333336
1100148,2003,10,80.41129032258064
1100148,2003,11,86.86666666666666
1100148,2003,12,84.62096774193549
1100155,2003,1,96.3225806451613
1100155,2003,2,96.24107142857143
1100155,2003,3,96.04032258064517
1100155,2003,4,94.98333333333333
1100155,2003,5,93.08064516129032
1100155,2003,6,84.30833333333334
