cenario,familia,especie,n,rse,cor,coverage_95,largura_95
completo,bell,P. falciparum,107,0.236,0.875,0.942,23
completo,bell,P. vivax,107,0.163,0.915,0.861,110.6
completo,nbinomial,P. falciparum,107,0.229,0.881,0.966,37.8
completo,nbinomial,P. vivax,107,0.16,0.919,0.941,202.5
completo,poisson,P. falciparum,107,0.245,0.87,0.889,19.6
completo,poisson,P. vivax,107,0.171,0.911,0.756,91.2
apenas_hotspots,bell,P. falciparum,12,0.275,0.855,0.85,115.6
apenas_hotspots,bell,P. vivax,11,0.261,0.864,0.641,643.3
apenas_hotspots,nbinomial,P. falciparum,12,0.266,0.862,0.943,208.6
apenas_hotspots,nbinomial,P. vivax,11,0.272,0.862,0.95,1225
apenas_hotspots,poisson,P. falciparum,12,0.285,0.85,0.71,100.6
apenas_hotspots,poisson,P. vivax,11,0.269,0.86,0.429,547.2
sem_hotspots,bell,P. falciparum,95,0.246,0.869,0.954,11.3
sem_hotspots,bell,P. vivax,96,0.271,0.859,0.886,49.5
sem_hotspots,nbinomial,P. falciparum,95,0.243,0.875,0.969,16.2
sem_hotspots,nbinomial,P. vivax,96,0.234,0.876,0.94,85.4
sem_hotspots,poisson,P. falciparum,95,0.255,0.864,0.912,9.4
sem_hotspots,poisson,P. vivax,96,0.292,0.85,0.793,39
