especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,nbinomial,model5,109,111,11556,321,94439.26160797352,94639.9506200714,34.213848895927754,0.07014892277112945,0.27404647871874976,0.5370722179151741,0.23519761225211788,0.9109206379988858,0.9813084112149532,416.3458046115625,35.44835066795349
P. vivax,nbinomial,model5,112,114,11877,321,96662.39813227725,96852.2321992218,10.578203317588756,0.05871367671179468,0.2877655378976189,0.4746643742156169,0.2656439434867913,0.8591523428229947,0.9376947040498442,204.41204172035825,19.90997195243835
P. vivax,nbinomial,model5,115,117,12198,321,98844.99422482772,99055.27659528313,20.300304800899056,0.06675155193027787,0.301555606679721,0.6160874790586097,0.2475634669432016,0.8907111657843064,0.8785046728971962,228.15716995864335,9.057721853256226
P. vivax,nbinomial,model5,118,120,12519,321,101290.51020930664,101494.75170867238,20.065301192592617,0.04100525222461106,0.27396826980418565,0.6573683015355428,0.1274812191934602,0.9389469592747895,0.8660436137071651,183.3362434500451,10.665247201919556
P. vivax,nbinomial,model5,121,123,12840,321,103671.87570025258,103869.126536103,11.29681952081198,0.06288481913515588,0.3024127136257257,0.5623998527617087,0.21694248201752217,0.9041915964627564,0.9532710280373832,371.2344080611128,12.496100664138794
P. vivax,nbinomial,model5,124,126,13161,321,105695.22110424444,105870.61556207744,24.40167218142427,0.05566904476779025,0.2444225547215998,0.5122286919892778,0.21151244866187036,0.9277367462263711,0.9439252336448598,146.36819819203714,12.327725648880005
P. vivax,nbinomial,model5,127,129,13482,321,107688.55173927206,107892.19335768493,0.5405236546210903,0.04495731102827111,0.2284331904641524,0.5700653252750006,0.1414532166331098,0.9265932307488766,0.9003115264797508,167.04513956925516,20.158758401870728
P. vivax,nbinomial,model5,130,132,13803,321,109853.0955777879,110069.47288710224,12.535584450534651,0.04409988128131198,0.2398576980936458,0.5537902255842738,0.1309918795995148,0.9628303098390234,0.9003115264797508,152.68786858423977,9.898884534835815
P. vivax,nbinomial,model5,133,135,14124,321,111875.309699507,112091.5132371171,8.123972581617425,0.0286553967889181,0.17583539947871904,0.4559622603010669,0.08544119912391719,0.9671457514867644,0.968847352024922,312.30804434099696,14.064231634140016
P. vivax,nbinomial,model5,136,138,14445,321,113653.24100087714,113854.53386978566,10.643214844123472,0.04219352500086289,0.17448152221095475,0.4252775416161096,0.09155467458805176,0.9678217571479056,0.9626168224299064,121.08577016487617,10.857443809509276
P. vivax,nbinomial,model5,139,141,14766,321,115404.40209916112,115624.05995516387,13.249628440756856,0.03488637489399474,0.17413364721658445,0.46186557690602265,0.08779496110904662,0.9725762395475296,0.940809968847352,134.93818204640434,12.036540985107422
P. vivax,nbinomial,model5,142,144,15087,321,117296.4463361998,117529.8649700713,0.59818080386866,0.04980411721932959,0.18984617321101557,0.4266358141886473,0.11459963273733435,0.9486193475988778,0.956386292834891,122.12801658920344,13.08458948135376
P. vivax,nbinomial,model5,145,147,15408,321,119102.66946933544,119337.0812676416,15.835511150142937,0.05266568229155504,0.2129737265017032,0.4132465825082106,0.14860036407763186,0.9561877529099638,0.9781931464174456,262.0668617447899,10.74962830543518
P. vivax,nbinomial,model5,148,150,15729,321,120738.5734315892,120961.25068880698,18.33570475691988,0.05015163589477856,0.22141711084643304,0.4283442210286637,0.18793876606827145,0.9350290486117944,0.9439252336448598,115.9226496176771,13.902571201324465
P. vivax,nbinomial,model5,151,153,16050,321,122367.60884311216,122605.5116118045,30.513300142417496,0.05788871283188859,0.20822796244769048,0.3848715069475784,0.17161592849591978,0.9560238604924872,0.9501557632398754,131.13870872746494,11.411674976348875
P. vivax,nbinomial,model5,154,156,16371,321,124113.47752158354,124358.95183749282,4.7493833983442535,0.02401769734701355,0.12240015762281162,0.4184522876887583,0.03147969523710639,0.9847736530107664,0.9345794392523364,128.9387441659444,13.88994574546814
P. vivax,nbinomial,model5,157,159,16692,321,125861.0838168068,126110.88580963064,17.231249063025967,0.05411817227658489,0.25600693835517147,0.5475015631287962,0.18788773135538853,0.934295095215389,0.968847352024922,312.0002809499152,12.56122064590454
P. vivax,nbinomial,model5,160,162,17013,321,127630.39311178142,127865.99293348286,6.731097043637895,0.05477558880047624,0.29459939807092916,0.4598173577175357,0.19627486914041645,0.9031462343956346,0.940809968847352,129.14342718802982,15.760132551193236
P. vivax,nbinomial,model5,163,165,17334,321,129337.14060201652,129588.20173308496,3.0683739182022047,0.03951370224104555,0.25928439293622413,0.527641598201334,0.1429672321806672,0.9266402799384924,0.9190031152647976,124.79396552260332,12.574493408203123
P. vivax,nbinomial,model5,166,168,17655,321,131145.69308712293,131406.77822724098,15.818664352834318,0.04799069579703681,0.23063929393030283,0.5341849007798195,0.13402561668746593,0.9448731334811076,0.8909657320872274,124.88622068202028,13.323707818984984
P. vivax,nbinomial,model5,169,171,17976,321,133037.64429018483,133293.6560270947,34.36602788519184,0.06575096708448984,0.2988053983593475,0.5201449276439707,0.26458138547954846,0.957904360676302,0.9813084112149532,284.69129995839774,13.066550254821776
