especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,poisson,model5,109,111,11556,321,30386.629886088893,572228.4244175352,37.03446928248877,0.07488065974450754,0.2911290711887714,0.5504268377576375,0.26799717754867564,0.8974140664466013,0.9813084112149532,354.398254044827,9.795568227767944
P. vivax,poisson,model5,112,114,11877,321,32388.58626212523,578978.9558130727,12.507382040794932,0.0696448198675196,0.3254999847131531,0.5119523318091302,0.37376532044620586,0.8188700602953722,0.632398753894081,30.794529356634637,5.551152229309082
P. vivax,poisson,model5,115,117,12198,321,25542.97450362175,588261.2146687582,32.44380348121896,0.07507432060398149,0.32243046328797953,0.6479874005185126,0.31314583731941337,0.8915230812843901,0.5919003115264797,31.47966757165937,6.049999475479126
P. vivax,poisson,model5,118,120,12519,321,16002.128581334311,612932.6105258904,23.71260344923198,0.04299980671078081,0.28819982867864286,0.6357800844904041,0.14018457839919954,0.9371163628112168,0.6105919003115264,27.367720794987925,5.702299356460571
P. vivax,poisson,model5,121,123,12840,321,13911.541216456855,646948.7530233564,14.191872517203311,0.06578496482831317,0.30893339799930636,0.5529717727564661,0.23741396760196007,0.9003354922678408,0.9345794392523364,313.5815575540238,5.40628981590271
P. vivax,poisson,model5,124,126,13161,321,15922.837353017589,651927.4780250015,12.62756811972326,0.04390961373860452,0.22361404261834916,0.5192549473130735,0.13159143655345693,0.9417932360516756,0.6635514018691588,24.379059633561635,6.4118971824646
P. vivax,poisson,model5,127,129,13482,321,18172.170641080535,657538.1101522588,6.416067722197409,0.04259552660923287,0.22490015846256545,0.5872772378139899,0.12698141328702808,0.9370994352555354,0.6199376947040498,26.08175781171147,7.411314487457275
P. vivax,poisson,model5,130,132,13803,321,21592.385562684445,677499.485272259,16.686125271588974,0.05209414999495537,0.27030665538969195,0.552260712875817,0.18278790090810185,0.9554530724254304,0.6573208722741433,23.550234530759035,5.5892884731292725
P. vivax,poisson,model5,133,135,14124,321,24863.27313144476,699486.7431641192,12.606501169825709,0.03410808555232871,0.19253005192794792,0.4495064980295457,0.12105121954777144,0.966326118133901,0.9657320872274144,258.1758725350236,5.674847602844238
P. vivax,poisson,model5,136,138,14445,321,27042.417058048188,704481.8522899464,0.16257652403653747,0.03317845496328693,0.15929968091240676,0.4592002156674071,0.05661105139736105,0.9712939873162962,0.7383177570093458,21.57954436833628,9.855759143829346
