especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,poisson,model6,109,120,11556,1284,30386.910948491364,572226.9461818438,23.34679780381411,0.06147799986063567,0.3677404512266344,0.678578729018845,0.38397827666538764,0.7932361993581454,0.9057632398753894,425.16410550013404,16.66301465034485
P. vivax,poisson,model6,121,132,12840,1284,13855.382245942601,646925.180977835,14.532347982439143,0.049416758819538824,0.3211606403358814,0.7843986662961792,0.2335799071748295,0.9004511958292104,0.8777258566978193,367.1568453528096,12.29433560371399
P. vivax,poisson,model6,133,144,14124,1284,24874.56708941533,698626.6970006437,17.029561283642632,0.04290786266472829,0.23587620709194282,0.5671633793623196,0.18541476559231573,0.9251409366940279,0.9415887850467289,286.19515465085493,9.628621101379395
P. vivax,poisson,model6,145,156,15408,1284,35145.93874356849,744568.7058182281,30.780962819311082,0.05907153020049289,0.2863812417350423,0.499633086188835,0.2761809919837531,0.923920606492507,0.9595015576323987,260.89079330998254,11.008473873138428
P. vivax,poisson,model6,157,168,16692,1284,41467.645062722615,787189.3193052567,15.188042904919175,0.06324506296306245,0.3935891574903958,0.6260280565513165,0.4033016883742659,0.7798337906754595,0.9306853582554517,297.23284952216176,12.347061157226562
P. vivax,poisson,model6,169,180,17976,1284,44302.87681681616,857508.6315486255,66.91471914004984,0.0789851418080158,0.40225730305933455,0.8252092129011157,0.4181777177550119,0.9314232437416586,0.9158878504672897,240.71010849356622,11.234278678894043
P. vivax,poisson,model6,181,192,19260,1284,40636.01496038376,940267.9643486813,28.760351810759467,0.04830288101816703,0.27784010674540793,0.58782083002743,0.21777420678732218,0.8942700221388087,0.9579439252336449,427.3926073460158,11.657173156738281
P. vivax,poisson,model6,193,204,20544,1284,38927.52077602706,1008233.5469100717,20.561064475706118,0.049289844795891574,0.2572254703891258,0.5751350384552535,0.18949277129351313,0.9177556685630838,0.955607476635514,352.58269993863973,11.230238914489746
P. vivax,poisson,model6,205,216,21828,1284,48702.93756196799,1059028.0367461026,19.974597432760405,0.04407991356702771,0.2926233277269778,0.6191316548913111,0.2407537637500121,0.9083817328546491,0.9384735202492211,300.50570568205933,12.113141536712646
P. falciparum,poisson,model6,109,120,11556,1284,56137.470624416135,260779.6365576876,5.785932143009142,0.04991867081756717,0.3695937297932369,0.629886784451759,0.37002078232545355,0.8447357244310788,0.9384735202492211,98.94196957742957,18.68088984489441
P. falciparum,poisson,model6,121,132,12840,1284,61658.946735587524,290182.79676652484,8.01538089931321,0.05548579617840585,0.4210925404094864,0.7401348149262174,0.4716770728629004,0.8183057002387512,0.8995327102803738,81.69243954227701,9.681771516799927
P. falciparum,poisson,model6,133,144,14124,1284,67664.13286566574,302498.097425418,3.4453867681824635,0.04687837951647764,0.39446922384166905,0.5606218788487108,0.4060704832722113,0.7933953974467858,0.9680685358255452,77.02327847065649,6.7020087242126465
P. falciparum,poisson,model6,145,156,15408,1284,72105.04021981533,314864.0335272668,1.997073757273136,0.032689691948405,0.2542795029649027,0.43872565832094385,0.13735360739975588,0.9408198693131398,0.985202492211838,74.31254509242756,8.51730990409851
P. falciparum,poisson,model6,157,168,16692,1284,76206.43115407368,322253.9682902629,2.5816480859860143,0.03648037803877694,0.39282914207918745,0.5273608832521092,0.34930387390809203,0.8997814878200369,0.9727414330218068,42.35271757547207,16.161577939987183
P. falciparum,poisson,model6,169,180,17976,1284,80087.08763294801,333367.44932471897,7.039050845906637,0.06895201244738994,0.4221748726204955,0.5136182033888802,0.5985581829599068,0.8664932053658225,0.9774143302180686,35.13305176167041,7.297104358673096
P. falciparum,poisson,model6,181,192,19260,1284,84472.260431506,341743.5423066794,4.505157314540466,0.057363072986202565,0.3226663244225512,0.5033302512111539,0.3484831836949325,0.8989259377046427,0.9719626168224299,59.71251579485427,7.646160125732422
P. falciparum,poisson,model6,193,204,20544,1284,88827.56135276653,358653.32925359614,3.79899209252153,0.04501756760319689,0.3356889589690147,0.626767097522053,0.291232547779162,0.9223009112015074,0.9454828660436138,41.24722165788275,9.125243425369263
P. falciparum,poisson,model6,205,216,21828,1284,93666.1834866945,363013.8559341879,6.540173404081806,0.06300496949855598,0.4077317025396933,0.6310637379790809,0.4138397950670904,0.908557072284949,0.9602803738317757,38.907348164481625,9.718989372253418
