especie,familia,modelo,codMicroRes,nomeMicroRes,siglaUF,ano,mes,idMes,populacao,real_taxa,pred_taxa,residual,ci_low,ci_high,covered,test_start
P. vivax,nbinomial,model5,11001,Porto Velho,RO,2012,1,109,559543,340.992559999857,313.8342605408692,27.158299458987813,100.87249773475854,1526.0891477509272,TRUE,109
P. vivax,nbinomial,model5,11001,Porto Velho,RO,2012,2,110,559543,263.2505455344808,252.32746772557545,10.923077808905362,84.07307391925195,1196.1368473915304,TRUE,109
P. vivax,nbinomial,model5,11001,Porto Velho,RO,2012,3,111,559543,284.1604666665475,277.3978405781437,6.762626088403806,80.33341494755541,1380.5015879029838,TRUE,109
P. vivax,nbinomial,model5,11001,Porto Velho,RO,2012,4,112,559543,307.75114691810995,285.33951709577855,22.411629822331406,78.3541211309944,1452.4665664658478,TRUE,109
P. vivax,nbinomial,model5,11001,Porto Velho,RO,2012,5,113,559543,312.7552306078353,329.6867854395791,-16.931554831743824,104.54066979660188,1612.5212896953403,TRUE,109
P. vivax,nbinomial,model5,11001,Porto Velho,RO,2012,6,114,559543,337.239497232563,368.8490674680555,-31.609570235492527,134.52942848002743,1826.3118294751237,TRUE,109
P. vivax,nbinomial,model5,11001,Porto Velho,RO,2012,7,115,559543,426.7768518237204,391.58636297938216,35.19048884433823,131.25443442237685,1856.7205737539384,TRUE,109
P. vivax,nbinomial,model5,11001,Porto Velho,RO,2012,8,116,559543,439.2870610480338,372.81386686267007,66.47319418536375,106.57804672741864,1721.6281858588152,TRUE,109
P. vivax,nbinomial,model5,11001,Porto Velho,RO,2012,9,117,559543,419.6281608383985,332.6901652657313,86.9379955726672,81.44146205028034,1747.9309007529357,TRUE,109
P. vivax,nbinomial,model5,11001,Porto Velho,RO,2012,10,118,559543,440.1806474211991,346.1057301975892,94.07491722360993,116.1304850565551,1617.2438936775188,TRUE,109
P. vivax,nbinomial,model5,11001,Porto Velho,RO,2012,11,119,559543,426.95556909835346,349.36856242451796,77.5870066738355,117.05981488464694,1690.7503087340888,TRUE,109
P. vivax,nbinomial,model5,11001,Porto Velho,RO,2012,12,120,559543,331.5205444443054,299.0201271114411,32.50041733286429,88.675043741053,1406.321766155594,TRUE,109
P. vivax,nbinomial,model5,11002,Guajará-Mirim,RO,2012,1,109,73193,91.53880835599033,126.53037810527518,-34.99156974928485,51.20025139016026,578.7097126774418,TRUE,109
P. vivax,nbinomial,model5,11002,Guajará-Mirim,RO,2012,2,110,73193,94.27131009796018,104.31049125926434,-10.039181161304157,38.90399355129589,488.0248111158168,TRUE,109
P. vivax,nbinomial,model5,11002,Guajará-Mirim,RO,2012,3,111,73193,94.27131009796018,118.87577102425298,-24.604460926292802,36.17149180932603,552.8875712158264,TRUE,109
P. vivax,nbinomial,model5,11002,Guajará-Mirim,RO,2012,4,112,73193,120.23007664667387,122.97639940280173,-2.746322756127867,39.62127525856298,646.3732870629703,TRUE,109
P. vivax,nbinomial,model5,11002,Guajará-Mirim,RO,2012,5,113,73193,178.97886409902586,127.45544866587441,51.52341543315144,44.36899703523561,524.947740904184,TRUE,109
P. vivax,nbinomial,model5,11002,Guajará-Mirim,RO,2012,6,114,73193,147.55509406637245,119.5008395375923,28.05425452878015,34.15627177462326,562.0756083231997,TRUE,109
P. vivax,nbinomial,model5,11002,Guajará-Mirim,RO,2012,7,115,73193,155.75259929228204,118.49031740930661,37.26228188297543,35.52252264560819,535.9802166873878,TRUE,109
P. vivax,nbinomial,model5,11002,Guajará-Mirim,RO,2012,8,116,73193,143.45634145341768,125.68799097109394,17.76835048232374,48.467749648190406,615.1544546609646,TRUE,109
P. vivax,nbinomial,model5,11002,Guajará-Mirim,RO,2012,9,117,73193,97.00381183993005,127.01575171105085,-30.011939871120802,47.75046794092333,569.7949257442651,TRUE,109
P. vivax,nbinomial,model5,11002,Guajará-Mirim,RO,2012,10,118,73193,142.09009058243277,134.35151280061788,7.738577781814882,48.467749648190406,565.0472039675911,TRUE,109
P. vivax,nbinomial,model5,11002,Guajará-Mirim,RO,2012,11,119,73193,98.370062710915,126.53333796956075,-28.163275258645754,43.00274616425068,537.1415299277251,TRUE,109
P. vivax,nbinomial,model5,11002,Guajará-Mirim,RO,2012,12,120,73193,99.7363135818999,111.72265532149585,-11.986341739595943,45.59862281912206,444.8171273209186,TRUE,109
P. vivax,nbinomial,model5,11003,Ariquemes,RO,2012,1,109,176003,136.3613120230905,188.46775939593462,-52.106447372844116,53.05307295898366,1115.4071237422083,TRUE,109
P. vivax,nbinomial,model5,11003,Ariquemes,RO,2012,2,110,176003,110.79356601876106,149.57393873843128,-38.780372719670225,50.751975818594005,842.9117685493984,TRUE,109
P. vivax,nbinomial,model5,11003,Ariquemes,RO,2012,3,111,176003,111.92991028562012,160.84773737105905,-48.91782708543893,45.66683522439959,844.6446935563595,TRUE,109
P. vivax,nbinomial,model5,11003,Ariquemes,RO,2012,4,112,176003,116.47528735305647,153.67408909752325,-37.19880174446678,49.99914774179985,777.5861775083379,TRUE,109
P. vivax,nbinomial,model5,11003,Ariquemes,RO,2012,5,113,176003,135.79313988966098,173.86181065710363,-38.068670767442654,63.87675210081646,872.1016119043423,TRUE,109
P. vivax,nbinomial,model5,11003,Ariquemes,RO,2012,6,114,176003,164.20174656113818,205.02403453176134,-40.822287970623165,63.06710681067936,1093.4898836951627,TRUE,109
P. vivax,nbinomial,model5,11003,Ariquemes,RO,2012,7,115,176003,155.11099242626545,232.50556552076281,-77.39457309449736,72.93909762901768,1289.8643773117496,TRUE,109
P. vivax,nbinomial,model5,11003,Ariquemes,RO,2012,8,116,176003,189.76949256546763,239.79379043764806,-50.024297872180426,85.16900280108862,1166.514207144196,TRUE,109
P. vivax,nbinomial,model5,11003,Ariquemes,RO,2012,9,117,176003,111.92991028562012,214.73445844465152,-102.8045481590314,72.64080725896719,1118.7451350261067,TRUE,109
P. vivax,nbinomial,model5,11003,Ariquemes,RO,2012,10,118,176003,144.88389402453367,211.44679005209505,-66.56289602756138,78.02423822321211,1257.7484474696391,TRUE,109
P. vivax,nbinomial,model5,11003,Ariquemes,RO,2012,11,119,176003,106.81636108475422,201.24049281619781,-94.4241317314436,72.99591484236065,1073.1919342283918,TRUE,109
