especie,familia,modelo,codMicroRes,nomeMicroRes,siglaUF,ano,mes,idMes,populacao,real_taxa,pred_taxa,residual,ci_low,ci_high,covered,test_start
P. vivax,poisson,model5,11001,Porto Velho,RO,2012,1,109,559543,340.992559999857,284.0625315812811,56.93002841857589,140.15455469910268,1513.6012781859463,TRUE,109
P. vivax,poisson,model5,11001,Porto Velho,RO,2012,2,110,559543,263.2505455344808,234.39359447953805,28.856951054942755,117.00619970225702,1234.0829927279924,TRUE,109
P. vivax,poisson,model5,11001,Porto Velho,RO,2012,3,111,559543,284.1604666665475,263.63772501542604,20.522741651121464,127.2288278112674,1405.1377642111486,TRUE,109
P. vivax,poisson,model5,11001,Porto Velho,RO,2012,4,112,559543,307.75114691810995,277.9059235040523,29.84522341405767,136.70084336681902,1461.8715630434103,TRUE,109
P. vivax,poisson,model5,11001,Porto Velho,RO,2012,5,113,559543,312.7552306078353,312.99387045657545,-0.23863984874014932,155.30531165611936,1666.829001524456,TRUE,109
P. vivax,poisson,model5,11001,Porto Velho,RO,2012,6,114,559543,337.239497232563,350.5597576040482,-13.320260371485176,170.48734413619687,1855.6929494247952,TRUE,109
P. vivax,poisson,model5,11001,Porto Velho,RO,2012,7,115,559543,426.7768518237204,376.44002400206966,50.33682782165073,181.97886489510188,2015.323219127034,TRUE,109
P. vivax,poisson,model5,11001,Porto Velho,RO,2012,8,116,559543,439.2870610480338,354.7674768423733,84.51958420566052,174.8078342504508,1893.3754867811735,TRUE,109
P. vivax,poisson,model5,11001,Porto Velho,RO,2012,9,117,559543,419.6281608383985,297.27422523202625,122.35393560637226,141.2357942106326,1600.09150324461,TRUE,109
P. vivax,poisson,model5,11001,Porto Velho,RO,2012,10,118,559543,440.1806474211991,313.1013934266864,127.07925399451273,159.57665451984923,1660.3639041146052,TRUE,109
P. vivax,poisson,model5,11001,Porto Velho,RO,2012,11,119,559543,426.95556909835346,346.5551758688562,80.40039322949724,169.78587883326213,1859.9821640159894,TRUE,109
P. vivax,poisson,model5,11001,Porto Velho,RO,2012,12,120,559543,331.5205444443054,297.3667056076874,34.153838836618036,144.56440345067315,1583.7165329563559,TRUE,109
P. vivax,poisson,model5,11002,Guajará-Mirim,RO,2012,1,109,73193,91.53880835599033,112.33684883018837,-20.798040474198046,46.38421706993839,495.77828480865617,TRUE,109
P. vivax,poisson,model5,11002,Guajará-Mirim,RO,2012,2,110,73193,94.27131009796018,91.43652475253144,2.8347853454287417,38.90399355129589,405.1958520623556,TRUE,109
P. vivax,poisson,model5,11002,Guajará-Mirim,RO,2012,3,111,73193,94.27131009796018,104.45483236830907,-10.183522270348888,41.63649529326575,465.0034839397206,TRUE,109
P. vivax,poisson,model5,11002,Guajará-Mirim,RO,2012,4,112,73193,120.23007664667387,127.09312170243786,-6.86304505576399,53.21547142486303,564.9788914240432,TRUE,109
P. vivax,poisson,model5,11002,Guajará-Mirim,RO,2012,5,113,73193,178.97886409902586,123.82578050040892,55.15308359861693,52.56650226114519,527.3728362001831,TRUE,109
P. vivax,poisson,model5,11002,Guajará-Mirim,RO,2012,6,114,73193,147.55509406637245,109.39584568540081,38.15924838097163,46.452529613487634,467.3944229639445,TRUE,109
P. vivax,poisson,model5,11002,Guajará-Mirim,RO,2012,7,115,73193,155.75259929228204,107.54449899726514,48.208100295016905,45.01796619895346,464.21788968890434,TRUE,109
P. vivax,poisson,model5,11002,Guajará-Mirim,RO,2012,8,116,73193,143.45634145341768,113.49789743180412,29.95844402161356,43.00274616425068,489.25443689970336,TRUE,109
P. vivax,poisson,model5,11002,Guajará-Mirim,RO,2012,9,117,73193,97.00381183993005,115.53078965855055,-18.526977818620495,42.21715191343436,515.7938600685858,TRUE,109
P. vivax,poisson,model5,11002,Guajará-Mirim,RO,2012,10,118,73193,142.09009058243277,129.5586991864504,12.531391395982354,51.20025139016026,582.8084652903965,TRUE,109
P. vivax,poisson,model5,11002,Guajará-Mirim,RO,2012,11,119,73193,98.370062710915,120.34067128931466,-21.970608578399663,43.720027871517765,530.9592447365184,TRUE,109
P. vivax,poisson,model5,11002,Guajará-Mirim,RO,2012,12,120,73193,99.7363135818999,104.18206787944078,-4.445754297540873,41.63649529326575,460.11913707594954,TRUE,109
P. vivax,poisson,model5,11003,Ariquemes,RO,2012,1,109,176003,136.3613120230905,172.98005741377904,-36.61874539068853,69.79994659181946,946.6031829002914,TRUE,109
P. vivax,poisson,model5,11003,Ariquemes,RO,2012,2,110,176003,110.79356601876106,146.2996543540568,-35.50608833529574,55.89393362613138,804.0629989261538,TRUE,109
P. vivax,poisson,model5,11003,Ariquemes,RO,2012,3,111,176003,111.92991028562012,155.9272719319918,-43.99736164637169,63.635278944108904,831.0653795673934,TRUE,109
P. vivax,poisson,model5,11003,Ariquemes,RO,2012,4,112,176003,116.47528735305647,154.5919138695675,-38.11662651651102,63.848343494144984,834.5738424913209,TRUE,109
P. vivax,poisson,model5,11003,Ariquemes,RO,2012,5,113,176003,135.79313988966098,172.87256274079272,-37.07942285113174,72.96750623568916,927.1148787236577,TRUE,109
P. vivax,poisson,model5,11003,Ariquemes,RO,2012,6,114,176003,164.20174656113818,195.20216482521596,-31.00041826407778,80.06965790355848,1064.4278790702415,TRUE,109
P. vivax,poisson,model5,11003,Ariquemes,RO,2012,7,115,176003,155.11099242626545,228.68703148473736,-73.5760390584719,95.4245098094919,1233.7289705289102,TRUE,109
P. vivax,poisson,model5,11003,Ariquemes,RO,2012,8,116,176003,189.76949256546763,233.57596209957728,-43.80646953410965,94.2881655426328,1277.0805043095834,TRUE,109
P. vivax,poisson,model5,11003,Ariquemes,RO,2012,9,117,176003,111.92991028562012,197.34283842074797,-85.41292813512784,87.20021817809923,1068.5755356442787,TRUE,109
P. vivax,poisson,model5,11003,Ariquemes,RO,2012,10,118,176003,144.88389402453367,192.3754606234025,-47.491566598868815,78.3509371999341,1037.7806060123976,TRUE,109
P. vivax,poisson,model5,11003,Ariquemes,RO,2012,11,119,176003,106.81636108475422,195.4789172738912,-88.66255618913698,80.62362573365226,1061.9705345931593,TRUE,109
P. vivax,poisson,model5,11003,Ariquemes,RO,2012,12,120,176003,119.88432015363375,169.95389204292505,-50.069571889291296,70.96469946535002,925.2825235933473,TRUE,109
P. vivax,poisson,model5,11004,Ji-Paraná,RO,2012,1,109,294157,22.097043415590996,23.691955762342612,-1.5949123467516166,10.198635422580459,140.4182120432286,TRUE,109
P. vivax,poisson,model5,11004,Ji-Paraná,RO,2012,2,110,294157,21.75708890150498,18.394829201187655,3.362259700317324,7.12204707010202,108.0460434393877,TRUE,109
P. vivax,poisson,model5,11004,Ji-Paraná,RO,2012,3,111,294157,20.737225359246935,20.88386862714718,-0.14664326790024518,7.1390447958063215,122.23914440247893,TRUE,109
P. vivax,poisson,model5,11004,Ji-Paraná,RO,2012,4,112,294157,21.41713438741896,19.939147787219003,1.4779866001999586,7.300523189997179,118.30417090193332,TRUE,109
