especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,poisson,glm_sem_covariaveis_h1,109,109,11556,107,NA,NA,14.81122353448487,0.08739279326438186,0.43766982571631596,0.9884621931001739,0.2904885816762628,0.8494484138972035,0.42990654205607476,29.013933113939277,0.5316007137298584
P. vivax,poisson,glm_sem_covariaveis_h1,110,110,11663,107,NA,NA,0.2906008439716432,0.09863803328571817,0.4637014405337164,1.0449237255641415,0.44088457410915494,0.7490130141237976,0.411214953271028,27.583253348977184,0.5549452304840088
P. vivax,poisson,glm_sem_covariaveis_h1,111,111,11770,107,NA,NA,10.430981485023057,0.1087559298167723,0.5185228338786596,1.1568460239669829,0.5098908713389743,0.7195151686191712,0.37383177570093457,27.967161836922216,0.5483427047729492
P. vivax,poisson,glm_sem_covariaveis_h1,112,112,11877,107,NA,NA,8.485674279218268,0.14407437603159476,0.5144132507402637,1.1008758437894706,0.5435009760051122,0.696739430142166,0.42990654205607476,26.967058396033835,0.5665233135223389
P. vivax,poisson,glm_sem_covariaveis_h1,113,113,11984,107,NA,NA,3.6542617699333655,0.11998526557961955,0.5358147897987664,1.0896645491274943,0.6254978696311342,0.6278439119377557,0.35514018691588783,28.765419561238417,0.55271148681640625
P. vivax,poisson,glm_sem_covariaveis_h1,114,114,12091,107,NA,NA,3.4440617354820633,0.11269470465418713,0.5804196956166493,1.1562014809993255,0.7094562738501797,0.5601293216717106,0.32710280373831774,30.31568013158622,0.6731178760528564
P. vivax,poisson,glm_sem_covariaveis_h1,115,115,12198,107,NA,NA,22.87351188598709,0.129296869845436,0.5512248174106463,1.1035987650921615,0.623777507552522,0.6732265019545557,0.37383177570093457,32.19773295158972,0.569866418838501
P. vivax,poisson,glm_sem_covariaveis_h1,116,116,12305,107,NA,NA,42.652286905180496,0.15825570394963892,0.5812297047502434,1.1500886882642434,0.585873869655802,0.7701868170491594,0.2897196261682243,32.451358101513115,0.5985910892486572
P. vivax,poisson,glm_sem_covariaveis_h1,117,117,12412,107,NA,NA,45.939108282503405,0.14019121857689926,0.5582786715399324,1.1848602454905526,0.5535618668518413,0.8467079200439516,0.3644859813084112,29.211120905478996,0.5900881290435791
P. vivax,poisson,glm_sem_covariaveis_h1,118,118,12519,107,NA,NA,25.456489308286056,0.07316994576314945,0.40933305677767934,1.0600249841965723,0.2195640422294035,0.8945805482926652,0.38317757009345793,27.87990316958474,0.6904025077819824
P. vivax,poisson,glm_sem_covariaveis_h1,119,119,12626,107,NA,NA,16.09941207334648,0.0685850149288462,0.49328202791150494,1.1378369867124605,0.28382703800179776,0.8548860484026997,0.35514018691588783,26.94734628275466,0.5853621959686279
P. vivax,poisson,glm_sem_covariaveis_h1,120,120,12733,107,NA,NA,18.430977959708216,0.06651502397339389,0.4878971674065582,1.167412233412557,0.2746151895407288,0.8610988045299894,0.4205607476635514,25.426859708206635,0.6173858642578125
P. vivax,poisson,glm_sem_covariaveis_h1,121,121,12840,107,NA,NA,15.332492078717756,0.0696786160272968,0.4462562140514353,1.0166793769846791,0.22578829314360926,0.885580209338456,0.4205607476635514,25.536277747576506,0.6986432075500488
P. vivax,poisson,glm_sem_covariaveis_h1,122,122,12947,107,NA,NA,10.883106029057268,0.07931552033190879,0.4938280565421058,1.0673944188471027,0.28224279004944075,0.8549344520590628,0.4392523364485981,23.065984774485244,0.6234481334686279
P. vivax,poisson,glm_sem_covariaveis_h1,123,123,13054,107,NA,NA,15.778032328275318,0.10586456737409057,0.496229042759024,1.1823568395826822,0.3584639134469013,0.805369470924884,0.4205607476635514,23.57596374459131,0.6140499114990234
P. vivax,poisson,glm_sem_covariaveis_h1,124,124,13161,107,NA,NA,4.809918641843792,0.110311785098905,0.4874079291407649,1.1747555672034178,0.4912959491147617,0.7173959876739363,0.4766355140186916,22.71153601968227,0.6410424709320068
P. vivax,poisson,glm_sem_covariaveis_h1,125,125,13268,107,NA,NA,15.359355427755276,0.10717759888824581,0.5327951739448573,1.2852567295238697,0.6501036525092879,0.5953871403049413,0.411214953271028,23.810074625805125,0.7095179557800293
P. vivax,poisson,glm_sem_covariaveis_h1,126,126,13375,107,NA,NA,2.6354998060140264,0.10651439821180494,0.555897362607118,1.3641937463758407,0.6334062636415401,0.6059263597378681,0.35514018691588783,25.222610506984342,0.6498041152954102
P. vivax,poisson,glm_sem_covariaveis_h1,127,127,13482,107,NA,NA,6.711234007781965,0.10890799821768551,0.5552379320107109,1.2825880081032817,0.5919802513031601,0.643546512945597,0.34579439252336447,26.703260635394894,0.658118486404419
P. vivax,poisson,glm_sem_covariaveis_h1,128,128,13589,107,NA,NA,17.972158532407587,0.13640003227058148,0.5431846137894932,1.3657170560463807,0.47923588656314076,0.7447905539934279,0.37383177570093457,26.450159474974118,0.7513933181762695
P. vivax,poisson,glm_sem_covariaveis_h1,129,129,13696,107,NA,NA,3.186582086242594,0.1205016299067877,0.5338857229875842,1.3059654298423078,0.447331163494279,0.7448537637820456,0.35514018691588783,23.932603300445955,0.6529698371887207
P. vivax,poisson,glm_sem_covariaveis_h1,130,130,13803,107,NA,NA,5.309701464202002,0.09339013861574537,0.47012409959587165,1.294366290115597,0.3506765336344363,0.810675101719759,0.42990654205607476,22.90946850292679,0.6743128299713135
P. vivax,poisson,glm_sem_covariaveis_h1,131,131,13910,107,NA,NA,4.696660719903763,0.07335761930398768,0.48798032775050604,1.332164963509213,0.31974911846419074,0.8315367940003913,0.3644859813084112,22.760231847478718,0.7493338584899902
P. vivax,poisson,glm_sem_covariaveis_h1,132,132,14017,107,NA,NA,3.75279549127454,0.06913661936444092,0.47720067624704937,1.3775639493320428,0.3401491247506221,0.8310039851577135,0.4205607476635514,21.02952492275212,0.6856844425201416
P. vivax,poisson,glm_sem_covariaveis_h1,133,133,14124,107,NA,NA,3.7533785808141604,0.07091761136014858,0.4772389401016192,1.2132973772939195,0.3547172655937759,0.8406600620422939,0.40186915887850466,20.418550793668057,0.7642319202423096
P. vivax,poisson,glm_sem_covariaveis_h1,134,134,14231,107,NA,NA,0.7134353667684747,0.0699852182035189,0.43554033939678005,1.2164153874206671,0.2861811915314234,0.8602853276203609,0.4485981308411215,18.60611000254559,0.7900664806365967
P. vivax,poisson,glm_sem_covariaveis_h1,135,135,14338,107,NA,NA,3.138593987625662,0.095163978625715,0.48443282270182414,1.237990061940365,0.3684486256728152,0.7970432733317886,0.4485981308411215,19.318279022583575,0.6730031967163086
P. vivax,poisson,glm_sem_covariaveis_h1,136,136,14445,107,NA,NA,8.630514256893083,0.10429349890457544,0.5198800420591085,1.2715814717867537,0.45541013289612714,0.7612813705932796,0.45794392523364486,18.9560838152143,0.7015318870544434
P. vivax,poisson,glm_sem_covariaveis_h1,137,137,14552,107,NA,NA,12.803013495019522,0.11166494023360633,0.5486588115320402,1.312337622578228,0.5412494670911367,0.7048677133505098,0.4766355140186916,19.744062017193468,0.7785656452178955
P. vivax,poisson,glm_sem_covariaveis_h1,138,138,14659,107,NA,NA,7.051147824750993,0.1245371915987368,0.527253290607155,1.3370842514238088,0.5301599294987146,0.6935329344650222,0.4672897196261682,20.853192340908585,0.7292094230651855
P. vivax,poisson,glm_sem_covariaveis_h1,139,139,14766,107,NA,NA,15.327139279583218,0.10462562155017303,0.5148611822349051,1.3287726691860284,0.6103522197029801,0.6363129686472818,0.3925233644859813,21.68989359640978,0.7149686813354492
P. vivax,poisson,glm_sem_covariaveis_h1,140,140,14873,107,NA,NA,6.748790557163011,0.09872477258407321,0.4698471638535448,1.3027849123110036,0.5204437804538314,0.6971340738340261,0.4392523364485981,22.080444603562412,0.8303120136260986
P. vivax,poisson,glm_sem_covariaveis_h1,141,141,14980,107,NA,NA,19.529627971380876,0.11051940119299578,0.4568971716386389,1.2731606571723408,0.44725623842225976,0.7771653141214643,0.48598130841121495,20.294620026700773,0.7239987850189209
P. vivax,poisson,glm_sem_covariaveis_h1,142,142,15087,107,NA,NA,21.45271951093193,0.10202794526081471,0.4470418657012461,1.2138809101661256,0.3619685100669105,0.859504925212791,0.4485981308411215,19.783531324255435,0.8491337299346924
P. vivax,poisson,glm_sem_covariaveis_h1,143,143,15194,107,NA,NA,11.488494733913743,0.08812039280897722,0.4563040088669348,1.261419648624691,0.33542861059776735,0.8694306377141673,0.48598130841121495,19.194550244828314,0.8562333583831787
P. vivax,poisson,glm_sem_covariaveis_h1,144,144,15301,107,NA,NA,5.719025377316129,0.07826151297450669,0.46757257102490846,1.2414091171495343,0.32267634548858454,0.861926287463994,0.4485981308411215,18.19467277688811,0.8911612033843994
P. vivax,poisson,glm_sem_covariaveis_h1,145,145,15408,107,NA,NA,14.694246379325207,0.08921110692899518,0.4602536790620995,1.1556664243195076,0.3719943190751363,0.873270905248652,0.4672897196261682,16.97401827961927,0.8502013683319092
P. vivax,poisson,glm_sem_covariaveis_h1,146,146,15515,107,NA,NA,17.003039221804713,0.11165245713384207,0.4615214546582577,1.116596074638532,0.43329596883535454,0.838138664701952,0.48598130841121495,15.613784032508278,0.8602018356323242
P. vivax,poisson,glm_sem_covariaveis_h1,147,147,15622,107,NA,NA,16.779733107127566,0.1306322745524537,0.46051762040099303,1.1115810466152167,0.47819640203179486,0.7821135876387323,0.48598130841121495,16.142552102520256,0.848304033279419
P. vivax,poisson,glm_sem_covariaveis_h1,148,148,15729,107,NA,NA,24.852676019437382,0.13012390716787167,0.49304534060381083,1.1957004368545534,0.5664822013902399,0.7445500923468422,0.4766355140186916,15.823749198885682,0.8799800872802734
P. vivax,poisson,glm_sem_covariaveis_h1,149,149,15836,107,NA,NA,29.630723503979866,0.11982833696351614,0.5140727658392824,1.22548256315664,0.6489337742828744,0.6658585369387082,0.4672897196261682,16.9748976777021,0.8585774898529053
