especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,bell,model0_intercept_h1,109,109,11556,107,1772270.020817994,2440981.402712452,27.247473462832964,0.16307144253153238,1.0965853276477369,3.2124941141304975,1.0114249227108112,0.07169878697815721,0.07476635514018691,87.92062092448772,4.30070424079895
P. vivax,bell,model0_intercept_h1,110,110,11663,107,1786129.3922196438,2451968.6063262695,25.889639048640696,0.1492350522800411,1.09785767443462,3.3499460541873938,1.009201248440779,0.11711624782845646,0.08411214953271028,87.99439168221107,10.751174688339233
P. vivax,bell,model0_intercept_h1,111,111,11770,107,1801332.295003736,2462673.5119836596,26.303277158491387,0.15306276875120226,1.0961198948589503,3.3952243817005656,1.0099746545988932,0.07263497336075522,0.09345794392523364,87.56544364230278,10.948732852935791
P. vivax,bell,model0_intercept_h1,112,112,11877,107,1816495.9588712584,2473771.1107614366,31.63340273210032,0.1969637889124036,1.1193912374361168,3.436550207148841,1.015779896998752,0.0660341693290724,0.09345794392523364,86.88753822647418,4.360570192337036
P. vivax,bell,model0_intercept_h1,113,113,11984,107,1831351.386095252,2485148.0973755587,12.235302657554637,0.1518234673432787,1.037566794019446,3.362903636322775,1.0014927549762158,0.006517189244558085,0.08411214953271028,86.79716978481103,14.272404909133911
P. vivax,bell,model0_intercept_h1,114,114,12091,107,1847613.715815114,2495290.628012292,1.1168410181557125,0.1337958462121018,0.9965724704022437,3.4308077226026974,1.0000089236856218,-0.044748953471740384,0.09345794392523364,86.22082368559141,2.922987222671509
P. vivax,bell,model0_intercept_h1,115,115,12198,107,1865314.6206817094,2504862.46324261,2.811091859704407,0.16371542775103728,0.9920983117028024,3.289138287616825,1.0000757642002491,0.026855662833840478,0.06542056074766354,86.17653630670011,4.852578163146973
P. vivax,bell,model0_intercept_h1,116,116,12305,107,1881379.93556424,2514450.908365499,17.52493161697583,0.20722367480141898,1.063508382857084,3.3629239340304626,1.0045328105638032,0.009087698587310844,0.06542056074766354,86.49040702446425,15.204227447509766
P. vivax,bell,model0_intercept_h1,117,117,12412,107,1895554.7557156929,2525244.336299662,48.204926781644204,0.19429592948113827,1.2414137515602655,3.4575760605849006,1.0632905354147986,0.024840537235163353,0.06542056074766354,86.44407692123028,4.436264991760254
P. vivax,bell,model0_intercept_h1,118,118,12519,107,1908367.0394686095,2537791.0894597005,41.4735491933326,0.15870291312622153,1.1822865930667978,3.364130528346895,1.0329172938673448,0.04394275276505731,0.08411214953271028,86.30634909661009,8.663654804229736
P. vivax,bell,model0_intercept_h1,119,119,12626,107,1921541.3162029644,2550204.2732444466,36.06413019505947,0.12973560339506623,1.156613416476696,3.4625838406272056,1.0155788364130223,0.0358646790199932,0.06542056074766354,85.68710156239295,3.306518316268921
P. vivax,bell,model0_intercept_h1,120,120,12733,107,1935840.4178571354,2562592.7923721178,51.65022167318449,0.12956897986034935,1.273217023353257,3.4715565931479304,1.0420465744895044,0.03274522690965476,0.09345794392523364,86.37403956167937,6.369776964187622
P. vivax,bell,model0_intercept_h1,121,121,12840,107,1949427.9266437953,2575741.0179096228,44.31020518975081,0.14902236927650014,1.2197215863252506,3.289795602134016,1.0327740479050973,0.07751372465804061,0.08411214953271028,83.78357833687046,2.925074338912964
