especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,bell,model1_iid_ar1_ano_h1,109,109,11556,107,126294.03726346069,305656.5169845639,37.80182278968004,0.07855303704096446,0.27635684047220715,0.46406065842923333,0.2346949722473258,0.9389333658098326,0.9906542056074766,351.22729224600204,2.70454740524292
P. vivax,bell,model1_iid_ar1_ano_h1,110,110,11663,107,127033.88734305103,306392.24339842866,2.8257757889922495,0.04238390744058653,0.1626095809755093,0.4259353102183761,0.08140256317614426,0.9587485406377068,0.8878504672897196,73.78103304772493,2.7144577503204346
P. vivax,bell,model1_iid_ar1_ano_h1,111,111,11770,107,127842.83432710677,307334.7266043954,0.5518934447456244,0.05002727820162789,0.20388297024685698,0.49223844273593764,0.10789096948397346,0.9452394227405816,0.8411214953271028,63.6992742096264,2.671351432800293
P. vivax,bell,model1_iid_ar1_ano_h1,112,112,11877,107,128595.85439430026,309073.41869124584,5.437147557994834,0.08718054857583732,0.2921443985195216,0.4647553871589482,0.1990059349022202,0.9029653002455695,0.8037383177570093,60.06616094291689,2.760810613632202
P. vivax,bell,model1_iid_ar1_ano_h1,113,113,11984,107,129356.32207340072,311948.80155836453,14.765916128840177,0.08053094039517333,0.2992059815320365,0.41329462271883777,0.28177051240939577,0.8507242876216947,0.7850467289719626,57.622812760996965,2.736754894256592
P. vivax,bell,model1_iid_ar1_ano_h1,114,114,12091,107,129865.28875267273,314310.7658188387,24.754380922939152,0.07369782412783488,0.30821964736176016,0.5104459604876556,0.3034086414340452,0.8536140033272246,0.7850467289719626,57.20016036431721,2.7411251068115234
P. vivax,bell,model1_iid_ar1_ano_h1,115,115,12198,107,130553.49949271811,322743.4582318641,21.99730925044589,0.06998006851744469,0.27058510115518014,0.48158568583326034,0.18272687002661517,0.9097829937261313,0.7757009345794392,57.01334646404342,2.7937874794006348
P. vivax,bell,model1_iid_ar1_ano_h1,116,116,12305,107,131850.63436616323,328262.12003152934,1.7966511657197124,0.0793910892776195,0.2620984723119238,0.449981826035519,0.14744461161751563,0.9310443842547557,0.7663551401869159,58.18169936445787,2.7702560424804688
P. vivax,bell,model1_iid_ar1_ano_h1,117,117,12412,107,132939.99822995038,329238.5570664847,32.72633151133681,0.11653351193852467,0.3279539132650403,0.5415901128604421,0.3824953973019087,0.9336496305899739,0.794392523364486,57.3415154641862,2.6905789375305176
P. vivax,bell,model1_iid_ar1_ano_h1,118,118,12519,107,134251.61330431505,337690.86518037197,23.028024545909666,0.09590567041820165,0.38718031384873486,0.5821112441668177,0.37721097714031304,0.846741050364683,0.7570093457943925,57.00028157332456,2.6946794986724854
P. vivax,bell,model1_iid_ar1_ano_h1,119,119,12626,107,135391.19209704833,344113.2861726156,15.960718573224806,0.08255726093339825,0.4552072050390754,0.714026813515024,0.41124993388806197,0.7759392924510792,0.6448598130841121,55.605609029291536,2.6821539402008057
P. vivax,bell,model1_iid_ar1_ano_h1,120,120,12733,107,136673.18842841944,355284.5226676193,30.72901800024142,0.07998169191822584,0.4858676596744304,0.7669985025394992,0.39706922222121216,0.8085236383296782,0.6915887850467289,55.90709440766532,2.705719470977783
P. vivax,bell,model1_iid_ar1_ano_h1,121,121,12840,107,137231.4485408722,361031.8161074644,20.68675282013281,0.08432458350349521,0.3581038716023914,0.5807587409220468,0.3306821845919217,0.8545023274586302,0.9532710280373832,332.072969214328,2.762073278427124
P. vivax,bell,model1_iid_ar1_ano_h1,122,122,12947,107,137934.96478648775,361717.9384082078,10.634955556794717,0.025892364672097094,0.14112331251893181,0.34387769984651534,0.030078067621278896,0.9902722607905565,0.9345794392523364,65.09903109553373,2.7628862857818604
P. vivax,bell,model1_iid_ar1_ano_h1,123,123,13054,107,138570.61205438012,362374.92388156825,6.88676198763237,0.06330845877408005,0.21233018420081656,0.4066960111791646,0.12819399129116305,0.9494643882934863,0.8785046728971962,53.7834640242958,2.715869903564453
P. vivax,bell,model1_iid_ar1_ano_h1,124,124,13161,107,139338.91914467342,363211.2145429808,8.292298909616099,0.0720572022321437,0.2539156551235861,0.4633817052782734,0.20963034529474325,0.8896542409002814,0.822429906542056,49.93015638878031,2.9295339584350586
P. vivax,bell,model1_iid_ar1_ano_h1,125,125,13268,107,139993.78980205377,365095.770162339,27.160469381280112,0.0769718856705445,0.2947398097055631,0.542322100254143,0.33530405974638566,0.8339081940635271,0.8411214953271028,48.41590538571423,2.778822183609009
P. vivax,bell,model1_iid_ar1_ano_h1,126,126,13375,107,140382.2393052227,369369.6633904956,18.348394176199726,0.06492252998982517,0.27740100519172545,0.4787236050961325,0.2353187804678092,0.8864207777988241,0.822429906542056,47.507863560924704,2.7909271717071533
P. vivax,bell,model1_iid_ar1_ano_h1,127,127,13482,107,140996.50685769718,372900.8156740528,18.832772440367673,0.05821400329790055,0.2365269935627812,0.49318747675795044,0.1691385487398765,0.9222639280274668,0.8037383177570093,48.71331787438739,2.774601936340332
P. vivax,bell,model1_iid_ar1_ano_h1,128,128,13589,107,142265.43925494293,377847.9152227383,2.2848491634874617,0.07354034113721546,0.2209105211045412,0.515074498935533,0.1393065914175945,0.9359881937386739,0.8037383177570093,48.54486906318813,2.7840991020202637
P. vivax,bell,model1_iid_ar1_ano_h1,129,129,13696,107,143631.13459488447,381482.2371009962,3.1738981717406767,0.08511573727639574,0.28153651652019107,0.53365460579606006,0.22318399275074638,0.9015647860261244,0.7850467289719626,49.06877257944069,2.7961976528167725
P. vivax,bell,model1_iid_ar1_ano_h1,130,130,13803,107,144824.13366107637,377370.49429174815,3.1162753924302886,0.06893017631609535,0.24758826533837602,0.5395895504915799,0.1910396191782046,0.9151185917764989,0.7850467289719626,48.90219589666175,2.85502290725708
P. vivax,bell,model1_iid_ar1_ano_h1,131,131,13910,107,145755.74859486334,378559.8189676675,15.253284562848343,0.06372585637139518,0.31003968602655524,0.6014010909690926,0.24129607599597344,0.8974438988602222,0.7570093457943925,48.38044950255734,3.0144155025482178
P. vivax,bell,model1_iid_ar1_ano_h1,132,132,14017,107,146757.2202036404,378194.2829093862,23.106016209025942,0.06553656000819429,0.3829316200951776,0.666812803004036,0.30564715795234915,0.8730493160864724,0.7383177570093458,47.80476886225913,2.89365816116333
P. vivax,bell,model1_iid_ar1_ano_h1,133,133,14124,107,147682.81184581402,379986.10398208536,19.965232649203244,0.06395366699473631,0.29723905532343825,0.47501961204333726,0.2884729075024301,0.8975635973249864,0.9813084112149533,297.2245197447665,3.0596377849578857
P. vivax,bell,model1_iid_ar1_ano_h1,134,134,14231,107,148308.96820631332,380629.4563508427,14.230607181640249,0.05536200263969748,0.19924652817788294,0.4194469773726038,0.17908203834006467,0.9879163120576607,0.9532710280373832,56.194866061105365,2.8659040927886963
P. vivax,bell,model1_iid_ar1_ano_h1,135,135,14338,107,148906.15677909754,381260.42166289873,6.83804901152996,0.07017981810695953,0.23535858735748028,0.3510796883788626,0.2003808598745832,0.9331041891395196,0.9252336448598131,45.65452069215254,3.0808746814727783
P. vivax,bell,model1_iid_ar1_ano_h1,136,136,14445,107,149526.05386646296,382002.806989226,3.333592220687885,0.05060438400023176,0.2010920578791409,0.44258752607934204,0.10721720937664167,0.945145270903311,0.8598130841121495,42.120133264101874,2.996668577194214
P. vivax,bell,model1_iid_ar1_ano_h1,137,137,14552,107,150216.74050629872,382745.4851344632,14.046825721860385,0.06371044336608585,0.2606297542841656,0.4497579470827925,0.17619154380194874,0.9279394995458836,0.8411214953271028,41.287380230733945,2.947636842727661
P. vivax,bell,model1_iid_ar1_ano_h1,138,138,14659,107,150965.87280495005,384263.13811626204,11.353222215411877,0.06482085922709006,0.23370019239075404,0.4408831153797101,0.14362774140554452,0.9328789284663871,0.8785046728971962,41.68480257542264,2.941383123397827
P. vivax,bell,model1_iid_ar1_ano_h1,139,139,14766,107,151874.21757138305,384669.7948233769,27.166005242085046,0.0687717164189743,0.24713400958241413,0.4379601268271494,0.2637085153161778,0.8933153263408629,0.8691588785046729,40.73792814550904,2.9185853004455566
P. vivax,bell,model1_iid_ar1_ano_h1,140,140,14873,107,152586.83642929644,386301.94078801485,14.397802144884045,0.05782201451867231,0.23963106520400948,0.5460645011710877,0.17852867251636637,0.9117972501225412,0.794392523364486,40.896492953442866,2.9363343715667725
P. vivax,bell,model1_iid_ar1_ano_h1,141,141,14980,107,153698.59439752073,388728.8522304107,13.046489862663297,0.05529737311065524,0.22128928974121906,0.4713515063493163,0.11196656685918666,0.9449002165419291,0.794392523364486,41.25745411587299,2.930004119873047
P. vivax,bell,model1_iid_ar1_ano_h1,142,142,15087,107,154285.09883129082,390588.77527085727,8.473938722588544,0.06906208073408075,0.2224718680756153,0.46734580794047986,0.16584860650461397,0.9155213901651303,0.8691588785046729,42.13828662018329,2.9112889766693115
P. vivax,bell,model1_iid_ar1_ano_h1,143,143,15194,107,155111.13107314619,393799.6243723858,3.6559223807699226,0.07907753671729033,0.30355955342094587,0.4707770948570339,0.2701179962372107,0.8658774113797291,0.8598130841121495,41.885175191563214,2.9936671257019043
P. vivax,bell,model1_iid_ar1_ano_h1,144,144,15301,107,156056.90711569836,396245.7941083139,16.068929195235928,0.07005630741304004,0.2931581947741705,0.50970841549147206,0.25856226015514555,0.9090527003646126,0.8504672897196262,42.557501188296534,3.013029098510742
P. vivax,bell,model1_iid_ar1_ano_h1,145,145,15408,107,157012.36819864804,399098.1312275998,20.241956920788326,0.07470517571825887,0.2873447340452866,0.44957994100193077,0.26085540183114564,0.9113725068716807,0.9906542056074766,255.50111250051222,3.001966953277588
P. vivax,bell,model1_iid_ar1_ano_h1,146,146,15515,107,157587.79256917673,399674.01227890264,4.86185424681724,0.05001945727975712,0.17941845135033394,0.3624096719960861,0.08696130111509535,0.9668574853269336,0.9439252336448598,51.38343658225276,2.990556478500366
P. vivax,bell,model1_iid_ar1_ano_h1,147,147,15622,107,158111.87742178934,400222.7455856791,0.012131646825588187,0.07498027890740365,0.19601609703943568,0.3256597103665345,0.15754311551203426,0.9222845026484086,0.9158878504672897,43.442306301437824,3.2720603942871094
