especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,bell,model2_bym2_ar1_ano,109,111,11556,321,126296.29752823248,305674.9587396553,47.80732443469348,0.08704034962416538,0.3301020949734419,0.5482236147666736,0.3621030222257752,0.9089197478704463,0.9875389408099688,343.91667371498727,8.991239786148071
P. vivax,bell,model2_bym2_ar1_ano,121,123,12840,321,137236.28056874173,361029.8973129904,20.44807053601289,0.080276931285773,0.3537718873442893,0.5912855855994696,0.3535366947126082,0.8550705958099507,0.9439252336448598,319.49829858636775,9.114296674728394
P. vivax,bell,model2_bym2_ar1_ano,133,135,14124,321,147690.84999903312,379993.3780410301,16.537368272838975,0.050890352961338335,0.2577919085093072,0.5004777075484892,0.26947929837473894,0.9038974156180326,0.9719626168224299,279.0302716640586,9.229485988616943
P. vivax,bell,model2_bym2_ar1_ano,145,147,15408,321,157021.41909618134,399104.6461966878,21.35862362060535,0.07280194867358905,0.2876645966331518,0.4461069765256184,0.2839556091046193,0.9136690426850994,0.9937694704049844,240.15949291711067,9.9660491943359375
P. vivax,bell,model2_bym2_ar1_ano,157,159,16692,321,165934.8360640456,421394.76885020116,25.223377261619568,0.07838542248564077,0.3585116574585891,0.5871346036844657,0.39416929252677946,0.8507218984406344,0.9688473520249221,278.73874178515666,10.92011284828186
P. vivax,bell,model2_bym2_ar1_ano,169,171,17976,321,174593.24610116542,434001.86311130325,43.306674036908454,0.08139443473342059,0.36190232784464643,0.5705136633313876,0.40545664207214777,0.9415525328306357,0.9688473520249221,246.22509398215865,11.098937034606934
P. vivax,bell,model2_bym2_ar1_ano,181,183,19260,321,185798.82626508712,482878.7024187328,54.97391691667596,0.07092906650783237,0.33205059278863114,0.5543400353396044,0.33208955483783126,0.9563268331774611,0.9875389408099688,357.8532500322167,11.547030210494995
P. vivax,bell,model2_bym2_ar1_ano,193,195,20544,321,195915.063102032,506347.7342437091,20.788599093330053,0.06193370817507119,0.24035429783209292,0.41610402542585617,0.22285000814169892,0.922097698775104,0.9875389408099688,346.3468324528099,13.057672023773193
P. vivax,bell,model2_bym2_ar1_ano,205,207,21828,321,205478.97559274005,516573.83291704615,23.24471013571185,0.07548235856283139,0.2882559051024716,0.5014416323717554,0.25227210613836476,0.9420931737122382,0.9844236760124611,277.88446867434806,12.43537950515747
P. falciparum,bell,model2_bym2_ar1_ano,109,111,11556,321,81187.55783556757,114482.01291023885,10.886535490055067,0.10375748004865204,0.42441504558289495,0.626405523780594,0.5319436732409871,0.8282035980681175,0.9906542056074766,76.8125285570348,8.199535131454468
P. falciparum,bell,model2_bym2_ar1_ano,121,123,12840,321,87213.440853064385,121791.10443294983,12.553572790808232,0.07728270810982409,0.43779571520127575,0.6110811637324707,0.6395131541039661,0.8687112068513334,0.9750778816199377,72.0804094378445,8.598552465438843
P. falciparum,bell,model2_bym2_ar1_ano,133,135,14124,321,92409.37713236576,127124.20730679423,5.3743191280069125,0.0488138657798517,0.34821153876074706,0.48317521187639534,0.43330385132592403,0.8601339129256048,0.9968847352024922,77.797233126025,9.176853895187378
P. falciparum,bell,model2_bym2_ar1_ano,145,147,15408,321,96288.81187418966,131058.70199767716,2.690413100440665,0.03888026473918972,0.27047293790943505,0.45876733356566124,0.20495828696477852,0.9313549278953287,0.9906542056074766,59.10860986866412,9.380451202392578
P. falciparum,bell,model2_bym2_ar1_ano,157,159,16692,321,99616.22480707226,134443.64657957837,3.588879894237646,0.06250011017597365,0.3926991704915437,0.49839807275237913,0.4407637953058005,0.9033129095926699,0.9937694704049844,49.12488048201874,9.897516250610352
P. falciparum,bell,model2_bym2_ar1_ano,169,171,17976,321,102833.65549337918,138141.73904985917,5.300192442715769,0.06627782663319975,0.393211097208413,0.45067905258831514,0.5235943137900576,0.872048606643854,0.9906542056074766,40.01445547063086,11.15144658088684
P. falciparum,bell,model2_bym2_ar1_ano,181,183,19260,321,106414.16732744686,141826.4999869158,8.08830937355782,0.08311986206969398,0.39770364027088717,0.5165533855282473,0.4908338596566408,0.9645754849935362,0.9906542056074766,43.065279658811896,11.298645973205566
P. falciparum,bell,model2_bym2_ar1_ano,193,195,20544,321,109756.06706024296,145204.3563681807,2.3535524269831503,0.04043425516263205,0.27105930875117723,0.45640221474336207,0.22771842651392224,0.9402761591471762,0.9875389408099688,49.60346367574025,10.477584600448608
P. falciparum,bell,model2_bym2_ar1_ano,205,207,21828,321,113258.95238735103,148774.3119074369,5.1601142235708455,0.06126800915468329,0.3715420951509839,0.5140025148090449,0.34010107266535305,0.9811210692022583,0.9875389408099688,39.47271646397591,13.071829557418823
