especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,bell,model3_sweep_bbi,109,111,11556,321,101377.54076552438,135373.69256896424,40.216416043517796,0.07639889402320689,0.2942989978041477,0.5507520890762989,0.2789748412828088,0.909000366216287,0.9781931464174455,348.2170986446418,64.16375279426575
P. vivax,bell,model3_sweep_bbi,121,123,12840,321,108699.40869413009,164659.64193236438,16.53796646596976,0.06997266995089801,0.3202555840733802,0.557071519138839,0.26860238432420686,0.8934891689820794,0.9532710280373832,326.6709302473815,88.36927700042725
P. vivax,bell,model3_sweep_bbi,133,135,14124,321,118177.19122970672,175413.91597324738,15.697073369241098,0.03993122270684241,0.2220689946187452,0.47892678304018466,0.16591272606355467,0.9661254298371663,0.9657320872274143,292.3757733124919,111.60478091239929
P. vivax,bell,model3_sweep_bbi,145,147,15408,321,126164.4013012829,183665.61973091398,22.325644970651933,0.06407748866038489,0.2662457543222821,0.4224488343336817,0.21997605464261547,0.957050153328415,0.9968847352024922,245.89561844197434,128.76577377319336
P. vivax,bell,model3_sweep_bbi,157,159,16692,321,133754.11189159148,193433.70963482367,28.07914377664735,0.07060095931722805,0.3073461014839534,0.5780542056721275,0.3197668107188456,0.9319746621542649,0.9688473520249221,263.22166395185025,127.94249629974364
P. vivax,bell,model3_sweep_bbi,169,171,17976,321,141864.215922135,209720.181322447,42.717395127203154,0.07618008139803029,0.35412965357269094,0.5739005198629419,0.3551712969506482,0.9552928685465812,0.9750778816199377,246.88337881627768,173.4845793247223
P. vivax,bell,model3_sweep_bbi,181,183,19260,321,150425.56078239417,235441.74780163023,57.363167847322586,0.06734477443238783,0.3385975245035417,0.6007217977918868,0.2993743121380735,0.9669734276599844,0.9875389408099688,396.0351565283255,141.95127868652344
P. vivax,bell,model3_sweep_bbi,193,195,20544,321,158845.48208713086,252520.47491599497,22.308868789299062,0.054779477660584566,0.24083853073655548,0.4336163008314045,0.174338883775824,0.9403963700714869,0.9906542056074766,369.22930433326087,123.50055480003358
P. vivax,bell,model3_sweep_bbi,205,207,21828,321,167496.68326442243,264237.3752604638,24.643962578824294,0.07468267426615857,0.285869223679391,0.5296995313791446,0.24695511798762088,0.9292245698956618,0.9813084112149533,286.18812479784344,155.33938074111938
P. falciparum,bell,model3_sweep_bbi,109,111,11556,321,70558.20438153228,86145.09297622276,8.43367144190211,0.08996518948310836,0.3790087459586614,0.5898516963116506,0.3999224781159216,0.8259888397630624,0.9844236760124611,96.93252254549188,62.34699892997741
P. falciparum,bell,model3_sweep_bbi,121,123,12840,321,76475.4527471964,93343.17966947291,11.142924316856966,0.0705182701911675,0.40674801093974944,0.585786884054924,0.5324613866974188,0.9067501657423629,0.9657320872274143,90.87353001993951,86.7520682811737
P. falciparum,bell,model3_sweep_bbi,133,135,14124,321,81318.80570644942,98031.24694993053,4.688630366573799,0.045205432429661074,0.3747499624168215,0.5282123592223973,0.37161000646256476,0.8562087875638267,1,91.79955901516928,104.14293169975281
P. falciparum,bell,model3_sweep_bbi,145,147,15408,321,84959.85215771815,103513.47484238444,2.945885050521496,0.03406792533040163,0.26550042148012115,0.4448060952537556,0.15736147914594598,0.9535327027074586,0.9906542056074766,69.04397637503175,87.99196887016296
P. falciparum,bell,model3_sweep_bbi,157,159,16692,321,88169.63320948245,106954.22239697642,3.8263409050575423,0.059392204718434594,0.37494203348095745,0.49450926516981353,0.3980184851920865,0.9363532713010393,0.9875389408099688,44.037909301079914,108.63671779632568
P. falciparum,bell,model3_sweep_bbi,169,171,17976,321,91349.85615930558,110759.97503874727,5.111323623378502,0.06218694929525363,0.3876064498317851,0.46596292350020807,0.4609532786950001,0.8829796431722783,0.9937694704049844,41.41682932170936,118.77759885787964
P. falciparum,bell,model3_sweep_bbi,181,183,19260,321,94651.45328091989,113034.07289468036,8.151587124433483,0.08393717297916264,0.3987496347811052,0.5202975596876686,0.5005339761919588,0.9453407995672685,0.9906542056074766,57.11298630302667,124.65264821052551
P. falciparum,bell,model3_sweep_bbi,193,195,20544,321,98079.40896938198,118153.32098581803,2.2433771985494966,0.045187760397299714,0.2888394463730656,0.5002490199517786,0.2844074143619507,0.9096191359665577,0.9813084112149533,50.259735386977155,109.17030119895935
P. falciparum,bell,model3_sweep_bbi,205,207,21828,321,101356.36584868297,121507.30809734289,4.9831633328087825,0.06375777462904465,0.36874570655172245,0.5177631885692305,0.3683042793830314,0.9664771627168344,0.9906542056074766,37.07347629574166,122.23356938362122
