especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,bell,model3_sweep_bii,109,111,11556,321,101408.95635726955,135579.73705999806,32.4468447935692,0.07081488406758205,0.2771810337197884,0.5325568856937686,0.2396845237741083,0.9025885605346285,0.9781931464174455,377.32180036659963,51.40996265411377
P. vivax,bell,model3_sweep_bii,121,123,12840,321,108697.98784344942,164645.20349494577,10.741068189588143,0.06474948353260966,0.301407018718138,0.5558791505092366,0.2299988102916955,0.8956719477424429,0.9470404984423676,332.3836757343569,40.78258442878723
P. vivax,bell,model3_sweep_bii,133,135,14124,321,118124.68725316791,175771.63605114125,9.433892149706903,0.03175891979606718,0.18661508473962465,0.4662702483444999,0.10495084193178114,0.9659426931676404,0.9750778816199377,296.4298217305462,33.04024076461792
P. vivax,bell,model3_sweep_bii,145,147,15408,321,126160.50254145844,183627.5856324966,16.317621426349888,0.05362249576150747,0.21234509966194834,0.4092363040269454,0.15404886071166268,0.9512183165506799,0.9968847352024922,242.3187500286121,56.56011462211609
P. vivax,bell,model3_sweep_bii,157,159,16692,321,133755.91086494765,193377.34933006138,21.67449061654906,0.06180627545231063,0.2775360832388665,0.5726319094309179,0.24506276377162486,0.9305116180670142,0.9688473520249221,263.1182522564116,39.372249603271484
P. vivax,bell,model3_sweep_bii,169,171,17976,321,141889.00179775534,209563.77498953397,36.83778152840536,0.0676273924984615,0.3141188775909068,0.5586671796177779,0.2798983136067649,0.9467286934272322,0.9750778816199377,254.6319440889776,48.05960702896118
P. vivax,bell,model3_sweep_bii,181,183,19260,321,150425.37175230368,235438.92695727776,48.269767249721056,0.05667551660441299,0.29042942940898225,0.5627126240247,0.2120301900437057,0.9692768088335173,0.9844236760124611,386.3371830946518,36.54959535598755
P. vivax,bell,model3_sweep_bii,193,195,20544,321,158835.4764835966,252635.28524672717,14.200500687557845,0.04722756652161069,0.20467712599003088,0.41379016596846957,0.1295834756414469,0.9405676419122192,0.9968847352024922,337.46935408867256,42.03814935684204
P. vivax,bell,model3_sweep_bii,205,207,21828,321,167537.26670353257,263925.46300266235,20.589756237082494,0.06662329574882761,0.2589013751010207,0.5139782883255205,0.19653076048529952,0.9367244809873037,0.9750778816199377,273.40815959357843,53.412742614746094
P. falciparum,bell,model3_sweep_bii,109,111,11556,321,70575.64785782274,86136.65800099514,6.903987454755094,0.08588526633247368,0.35561457171534194,0.56996344929523,0.3644719835759095,0.8203864718747778,0.9906542056074766,95.87542274704867,36.54316473007202
P. falciparum,bell,model3_sweep_bii,121,123,12840,321,76497.63190961351,93333.9796501584,10.065937010045857,0.06685004891528659,0.3887326176048889,0.570731492430166,0.47850697924259983,0.9147367684790444,0.9626168224299065,86.6445030590563,43.03101825714111
P. falciparum,bell,model3_sweep_bii,133,135,14124,321,81340.34219139324,98022.46516889174,3.6740617487286014,0.0419267354755071,0.35201675399600846,0.5164698285178176,0.31965995994410057,0.8661324027751719,0.9937694704049844,85.77622631203505,38.69687223434448
P. falciparum,bell,model3_sweep_bii,145,147,15408,321,84989.09366044117,103512.70458271299,1.8799903404849763,0.027782957825138538,0.2162516872404912,0.43668194984430697,0.1046559718764451,0.9522320675463761,0.9781931464174455,60.61983338160591,35.01674771308899
P. falciparum,bell,model3_sweep_bii,157,159,16692,321,88240.30369198165,106694.71403910074,3.220443608056855,0.05377827091892509,0.35345645630608263,0.4688874334362599,0.32633076381627707,0.937189037586982,0.9875389408099688,45.773778811304176,46.8050057888031
P. falciparum,bell,model3_sweep_bii,169,171,17976,321,91409.8624698873,110579.88873564775,4.582705122903166,0.05891749717753028,0.3600682627842545,0.44079495767727916,0.41375855210794776,0.8816134038006476,0.9906542056074766,42.33708161657363,47.36924409866333
P. falciparum,bell,model3_sweep_bii,181,183,19260,321,94702.28375788147,112915.87783222902,7.626403263985771,0.07953414117763716,0.3780210229434244,0.4934992333224512,0.4493989758875261,0.9494045712832323,0.9906542056074766,56.54484250997989,49.16620135307312
P. falciparum,bell,model3_sweep_bii,193,195,20544,321,98142.00467917467,117968.53370165035,1.968957004869233,0.04186237306642474,0.26432679442208534,0.47048212457487737,0.24408830235061396,0.9140407700581316,0.9844236760124611,44.2493611399822,39.3287456035614
P. falciparum,bell,model3_sweep_bii,205,207,21828,321,101383.67299788518,121552.66610054798,5.110895126362378,0.061193045375773414,0.3695427607050183,0.5080604861346983,0.33926932817910327,0.9787856516397859,0.9875389408099688,37.06835905207122,58.52215313911438
