especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,bell,model4_covariates,109,111,11556,321,101233.79678118853,134254.04170363676,37.278256369119134,0.07402435113036787,0.2882651560295668,0.5450890375498607,0.26190278363698133,0.9034000634793102,0.9875389408099688,376.20200673439444,28.043458461761475
P. vivax,bell,model4_covariates,121,123,12840,321,108446.61739328211,163887.91673726347,10.34741271437446,0.06523571069490401,0.3032713916251109,0.5586536787197737,0.23346606763024652,0.8923329777037065,0.9595015576323987,319.2602860788325,9.99773621559143
P. vivax,bell,model4_covariates,133,135,14124,321,117830.67510401507,174628.22020460304,9.13619373080092,0.03165241011755988,0.1846728529904089,0.46343737405475105,0.1042480764572348,0.9653658633523554,0.9719626168224299,278.11020396924,9.530909538269043
P. vivax,bell,model4_covariates,145,147,15408,321,125607.62851013674,182128.0459784282,15.296362701510793,0.05187972075972538,0.20463842955366385,0.4080048381668957,0.14419815489510052,0.9534391675349593,0.9906542056074766,265.6904283111473,12.428581237792969
P. vivax,bell,model4_covariates,157,159,16692,321,133385.58743992468,192110.95812149625,19.84333247184771,0.05922195178156958,0.2699910410703932,0.5626524923909929,0.22499745910325414,0.9323730080538871,0.9688473520249221,277.94412362648546,7.844061374664307
P. vivax,bell,model4_covariates,169,171,17976,321,141476.850907836,205346.68589016085,38.15634933028206,0.06947340094713075,0.32353031379510555,0.5647740881229212,0.2953875015324699,0.9505738211955203,0.9750778816199377,239.8626990019438,12.563227891921997
P. vivax,bell,model4_covariates,181,183,19260,321,150328.65235733485,231443.18949669745,48.93549336349775,0.05761623658326936,0.2941163246928319,0.5646463402210941,0.21912730745320594,0.9691913223423045,0.9844236760124611,358.7170579792244,7.927886247634888
P. vivax,bell,model4_covariates,193,195,20544,321,158359.28159487565,250435.2098684662,15.233560995128398,0.04752050264428445,0.2102153472528317,0.41618724591720496,0.13119598329542373,0.9418016655653892,0.9906542056074766,318.6584498255378,12.610167264938354
P. vivax,bell,model4_covariates,205,207,21828,321,167328.2970358008,260320.77751443005,19.853444101231165,0.06520714678355663,0.2525904661468225,0.5101856448616989,0.18826461664013447,0.9374054050621532,0.9688473520249221,263.13949692957584,13.180982828140259
P. falciparum,bell,model4_covariates,109,111,11556,321,70456.58375555325,86280.3540096234,7.757269752779975,0.08767755839375721,0.36218180432728486,0.5750678871471846,0.3798426361999391,0.8261119601397856,0.9844236760124611,98.22591117539638,11.229654788970947
P. falciparum,bell,model4_covariates,121,123,12840,321,76301.07168900693,92007.71275717049,9.463305283226278,0.06578319117272519,0.3827101698667567,0.5736942409088805,0.4633558950932809,0.9055833042336152,0.9688473520249221,86.83257830548516,7.515215635299683
P. falciparum,bell,model4_covariates,133,135,14124,321,81197.86821977729,97873.5334059915,3.472766847754549,0.04185278939868213,0.3499175796055661,0.5187887475036177,0.3185333873693196,0.8616972156507124,0.9937694704049844,81.70492620037415,9.504175424575806
P. falciparum,bell,model4_covariates,145,147,15408,321,84910.7165125666,103380.10012558199,1.8114522389936016,0.02760646823596579,0.21617576709975408,0.4353544039768194,0.1033305534225871,0.9523650645792555,0.9844236760124611,70.96931651330446,9.590959310531616
P. falciparum,bell,model4_covariates,157,159,16692,321,88002.12817948486,106635.12512281857,2.787382766952191,0.049566884106767,0.335523635607069,0.4623220832180693,0.27722193215398105,0.937242719490974,0.9875389408099688,52.33705004359164,11.000073909759521
P. falciparum,bell,model4_covariates,169,171,17976,321,91209.23112156734,109540.52442739517,4.909383321658946,0.06188414893839704,0.3768030622506042,0.44546722582187015,0.4564752650436009,0.8818289535236187,0.9906542056074766,38.20789185752095,10.554405927658081
P. falciparum,bell,model4_covariates,181,183,19260,321,94579.82966676695,114078.51139957353,7.607258772349623,0.07962632789660644,0.37843255765551564,0.49318824309885384,0.450441361612621,0.9480842495276979,0.9844236760124611,48.199531398610446,9.812269926071167
P. falciparum,bell,model4_covariates,193,195,20544,321,97946.09616207273,117840.81561140472,1.8809419356960997,0.04130073461140429,0.26515551322116593,0.47514737852807803,0.2375827103140492,0.915095876043304,0.9844236760124611,43.08472551696209,17.67058753967285
P. falciparum,bell,model4_covariates,205,207,21828,321,101341.8764578126,121012.39098568831,4.927927152184052,0.05902713161481961,0.35996721747163474,0.5007769033323556,0.3156776416969672,0.9781052160822368,0.9813084112149533,36.796656082969406,10.828208923339844
