especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,bell,model5_defor_ns,109,111,11556,321,101262.79223375776,134109.31937179057,34.05634470646831,0.07215344019624714,0.2813542666049904,0.5352075796499858,0.24883128431597748,0.9010244659155858,0.9813084112149533,354.96279887980165,33.07077741622925
P. vivax,bell,model5_defor_ns,121,123,12840,321,108449.66557593568,163883.73134778364,11.847313230149433,0.06456225882715064,0.3047099006481686,0.5580490697046492,0.22867063899090936,0.8985287697978319,0.9626168224299065,298.5420515284919,15.633278369903564
P. vivax,bell,model5_defor_ns,133,135,14124,321,117833.52013392144,174635.10492182095,9.814171475047731,0.03133675002759425,0.18179511942327864,0.44888848344842736,0.10217917418951764,0.9661588490164567,0.9750778816199377,260.64578449040636,18.31098985671997
P. vivax,bell,model5_defor_ns,145,147,15408,321,125611.43628899669,182137.617227989,13.939405551018632,0.050534177003048575,0.20150608192875094,0.4140953219538284,0.13681535386155594,0.9579032702549333,0.9906542056074766,236.6446265676879,21.35101890563965
P. vivax,bell,model5_defor_ns,157,159,16692,321,133390.39806597773,192108.1116665983,16.54944304682305,0.053511678575924294,0.2584161336468425,0.567092802399584,0.18370007328241433,0.9370047954689863,0.9688473520249221,263.4246505222394,17.296016693115234
P. vivax,bell,model5_defor_ns,169,171,17976,321,141469.85154972787,205432.04451474274,36.02339499969363,0.06683392024702368,0.31128193480963817,0.5462938499580768,0.27336875105010294,0.9622986955996393,0.9719626168224299,238.46200120857716,19.970040321350098
P. vivax,bell,model5_defor_ns,181,183,19260,321,150313.6884646003,231713.10427294252,40.24648876198442,0.04908774215113568,0.24752486760774045,0.5283432698019633,0.15905701982192924,0.9653229924200112,0.9844236760124611,395.8463202773459,18.387158632278442
P. vivax,bell,model5_defor_ns,193,195,20544,321,158361.29637476607,250446.44443568654,15.949911797129724,0.048230537992133546,0.21338909446355653,0.4158803075856504,0.1351458456352928,0.942071270778424,0.9906542056074766,310.5410347077999,33.07745838165283
P. vivax,bell,model5_defor_ns,205,207,21828,321,167330.83044931563,260328.78397037464,18.094660563501726,0.06336473896740537,0.24715496970139006,0.5061984632920641,0.17777619615003756,0.9342716617455425,0.9750778816199377,250.99933135999018,23.441946029663086
P. falciparum,bell,model5_defor_ns,109,111,11556,321,70459.77182389126,86279.06334821483,6.676080039595351,0.08366463143208941,0.34448472383816975,0.5566741373306542,0.34586819007868025,0.8337312863181958,0.9875389408099688,102.16078891565803,24.888241052627563
P. falciparum,bell,model5_defor_ns,121,123,12840,321,76303.4435788144,92007.60990113001,9.178992538005854,0.06537161741283473,0.38603246592376816,0.5974222961266502,0.4575760431453646,0.8923833757267651,0.9532710280373832,80.02345623568796,12.598987579345703
P. falciparum,bell,model5_defor_ns,133,135,14124,321,81200.70478406671,97875.20574869313,3.086281021756743,0.04087750293045629,0.34399826446706766,0.5156768406938468,0.30386092848010743,0.8602136597453102,0.9968847352024922,87.65777881592678,14.414494276046753
P. falciparum,bell,model5_defor_ns,145,147,15408,321,84912.15212895538,103379.68716390297,1.8937065600449547,0.028410483058953377,0.21915206875015497,0.4331566726233958,0.10943702837608947,0.9543917007303526,0.9844236760124611,60.121946830122894,21.666196823120117
P. falciparum,bell,model5_defor_ns,157,159,16692,321,88004.44610715623,106634.55107754977,2.449649234133951,0.04411370805151932,0.3180782479499385,0.46433356765104,0.21957934106994065,0.941249236838627,0.9813084112149533,49.063003842327966,31.225357055664062
P. falciparum,bell,model5_defor_ns,169,171,17976,321,91211.09290739382,109543.33121737909,4.869374759005987,0.06251351526117224,0.3770524013402962,0.43283541910932516,0.46580725214921026,0.8976548564406459,0.9906542056074766,33.98068795012736,16.293018579483032
P. falciparum,bell,model5_defor_ns,181,183,19260,321,94611.96659463679,113901.99153715369,6.655374350855788,0.07098205004528328,0.34357207780309945,0.482692477775251,0.3579496671758526,0.9574639308922143,0.9844236760124611,55.25359960108214,16.87081003189087
P. falciparum,bell,model5_defor_ns,193,195,20544,321,97977.95900947347,117664.03309017356,1.9051354048910019,0.03977074441010997,0.2631461006156397,0.4695737354211927,0.22030619995141024,0.9270518485520453,0.9844236760124611,43.68176639685012,31.279502153396606
P. falciparum,bell,model5_defor_ns,205,207,21828,321,101343.44210674385,121016.32734541717,4.638375712080781,0.055423502176663,0.341302523686195,0.49595712868908837,0.2783097330507683,0.9735003096810699,0.9875389408099688,37.14937181710285,23.28105592727661
