especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,bell,model5_defor_ns_annual,109,120,11556,1284,101263.05409566675,134109.7982547044,18.78860629563964,0.06076055051440792,0.36732024270383534,0.6766898700396888,0.37506850383672147,0.7946077882488632,0.9228971962616822,404.0398867614156,19.629020929336548
P. vivax,bell,model5_defor_ns_annual,121,132,12840,1284,108449.83661968994,163883.48160623966,10.39608958350716,0.0478190202761191,0.3153724244820924,0.7951160821414733,0.21871990826527196,0.8998545394702615,0.8933021806853583,354.7332994394446,11.163483381271362
P. vivax,bell,model5_defor_ns_annual,133,144,14124,1284,117833.447950647,174635.20710992336,13.270243900866832,0.04139505777741429,0.22537839716385732,0.5493307715701146,0.17257088996892797,0.9252259375923544,0.9672897196261684,307.6266659075181,11.404994010925291
P. vivax,bell,model5_defor_ns_annual,145,156,15408,1284,125611.33315607606,182137.5679576193,27.60651323958381,0.05641064535632394,0.27136183865646546,0.487843310845158,0.25186016266771477,0.9257254159892568,0.983644859813084,278.40180918899557,11.729881525039673
P. vivax,bell,model5_defor_ns_annual,157,168,16692,1284,133390.4538014943,192108.22996220316,12.210304300846481,0.06284174743470285,0.3924813835098868,0.6172622613264893,0.3981743570326291,0.7794509864067158,0.9392523364485982,299.7609248742497,9.508988618850708
P. vivax,bell,model5_defor_ns_annual,169,180,17976,1284,141469.81526359415,205431.5255682309,63.37411947700092,0.07490231158021193,0.38373135695908656,0.7953108133378772,0.37606292984600576,0.9302254036532448,0.9353582554517134,249.3082935865542,12.30010175704956
P. vivax,bell,model5_defor_ns_annual,181,192,19260,1284,150313.61708406836,231712.99146575993,24.847667265370088,0.04739027116027911,0.2738458890203499,0.5669501584437128,0.20962291598781604,0.8947112305961477,0.973520249221184,426.359647656137,11.105471849441528
P. vivax,bell,model5_defor_ns_annual,193,204,20544,1284,158361.2438937734,250446.43434319345,17.78272267323121,0.04790957805613522,0.2501921513265624,0.5690930826237515,0.17902860927899303,0.9174526687049313,0.969626168224299,352.71147715804244,13.5532968044281
P. vivax,bell,model5_defor_ns_annual,205,216,21828,1284,167330.86536685523,260328.77766263255,18.422506873487432,0.04263484700594111,0.28550440168188534,0.6173452014423606,0.2252273020057482,0.9117457089389917,0.9548286604361372,282.68387979114846,14.015681505203249
P. falciparum,bell,model5_defor_ns_annual,109,120,11556,1284,70459.82767106355,86279.28557290309,5.299261225774855,0.04876434938384326,0.3639286460409651,0.6308558729373741,0.3531058882024274,0.8471842726224403,0.9602803738317757,107.47680691917465,22.203014373779297
P. falciparum,bell,model5_defor_ns_annual,121,132,12840,1284,76303.23968096371,92007.2003715951,7.461625491413266,0.05463300804038099,0.42013272080773817,0.7523711717087052,0.45728962509855536,0.816235396190416,0.9283489096573209,87.44994020830389,9.103651523590088
P. falciparum,bell,model5_defor_ns_annual,133,144,14124,1284,81200.12546992316,97875.44188608062,3.3026762165491697,0.046380290144822235,0.3918519331614916,0.559291418838475,0.39748721411053095,0.7963355089204661,0.9875389408099688,73.13633352816305,11.016498804092407
P. falciparum,bell,model5_defor_ns_annual,145,156,15408,1284,84912.09245874424,103379.75830764043,1.9304586972835023,0.031995109852967336,0.24821557902138386,0.4350138704644698,0.13157871030334578,0.9427270066406512,0.9906542056074766,66.83090269041301,10.394065380096436
P. falciparum,bell,model5_defor_ns_annual,157,168,16692,1284,88003.99582495737,106634.11261638974,2.2092247531679816,0.03483506624556676,0.3885123769430274,0.5306971174265217,0.3185062972740625,0.9004326525044837,0.9781931464174455,45.02738102063469,14.80879831314087
P. falciparum,bell,model5_defor_ns_annual,169,180,17976,1284,91211.2141689033,109543.85774930083,6.760270609916803,0.06752893991752738,0.41050288677811336,0.4991608400334235,0.5741063421351628,0.8662553897186945,0.985202492211838,35.30637462937706,9.704197406768799
P. falciparum,bell,model5_defor_ns_annual,181,192,19260,1284,94611.92856893942,113902.16589047588,4.172808220549682,0.05494553010540997,0.31299052340316647,0.4999751929146398,0.3197287896659458,0.9026617562583901,0.9789719626168224,52.795891513119656,10.05578899383545
P. falciparum,bell,model5_defor_ns_annual,193,204,20544,1284,97977.86303552202,117663.44458705003,3.4462054917138616,0.04229843456412566,0.3200795380466277,0.6211063883892946,0.257113244163559,0.9241843285670804,0.9618380062305296,43.29930997044262,12.511214971542358
P. falciparum,bell,model5_defor_ns_annual,205,216,21828,1284,101343.50798629608,121016.27991845807,6.23531604707683,0.060409257517286694,0.39294291583551993,0.6248896400390559,0.38044303256100975,0.9061632823341695,0.9633956386292835,42.050828230411575,11.225592851638794
