especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,bell,model6_cnes,109,111,11556,321,101262.75371028732,134110.6802343073,36.971385894189,0.07407028351907533,0.28875756213550063,0.5438454832844724,0.2622279078036177,0.9013787537957488,0.9844236760124612,315.25609764769297,27.542704343795776
P. vivax,bell,model6_cnes,112,114,11877,321,103374.75149137588,136166.2730799246,9.440448112185663,0.06603722421085995,0.3183392335675973,0.5041273346651136,0.336046196498271,0.831385346835179,0.8006230529595015,67.36310579405117,7.8875977993011475
P. vivax,bell,model6_cnes,115,117,12198,321,104594.81919925637,140885.96687552548,30.70340840087528,0.07417107642562792,0.3188069161771886,0.6394165181940137,0.305656042191898,0.890669435929011,0.7476635514018691,70.4581829124346,6.691913366317749
P. vivax,bell,model6_cnes,118,120,12519,321,105815.13274645605,152135.77979816397,23.47684714203777,0.04265295388682377,0.285683343828803,0.6397223020948306,0.13793213527937037,0.9379134793159112,0.7850467289719626,60.6587228998206,6.167630672454834
P. vivax,bell,model6_cnes,121,123,12840,321,108449.94528378344,163883.92133089772,11.73963511352093,0.06443622964549713,0.3044473051149795,0.5581578559966555,0.22777875429868472,0.8990889129296007,0.9626168224299064,308.21327846107,9.59620451927185
P. vivax,bell,model6_cnes,124,126,13161,321,110422.46880835776,165278.9820040535,13.823026907090672,0.04491112991078044,0.22412620023775753,0.5115315536751025,0.13766272359358062,0.9405251460352664,0.822429906542056,52.51453173552793,7.57925534248352
P. vivax,bell,model6_cnes,127,129,13482,321,112756.45779113432,168266.17379289863,5.38524310746499,0.04257155798567887,0.22405610305815007,0.5828660513987641,0.12683854789138693,0.9364242840299284,0.7850467289719626,57.08411402773584,6.549400329589844
P. vivax,bell,model6_cnes,130,132,13803,321,115192.35163987248,170852.56035121324,16.4212780518813,0.05144661517957673,0.2674743564763999,0.5517616129792713,0.1782720039167823,0.9568824069477092,0.7601246105919003,51.65339289037272,6.03197717666626
P. vivax,bell,model6_cnes,133,135,14124,321,117833.41494161727,174646.16896505962,11.043268087250825,0.0313196486288033,0.18730914622089792,0.488893633071087,0.10206768017699816,0.965960259668544,0.9750778816199376,237.00259103478743,9.117810010910034
P. vivax,bell,model6_cnes,136,138,14445,321,119567.0491775424,175551.8449933499,1.0332277999402162,0.03304793961977843,0.15694605530062694,0.4449559441075998,0.05616654134415279,0.9715843774703662,0.8691588785046729,46.32113164989429,9.539681911468506
P. vivax,bell,model6_cnes,139,141,14766,321,121411.6132687348,177660.43502159754,9.909104613808838,0.03106092493099728,0.16822173279317504,0.4725501668334032,0.06959638338220839,0.9746306424809692,0.8566978193146417,47.09205288674564,6.974257230758667
P. vivax,bell,model6_cnes,142,144,15087,321,123470.6760449025,180232.1399153658,2.504422739799439,0.05191105377026894,0.19595577956213844,0.42149164851100335,0.12450088039192844,0.9509663668509598,0.8504672897196262,43.21419550685781,5.678518295288086
P. vivax,bell,model6_cnes,145,147,15408,321,125612.53510030144,182143.7034419769,15.712951869134104,0.05210011111374699,0.2095068871891836,0.4113972667699974,0.1454258941363236,0.958599321259536,0.9937694704049844,224.24024194404768,9.447925090789797
P. vivax,bell,model6_cnes,148,150,15729,321,127192.34919845636,183827.89716428585,8.92345826297115,0.03669132604434341,0.1924643022132129,0.4428001919949036,0.10059420872568715,0.958199746620746,0.8598130841121495,43.07119955816114,11.179953575134276
P. vivax,bell,model6_cnes,151,153,16050,321,128978.06981540004,186671.3270565069,24.859835667265436,0.04977114734702388,0.19130309895051573,0.394066354207968,0.12686011859886154,0.9640299307103208,0.8535825545171339,46.2934700432918,10.724873065948486
P. vivax,bell,model6_cnes,154,156,16371,321,131179.234670131,190911.8898550108,0.6815549450919076,0.02682654890886215,0.13021414821375413,0.42444066079313447,0.03927330014608517,0.9804912493438872,0.8629283489096573,44.689878777065566,10.283260583877563
P. vivax,bell,model6_cnes,157,159,16692,321,133380.26665726354,192219.33116026784,17.15153516191208,0.05359813551715175,0.2606733935997002,0.576376156006781,0.18429414833203303,0.9374734280952935,0.9657320872274144,257.1222503377157,9.769652128219604
P. vivax,bell,model6_cnes,160,162,17013,321,135123.91678097466,194399.3964340173,11.465789250079537,0.05742660095009452,0.2967999894599416,0.4780425471805914,0.21573311283027063,0.9075359968119402,0.838006230529595,44.4989461251784,8.878161191940308
P. vivax,bell,model6_cnes,163,165,17334,321,137325.66131953854,196771.99603870293,2.253803059593271,0.03627764563877816,0.24281107362525028,0.5370908763297725,0.12050893607136798,0.9387718591031,0.8348909657320872,43.47124754541528,8.917072534561157
P. vivax,bell,model6_cnes,166,168,17655,321,139520.25538769728,200944.2493622828,14.605564632041563,0.04648605245146122,0.2205202937700373,0.5296956217786115,0.1257532033378231,0.9455281209883668,0.8473520249221184,41.325506249403475,7.950975656509399
P. vivax,bell,model6_cnes,169,171,17976,321,141470.30731397247,205434.98154049192,37.42594414453322,0.06921954148986349,0.3219722537561953,0.5582170465148785,0.2932327226747743,0.9673314110147848,0.97196261682243,208.06029014724265,10.043824672698976
P. vivax,bell,model6_cnes,172,174,18297,321,143266.63510294043,207457.26386173928,6.924549961556671,0.02952903754803732,0.1611730660144316,0.4272477817615826,0.0532912174767801,0.9734544079739568,0.8660436137071651,46.727565311803815,12.013513565063477
