especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,bell,paper_best_replica,109,111,11556,321,90425.79385828585,88985.13472451753,70.6866196219657,0.12022903290057048,0.4883843388513534,0.9228916813960264,0.6908911083146063,0.754255873753033,0.9221183800623053,277.51563878425713,29.076913595199585
P. vivax,bell,paper_best_replica,121,123,12840,321,99020.99915412272,97412.14668586873,55.094827914710834,0.11358348839056656,0.49579903095641836,0.8145783877675095,0.7077557030262444,0.8595088493264778,0.9532710280373832,181.11913539061163,51.16728186607361
P. vivax,bell,paper_best_replica,133,135,14124,321,107144.74250571497,105422.26315113301,45.23169456687067,0.08486255952220854,0.511160241551376,0.9174066475818583,0.7493534902742919,0.8408371146517972,0.9065420560747663,145.88543699523026,70.01943612098694
P. vivax,bell,paper_best_replica,145,147,15408,321,114604.22795881996,112777.06030455965,46.781417111043496,0.12180067087628466,0.5282219770572882,0.8785105317996876,0.794810881817632,0.8643904400724993,0.9252336448598131,120.29761857849707,56.40455102920532
P. vivax,bell,paper_best_replica,157,159,16692,321,121620.31833992111,119645.80884586318,55.34655089623189,0.11460762857162611,0.5580302025750984,0.9390023389111006,0.842634494372825,0.8649047467250858,0.9439252336448598,128.32775903493683,40.22237157821655
P. vivax,bell,paper_best_replica,169,171,17976,321,128776.48160879542,126705.82001474268,68.99818583318891,0.12141945662530756,0.5567322991424941,0.9479200472687732,0.9022597138161492,0.7847141814981355,0.9283489096573209,131.39347326492347,69.58270907402039
P. vivax,bell,paper_best_replica,181,183,19260,321,136210.8679707518,134001.79600668527,90.37803521025346,0.11177494758989649,0.5385983496071066,1.0134496161438018,0.8246993978880984,0.847541564801846,0.9501557632398754,236.58414939392125,93.99336743354797
P. vivax,bell,paper_best_replica,193,195,20544,321,143813.25946309834,141453.8788991921,54.20739168572758,0.11314423209352804,0.4901402356919328,0.894835978694076,0.7437437443821738,0.7664647055186129,0.9626168224299065,230.49001994952928,92.302581787109375
P. vivax,bell,paper_best_replica,205,207,21828,321,151419.67002444458,148952.10038572576,44.87291304978298,0.12592793230352314,0.48542418366345896,0.873531281426644,0.702137961523046,0.7440379770145031,0.956386292834891,248.5848049275839,126.53958392143251
P. falciparum,bell,paper_best_replica,109,111,11556,321,118356.35668786414,260223.4659808644,3.6055014200106488,0.09904908455044119,0.5264025496567422,1.0932145608344939,0.48476108496457676,0.7409724417185315,0.7476635514018691,20.550620076954836,10.62294340133667
P. falciparum,bell,paper_best_replica,121,123,12840,321,131367.14037066427,295725.08829991124,5.131857117939478,0.06970604608637555,0.536258481988541,1.1302437238991125,0.5202663244055749,0.8465990515230335,0.7507788161993769,19.91821173719988,9.964871644973755
P. falciparum,bell,paper_best_replica,133,135,14124,321,143097.966160401,362529.9691422547,4.075175995427504,0.059970767156170564,0.5628613864924965,1.0892402657531641,0.6540114515114379,0.6930060761965371,0.7663551401869159,13.625501267963672,10.651403903961182
P. falciparum,bell,paper_best_replica,145,147,15408,321,151219.4081097576,435212.47507298895,2.141977306544329,0.06495521737163733,0.5438415574620689,0.9640014944868199,0.5720515105189237,0.725833840232998,0.8317757009345794,10.123241242914427,10.88196086883545
P. falciparum,bell,paper_best_replica,157,159,16692,321,160701.94948693586,455633.9976706392,1.1800009905498683,0.06960220246537938,0.5519359644813961,0.9540986534978653,0.5466260355672014,0.7578275317551832,0.838006230529595,10.433647634479257,11.931596279144287
P. falciparum,bell,paper_best_replica,169,171,17976,321,166720.25058144645,495687.41603719426,2.4386551189863557,0.07662945519120204,0.6399080084849637,1.0605384426166218,0.6999223793035577,0.6297710125033956,0.8099688473520249,10.452189692970913,11.65183973312378
P. falciparum,bell,paper_best_replica,181,183,19260,321,171740.72388096902,541303.3081578763,3.6817975333382096,0.10079815191563059,0.6364909918477628,1.1481767961400968,0.7218218526785359,0.6121913241719249,0.794392523364486,13.674898657977552,12.615994930267334
P. falciparum,bell,paper_best_replica,193,195,20544,321,176176.78891581035,568037.6161300698,0.36240301691531923,0.07289057715171901,0.6681147563022751,1.0770586466164112,0.740017614835564,0.5259284475373268,0.8317757009345794,10.587718663598837,18.52903938293457
P. falciparum,bell,paper_best_replica,205,207,21828,321,181594.90812047588,586958.7453863343,3.0211828257260636,0.08771150550898912,0.5638907389596454,0.9338233889974422,0.6970334105538949,0.6122124606023206,0.8317757009345794,9.8635609823722,12.479956865310669
