especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,bell,paper_best_replica_h1,109,109,11556,107,90458.50830300698,89021.43133053344,67.21839417259808,0.1258179399863824,0.4651611338920999,0.8771155013855777,0.6020921506121112,0.8367463511598515,0.9532710280373832,290.8273365466659,45.71413040161133
P. vivax,bell,paper_best_replica_h1,110,110,11663,107,91227.13731838358,89771.61917320933,69.43139667181357,0.12395387394649263,0.48776659200281264,0.9124092012381736,0.6962357247402343,0.7312558299229993,0.9252336448598131,275.341341191801,64.43353390693665
P. vivax,bell,paper_best_replica_h1,111,111,11770,107,91953.58343127122,90484.40306045815,67.96174750463261,0.12771737513985237,0.4829109550164089,0.927040325927465,0.7031877781635858,0.7068386253842953,0.8785046728971962,283.928742213448,38.42426109313965
P. vivax,bell,paper_best_replica_h1,112,112,11877,107,92684.29010992163,91199.4284621703,64.49384137829672,0.16593489381898655,0.4752484428089435,0.8743085881228441,0.7209452372054387,0.681351225921303,0.9065420560747663,287.3191265127702,24.538023233413696
P. vivax,bell,paper_best_replica_h1,113,113,11984,107,93380.93892478009,91877.19425626099,82.49021236554633,0.1363893612734396,0.50211560662634,0.8786757028838251,0.8082226026432923,0.6134661977741145,0.9158878504672897,283.6941331064,36.13225769996643
P. vivax,bell,paper_best_replica_h1,114,114,12091,107,94108.58201769015,92591.77006859885,90.49673168266729,0.12316814892619248,0.5003673604785256,0.8661515235061046,0.8474526522743039,0.5415353234761701,0.9252336448598131,320.8410694567853,50.552878856658936
P. vivax,bell,paper_best_replica_h1,115,115,12198,107,94822.87028473092,93285.12458892065,89.63675684471572,0.14318234313427206,0.4865847879664909,0.8362536677212719,0.7649492424735134,0.6609445413302364,0.9532710280373832,343.6059589285646,29.420345067977905
P. vivax,bell,paper_best_replica_h1,116,116,12305,107,95573.11577418036,94023.95295216316,67.29588158380668,0.16301646306410592,0.4490594164689203,0.7797417806456279,0.6216534048700689,0.7624986805287515,0.9439252336448598,339.3265873582953,49.203826665878296
P. vivax,bell,paper_best_replica_h1,117,117,12412,107,96296.83164784101,94733.51306069843,44.70130302136237,0.13294143926589236,0.4167993084719377,0.733987964944014,0.4977890009847964,0.8432082344567474,0.9626168224299065,290.64253166473986,27.663567781448364
P. vivax,bell,paper_best_replica_h1,118,118,12519,107,96954.00162015953,95375.50556157915,61.179398443633275,0.12390517812255006,0.47598748059867363,0.7833691079122337,0.6296144172083454,0.9021271696843182,0.9626168224299065,225.17376495425268,27.207720041275024
P. vivax,bell,paper_best_replica_h1,119,119,12626,107,97700.44913833104,96116.96302009982,66.98810785918967,0.10911361558569517,0.49163505910687505,0.7964079810175366,0.7183782642033513,0.858760068227085,0.9345794392523364,219.91936383141552,46.09378457069397
P. vivax,bell,paper_best_replica_h1,120,120,12733,107,98370.50072660619,96784.00855991335,53.9424928674604,0.10582268191808933,0.4788486362784847,0.795618515856571,0.6950924626186802,0.8643084047727677,0.9439252336448598,196.51906937478847,29.420120239257812
P. vivax,bell,paper_best_replica_h1,121,121,12840,107,99025.77709727189,97418.10292786261,62.156609784403386,0.12313803402186463,0.4992137750147434,0.8240328764768308,0.7051586205187947,0.8952571738140431,0.9532710280373832,200.86153738221978,32.88700866699219
P. vivax,bell,paper_best_replica_h1,122,122,12947,107,99790.37850845978,98185.44396487484,48.72157341023414,0.12114042788277747,0.48025852223824705,0.7532943151317443,0.6583922466134341,0.8685133874329753,0.9813084112149533,200.97762365446667,26.610341548919678
P. vivax,bell,paper_best_replica_h1,123,123,13054,107,100467.68513745783,98841.49336967734,48.38154234095281,0.1458799326243113,0.48210090438345077,0.8104801491425109,0.6806679404711113,0.8157776518105613,0.9345794392523364,193.00144847499337,41.610347032547
P. vivax,bell,paper_best_replica_h1,124,124,13161,107,101131.089669092,99492.08722615408,63.622634342056294,0.14133802429014666,0.5192050844084647,0.9077408610957538,0.8065241768084888,0.7159687237458848,0.9158878504672897,177.93553011089278,49.752275705337524
P. vivax,bell,paper_best_replica_h1,125,125,13268,107,101755.89448850116,100109.36074516212,82.61010978923588,0.12539135060591491,0.5369904988923458,0.9810325028898568,0.8898354837631481,0.5882671212746863,0.897196261682243,200.44951324295513,39.21251583099365
P. vivax,bell,paper_best_replica_h1,126,126,13375,107,102482.47239386025,100824.72575329323,76.34393586787273,0.12427794194393234,0.5309620552981591,0.9557724880558648,0.8622909399897296,0.5953219998558686,0.8878504672897196,219.91832577535317,43.48390865325928
P. vivax,bell,paper_best_replica_h1,127,127,13482,107,103049.242600711,101370.95212041047,80.25837696746903,0.13084379478015323,0.5216296120177106,0.9409831921439281,0.8544643150086758,0.632063531299985,0.9252336448598131,214.14718588080527,49.36846899986267
P. vivax,bell,paper_best_replica_h1,128,128,13589,107,103800.24927624625,102115.1637296603,65.63545956800438,0.1708821616209527,0.5066504874860746,0.9514315868953281,0.7521662523324921,0.7416266709986852,0.8598130841121495,221.82446161650046,42.65991282463074
P. vivax,bell,paper_best_replica_h1,129,129,13696,107,104482.31885364094,102786.14268383832,65.31680795956989,0.1596874004608169,0.5159076561754531,0.980292255277728,0.7855695014398284,0.7448655047580809,0.8504672897196262,188.72096941236396,41.600945234298706
P. vivax,bell,paper_best_replica_h1,130,130,13803,107,105150.80002168189,103440.29574334277,67.5698595394279,0.13939036924095588,0.5306363780342425,0.9952226593140661,0.7812143317353852,0.8175648823142582,0.8785046728971962,169.03807792322766,64.11596536636353
P. vivax,bell,paper_best_replica_h1,131,131,13910,107,105806.9453619103,104092.76451545609,57.0173939504689,0.11306947544686227,0.5221451121899177,0.9798948964781368,0.7596431979226012,0.8436470160155549,0.8691588785046729,156.6468924060888,55.28217697143555
P. vivax,bell,paper_best_replica_h1,132,132,14017,107,106510.6260289702,104792.89320951453,49.58051934797398,0.10332845663123029,0.5197040750162828,0.9603278041866701,0.7597889335499621,0.8433135625444625,0.8504672897196262,151.0713228324692,62.4604675769806
P. vivax,bell,paper_best_replica_h1,133,133,14124,107,107104.52248018645,105376.96623741352,54.545176764369984,0.10533427010357238,0.5234973079722189,0.94218158186287,0.7825525478746734,0.8558400977915966,0.897196261682243,148.44926696426535,54.903420209884644
P. vivax,bell,paper_best_replica_h1,134,134,14231,107,107692.63403834373,105955.18055600613,40.566327032545125,0.10983009549202623,0.5045155935330599,0.9085168371978358,0.7048085566545927,0.8791446912908325,0.9158878504672897,145.9122827974177,39.998398542404175
P. vivax,bell,paper_best_replica_h1,135,135,14338,107,108440.49460391597,106707.96369518524,40.5706831494297,0.13394309384469727,0.5011972541755978,0.8895510068176442,0.7299152067471626,0.8108922293021934,0.9252336448598131,147.34939946452945,41.84270787239075
P. vivax,bell,paper_best_replica_h1,136,136,14445,107,108949.82775052486,107203.09148868643,49.913918819831316,0.13927707502271716,0.5279376899953063,0.9513778086782478,0.8121710204815537,0.7706449539556856,0.9158878504672897,136.45430461082904,40.99627494812012
P. vivax,bell,paper_best_replica_h1,137,137,14552,107,109691.0509429458,107954.6461481579,59.94294697934132,0.14066966495954206,0.5342384606721654,0.9640320701835171,0.858943726945197,0.7064220536949272,0.9065420560747663,148.66806204288335,39.900402307510376
P. vivax,bell,paper_best_replica_h1,138,138,14659,107,110298.46500624048,108548.6616414047,59.16887191816658,0.15771013647668716,0.529845839833308,0.9545054598493499,0.850213466094155,0.6950204834142513,0.8878504672897196,164.94456289668534,42.45892572402954
P. vivax,bell,paper_best_replica_h1,139,139,14766,107,110915.20749803414,109151.21911625829,75.51711292187004,0.1267847268740732,0.5433124465698617,1.0007768527509306,0.8962688549269996,0.6452638791909151,0.897196261682243,165.4710824205197,72.22751355171204
P. vivax,bell,paper_best_replica_h1,140,140,14873,107,111524.06136842913,109751.66786239936,66.60241137721644,0.12631002508192546,0.5382224710173525,0.9651871632673329,0.8519167978923468,0.7109516020725765,0.9252336448598131,168.8713153988217,56.07241749763489
P. vivax,bell,paper_best_replica_h1,141,141,14980,107,112190.3677500372,110406.4332010146,69.3025458228714,0.1519612678030526,0.5509681774011846,1.0370088305924479,0.8455614540412187,0.8023628428237705,0.8878504672897196,148.21246025274084,51.60095930099487
P. vivax,bell,paper_best_replica_h1,142,142,15087,107,112760.25715380136,110963.22820047429,66.9900094015511,0.15296308453689192,0.5535862421891364,1.0119762880265064,0.813590323276622,0.894187240007069,0.9065420560747663,145.00125907302163,64.05472350120544
P. vivax,bell,paper_best_replica_h1,143,143,15194,107,113400.71833855647,111591.39753076927,56.17060998372974,0.13450753253278766,0.539560000978663,0.979116884615232,0.7815206650922476,0.9065911300891242,0.9158878504672897,146.0591778810092,55.86828947067261
P. vivax,bell,paper_best_replica_h1,144,144,15301,107,114089.20974896394,112283.92460129093,44.21376522927931,0.11851112580723727,0.5164322419041473,0.8851028216185417,0.7399270391959727,0.8964697904257242,0.9252336448598131,142.20051994742752,47.5038857460022
P. vivax,bell,paper_best_replica_h1,145,145,15408,107,114629.72620811604,112905.71304905067,49.23923198840988,0.12901254828441427,0.5340378078767547,0.896179906049486,0.7779691194827225,0.9114825516265317,0.9158878504672897,138.26233153857567,73.55744576454163
