especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,bell,rs_precip_mm_fixed,109,111,11556,321,101272.63080835674,133929.83501655966,33.58158047910888,0.07124733583496438,0.27774433266227255,0.5347558124254818,0.2426208693709105,0.9041864800397015,0.9813084112149533,371.21662628018396,43.608214139938354
P. vivax,bell,rs_precip_mm_fixed,121,123,12840,321,108515.99014621135,163119.0787186371,9.594462931722868,0.0648222818023298,0.3029196899548148,0.5602543658944722,0.23051627937206837,0.8926302913201978,0.9595015576323987,316.72444935769875,24.640886783599854
P. vivax,bell,rs_precip_mm_fixed,133,135,14124,321,117845.70303009398,173969.40971141844,10.148873182294707,0.032693721081797814,0.18928152440769958,0.46563129624341787,0.11122007621319425,0.9649804723531558,0.9813084112149533,282.31478733869017,47.963197231292725
P. vivax,bell,rs_precip_mm_fixed,145,147,15408,321,125678.47172071607,182149.05195372205,15.53541725366416,0.05225382773171495,0.20631777826704484,0.40886468481639276,0.14628529168484977,0.952511864198472,0.9968847352024922,267.1724162281226,50.456300258636475
P. vivax,bell,rs_precip_mm_fixed,157,159,16692,321,133297.2582858972,191538.4473019592,19.755186749396305,0.05931847536340081,0.2696467348285067,0.5607612232692485,0.22573148621010194,0.9317788976221171,0.9688473520249221,270.88324164634804,29.22928524017334
P. vivax,bell,rs_precip_mm_fixed,169,171,17976,321,141480.54435640288,205340.77902921772,37.344135351147244,0.06826612407006952,0.3181832649957786,0.5614567466064287,0.28521048546607997,0.9486419749897739,0.9781931464174455,245.35229153484974,41.88815712928772
P. vivax,bell,rs_precip_mm_fixed,181,183,19260,321,150293.17461716963,233631.48470098324,48.30527878943065,0.056773260409863635,0.2907141315131778,0.5629899301791437,0.2127621642704696,0.9699164516161387,0.9844236760124611,386.60526255758555,39.878450870513916
P. vivax,bell,rs_precip_mm_fixed,193,195,20544,321,158580.7920323065,251854.61655288708,14.902276144211138,0.04691995449371526,0.20615217159789134,0.415030764445311,0.1279009151407046,0.943230573440899,0.9937694704049844,342.4895674433171,31.483419179916382
P. vivax,bell,rs_precip_mm_fixed,205,207,21828,321,167166.64260830186,262601.7998363571,19.601667496397354,0.06512951460423386,0.2529311954586642,0.5106108084047349,0.18781660770114258,0.9366362006200655,0.9813084112149533,262.4875152410344,52.06198310852051
P. falciparum,bell,rs_precip_mm_fixed,109,111,11556,321,70490.94912148335,86168.70572107019,7.864597962396439,0.08814992403108758,0.36402241279096537,0.5760679910206303,0.3839464899140778,0.8251643371145159,0.9844236760124611,92.6850381811615,61.03993034362794
P. falciparum,bell,rs_precip_mm_fixed,121,123,12840,321,76316.2823255568,92417.57523602695,9.7733317962621,0.066394870410501,0.38537055919066154,0.5715609507033462,0.47201290542540486,0.9096046365354313,0.9657320872274143,78.30534566182651,18.081583261489868
P. falciparum,bell,rs_precip_mm_fixed,133,135,14124,321,81263.18647395069,97893.61567507587,3.147451346113322,0.04113546242616057,0.34581602902989644,0.5206256317042806,0.30770808785584475,0.8620259260588978,0.9937694704049844,90.61124033206349,29.424602270126343
P. falciparum,bell,rs_precip_mm_fixed,145,147,15408,321,84980.889492239,103450.916199565,1.9028151510044493,0.027836114424523703,0.21838247456424126,0.43565162573245264,0.10505682750489756,0.9526756634301617,0.9813084112149533,70.95312507846134,31.801905870437622
P. falciparum,bell,rs_precip_mm_fixed,157,159,16692,321,88096.41525493821,106566.31265075038,3.02886473065471,0.05174359761923094,0.34384878041241274,0.4654885654469244,0.3021047752952786,0.9373183980856168,0.9844236760124611,45.853697690346024,48.24572563171387
P. falciparum,bell,rs_precip_mm_fixed,169,171,17976,321,91240.2432475886,109378.70974823565,4.819679182110345,0.06107944915721858,0.37251338115697236,0.44985975491148644,0.44468105521154067,0.8813311023210623,0.9906542056074766,36.395431700611276,27.30338978767395
P. falciparum,bell,rs_precip_mm_fixed,181,183,19260,321,94664.99588641184,114074.89672052083,7.553913737763448,0.07912334205084408,0.3761694748784913,0.4910496815629638,0.44476861373870247,0.947542599907788,0.9906542056074766,54.736540659900086,31.788813829421997
P. falciparum,bell,rs_precip_mm_fixed,193,195,20544,321,98019.59377885083,117451.66958763957,1.8702303217076834,0.041119993665574256,0.26478689087074964,0.47548016465927523,0.2355078336904725,0.9160955785340674,0.9844236760124611,47.29291745867125,34.18428182601929
P. falciparum,bell,rs_precip_mm_fixed,205,207,21828,321,101415.18420487503,121183.7263105621,4.910916767267377,0.05874812364542467,0.3586903432387476,0.49993651983589293,0.3127004203308972,0.9781182396612768,0.9875389408099688,34.86721197984515,28.622304677963257
