especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,bell,rs_precip_mm_random,109,111,11556,321,101077.32804979471,132095.79153684533,36.037409730773,0.07330000936332669,0.2864603663581689,0.5521758053561101,0.2568023278325611,0.9020641345400419,0.9844236760124611,368.5494715872153,69.57878971099854
P. vivax,bell,rs_precip_mm_random,121,123,12840,321,107364.41319244125,161014.3825728776,12.507035327461608,0.06670682629374694,0.30934101821968557,0.562201027544608,0.2441144736722011,0.8923827033385588,0.9501557632398754,339.38910926331323,44.82442784309387
P. vivax,bell,rs_precip_mm_random,133,135,14124,321,117042.09078418315,173265.82500164912,8.211406364799936,0.03161851037809334,0.18608343130379998,0.4733012670794073,0.10402489660012375,0.9621685904970102,0.9719626168224299,291.1539492536706,36.49626564979553
P. vivax,bell,rs_precip_mm_random,145,147,15408,321,125001.94051506775,181005.2173777987,16.53066802002591,0.05299796066266706,0.21019052671219005,0.4115434003927142,0.1504813783733325,0.9546449253854467,0.9937694704049844,249.64840417799599,49.446781396865845
P. vivax,bell,rs_precip_mm_random,157,159,16692,321,132497.34180736545,190173.66003542847,20.79273897546287,0.059581879035764757,0.26938828697274736,0.5676288941693329,0.22774065838798122,0.9367252311127396,0.9688473520249221,282.13243594869306,30.93559217453003
P. vivax,bell,rs_precip_mm_random,169,171,17976,321,140751.9977307616,203939.9303692264,37.26305497651689,0.06859788787345221,0.31878263194768086,0.5605563213264676,0.2879893876756965,0.9488983715047846,0.9719626168224299,241.2023628940981,42.39474415779114
P. vivax,bell,rs_precip_mm_random,181,183,19260,321,149359.8703599768,235725.52059118988,48.48673938563746,0.056974082862298304,0.2927566883169231,0.5670983316815895,0.21427002161574493,0.9692019823224605,0.9813084112149533,363.8492559192318,30.193121910095215
P. vivax,bell,rs_precip_mm_random,193,195,20544,321,157569.04667522357,250998.88838270202,16.228263481685122,0.048153463533686526,0.2095577087498301,0.4122752804167906,0.13471425310256627,0.9434736111858046,0.9968847352024922,344.8343386228815,41.37369680404663
P. vivax,bell,rs_precip_mm_random,205,207,21828,321,166177.43164876004,263199.02851023956,20.19350796783691,0.06647693848201873,0.2565435037759878,0.5093821835675697,0.1956682360261768,0.9372686171146805,0.9781931464174455,272.3753048357435,42.45227861404419
P. falciparum,bell,rs_precip_mm_random,109,111,11556,321,70281.79674958196,85294.14920889563,7.103819425566268,0.08709288688212177,0.3596035677602882,0.573941726245971,0.374793620248687,0.8150608168839244,0.9875389408099688,101.2652819431936,45.488123416900635
P. falciparum,bell,rs_precip_mm_random,121,123,12840,321,76103.9520898758,90960.04559670131,9.716589928866412,0.06610900726801389,0.38630058628595515,0.5790080829323025,0.46795715176042135,0.9097145084789257,0.9688473520249221,92.19372076208322,29.632577896118164
P. falciparum,bell,rs_precip_mm_random,133,135,14124,321,81048.18990504579,96779.56977408027,3.3167196025951506,0.04165388615840536,0.3521875532423046,0.5245217494652328,0.3155129544388266,0.8594442006467496,0.9937694704049844,84.66611322959552,28.13938856124878
P. falciparum,bell,rs_precip_mm_random,145,147,15408,321,84690.75973644876,102572.80601934702,1.649255079674668,0.027072853308775114,0.2137647790094155,0.4362598266306233,0.09937453647977405,0.9521867112671722,0.9844236760124611,61.95264264612171,26.90289330482483
P. falciparum,bell,rs_precip_mm_random,157,159,16692,321,87833.4603422929,105443.51464270246,3.0216736385643137,0.05108477192395063,0.33993662861001556,0.4650854776843033,0.29446064947477024,0.9392238352009085,0.9844236760124611,48.66837019020349,41.15414023399353
P. falciparum,bell,rs_precip_mm_random,169,171,17976,321,90952.37432376062,108416.30605283185,4.826325604808948,0.06131098908338882,0.37426817181515504,0.4436318802527629,0.44805883851336986,0.8811328986124853,0.9906542056074766,36.96280664213867,32.0341432094574
P. falciparum,bell,rs_precip_mm_random,181,183,19260,321,94411.40262204029,112787.68213442397,7.5056321260352075,0.07879409367249023,0.37532254453922836,0.49380205371421443,0.4410747691910734,0.9476691603003723,0.9844236760124611,47.8477768229264,26.571827173233032
P. falciparum,bell,rs_precip_mm_random,193,195,20544,321,97749.31379217243,116781.48110127298,1.9646639937963681,0.04191378063965619,0.2699736290844464,0.47102942326059055,0.24468815806395763,0.9160995320052342,0.9844236760124611,45.577906118907805,33.914613485336304
P. falciparum,bell,rs_precip_mm_random,205,207,21828,321,101075.36065130352,120090.68239118211,4.989631003179753,0.060520450930877254,0.36398436605303375,0.501702848120674,0.33185225645689237,0.9777275025711349,0.9906542056074766,38.002584441410704,26.043274402618408
