especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,bell,rs_rhum_fixed,109,111,11556,321,101366.71857369004,135387.14000011087,34.002404427686024,0.07159478569282318,0.27953256140083077,0.5359065808571849,0.2449930039594365,0.9034866069729581,0.9844236760124611,362.0191632015027,41.78143048286438
P. vivax,bell,rs_rhum_fixed,121,123,12840,321,108600.99226452115,164601.44929320796,10.069356585495875,0.06439819523184746,0.30083177418404183,0.5571355988315999,0.22750993427145436,0.8956823896927013,0.9532710280373832,315.6110654565933,32.64204955101013
P. vivax,bell,rs_rhum_fixed,133,135,14124,321,118136.11222949589,175590.44943435857,6.693721993434433,0.02956942171896528,0.18069961379775262,0.47059786268261916,0.09097878745297357,0.9658673933686542,0.9688473520249221,301.55625035130896,24.4150071144104
P. vivax,bell,rs_rhum_fixed,145,147,15408,321,126102.5587977077,183525.01809512137,14.621284726648726,0.05129723448384454,0.19983184052293435,0.4075130356324413,0.14097832559111664,0.9511055467468549,0.9968847352024922,275.34595204707404,40.02070212364197
P. vivax,bell,rs_rhum_fixed,157,159,16692,321,133670.43195112632,193826.4275618085,20.31820942456954,0.06028693561135799,0.2733388221523277,0.5638235227590535,0.23316244422769536,0.9304059500938001,0.9688473520249221,270.92678512256686,24.64253807067871
P. vivax,bell,rs_rhum_fixed,169,171,17976,321,141752.2667347701,209495.32043214812,36.70743627435632,0.06758232901043777,0.3134922539464933,0.5563257047995661,0.2795254176118563,0.946542283245096,0.9750778816199377,245.3551420430114,29.84687328338623
P. vivax,bell,rs_rhum_fixed,181,183,19260,321,150498.63608535254,235271.67324194545,48.5462224297416,0.05694173944515578,0.29186925895497573,0.5645551719752454,0.21402681427497788,0.969272474017144,0.9813084112149533,381.67322047343833,21.83247947692871
P. vivax,bell,rs_rhum_fixed,193,195,20544,321,158831.5207895694,252685.5695947446,15.337386198453615,0.04803769286410286,0.20943352275199079,0.4166036375501204,0.13406727113200176,0.9404077265519528,0.9906542056074766,342.6423483306225,35.09713411331177
P. vivax,bell,rs_rhum_fixed,205,207,21828,321,167505.72600723727,264152.3363466586,20.141411553035187,0.06596908500081565,0.25643118320120883,0.5120623822159208,0.1926900236319557,0.936775597841315,0.9781931464174455,259.200865617871,35.80630898475647
P. falciparum,bell,rs_rhum_fixed,109,111,11556,321,70582.64116457221,85938.94201690835,7.001216934596505,0.0859273575445586,0.3553235022620231,0.5700285108972196,0.3648293167353732,0.8219084314901357,0.9844236760124611,99.72975388718295,56.22880148887634
P. falciparum,bell,rs_rhum_fixed,121,123,12840,321,76501.20086447528,93176.04714082742,9.21329674994512,0.06442005762153975,0.37594752765330325,0.5698494361115095,0.4443518940370893,0.9142227645126402,0.9688473520249221,82.61052402581295,20.525282382965088
P. falciparum,bell,rs_rhum_fixed,133,135,14124,321,81333.0315165017,98058.75849111204,3.0860270561614414,0.040746656214149274,0.34520635062461963,0.5204198576581658,0.3019187564633078,0.8652514760446988,0.9875389408099688,91.18999966475869,25.38805890083313
P. falciparum,bell,rs_rhum_fixed,145,147,15408,321,85039.91940118713,103587.90646292336,1.8234596879057061,0.027631658241052154,0.21520570486129598,0.43631713295974517,0.10351921099903398,0.9519938331883318,0.9813084112149533,71.22235630139404,29.174383640289307
P. falciparum,bell,rs_rhum_fixed,157,159,16692,321,88160.53835262312,106702.5287323916,2.9339672306344626,0.051278863265898235,0.34343459509238766,0.46451149879661474,0.29670244610125796,0.937174936226354,0.9813084112149533,46.018471583375884,42.561232566833496
P. falciparum,bell,rs_rhum_fixed,169,171,17976,321,91403.3949899892,110427.4421750927,4.802588652373573,0.06049892617809459,0.37004812664640563,0.44489930957931395,0.4362683793696467,0.881181457184571,0.9906542056074766,36.56341329651647,37.33318328857422
P. falciparum,bell,rs_rhum_fixed,181,183,19260,321,94676.55910722751,112572.49327879383,7.609388690411171,0.07939873342853684,0.37752986023076807,0.4932845146694939,0.4478700651031741,0.9491854085255471,0.9906542056074766,54.29464519806222,29.107024431228638
P. falciparum,bell,rs_rhum_fixed,193,195,20544,321,98121.11055545234,117943.41501011876,1.9040438214547457,0.041587756052159065,0.2639665739319949,0.4721205657437408,0.24089636959522182,0.9134870469115781,0.9844236760124611,46.75805947187536,26.92918348312378
P. falciparum,bell,rs_rhum_fixed,205,207,21828,321,101397.39601692522,121392.84343216481,4.960394555616253,0.05942239605680584,0.3609983899825127,0.5004255158084989,0.31991955262318306,0.9784367412251025,0.9875389408099688,33.77728124276638,30.4521644115448
