especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,bell,rs_rhum_random,109,111,11556,321,101098.67887741709,132685.25813763254,32.437766593129076,0.07003347192987365,0.2750406635502249,0.5346431670224743,0.2344240745741983,0.9070658039943528,0.9844236760124611,379.45593473585745,74.12498307228088
P. vivax,bell,rs_rhum_random,121,123,12840,321,107974.02710691317,158123.09742129664,9.982918648730319,0.06405820282951824,0.3010631267663238,0.5606354763212548,0.22511398331246693,0.8965907767710848,0.9470404984423676,349.30198741060127,40.17087149620056
P. vivax,bell,rs_rhum_random,133,135,14124,321,117397.65302109215,170936.80792716925,9.730525138035814,0.032418746319976134,0.1874509008350205,0.4670254268070763,0.10935708215642469,0.9644782197527377,0.9719626168224299,283.97973813975966,36.70008635520935
P. vivax,bell,rs_rhum_random,145,147,15408,321,125291.83687654018,178966.99719024528,15.453230350461702,0.05243968682663449,0.20491130724456919,0.4057602070614569,0.14732777242684048,0.9523510739285774,0.9937694704049844,257.2022665486901,51.51919746398926
P. vivax,bell,rs_rhum_random,157,159,16692,321,133031.72518326496,190165.27648092425,20.56404645577465,0.05999652159783723,0.2756127734520606,0.5650598686859293,0.23092147624388104,0.9301032905502078,0.9688473520249221,279.7993751664941,31.62062120437622
P. vivax,bell,rs_rhum_random,169,171,17976,321,141234.9343245237,204709.20159504307,36.19635732704892,0.06620041266079751,0.30968186568369976,0.551470608695608,0.26821087914203634,0.9530183468309549,0.9750778816199377,246.95574083755673,49.6651885509491
P. vivax,bell,rs_rhum_random,181,183,19260,321,149915.38861065262,231057.37603403887,48.42992458220126,0.05676844347609702,0.2929191110174845,0.5625935224213777,0.212726062141802,0.9701514778156828,0.9844236760124611,361.63661035364396,58.671895265579224
P. vivax,bell,rs_rhum_random,193,195,20544,321,158440.79834056034,248781.43865513627,15.878184468290058,0.047758070542717454,0.20866177095936564,0.4150125853854862,0.13251103094134922,0.9435996157020301,0.9906542056074766,345.60707731972707,38.031755447387695
P. vivax,bell,rs_rhum_random,205,207,21828,321,166975.47306319478,257672.87060393434,20.394823232714423,0.06752008966260098,0.2636217164221644,0.5119798395342183,0.2018572395441477,0.9360203794590014,0.9781931464174455,271.11533543128434,40.19254994392395
P. falciparum,bell,rs_rhum_random,109,111,11556,321,70291.51093649138,85330.32231500711,7.133122073052642,0.08662685299240545,0.3574512613361438,0.572827693765473,0.3707933117327452,0.8192571201455764,0.9844236760124611,100.47035277936602,62.29083204269409
P. falciparum,bell,rs_rhum_random,121,123,12840,321,76084.19846081252,91702.53861729917,9.292025059069555,0.06452100292655906,0.3768474711794712,0.5716402038137368,0.44574557118961966,0.9125881348333115,0.9657320872274143,95.46924542772864,26.884053230285645
P. falciparum,bell,rs_rhum_random,133,135,14124,321,81011.39782227617,97546.94387002247,3.1954253415174367,0.041574296298922925,0.3497541938006682,0.5192594306107395,0.3143083781993079,0.8583903010786557,0.9906542056074766,85.86746056541317,29.022199630737305
P. falciparum,bell,rs_rhum_random,145,147,15408,321,84639.48716647469,102763.28450951705,1.7793706508409977,0.027933971855111858,0.21685070187613067,0.43399303097027536,0.10579677717446397,0.9508475342063701,0.9781931464174455,60.01168229059282,36.999350786209106
P. falciparum,bell,rs_rhum_random,157,159,16692,321,87720.1544762955,106302.46499957776,2.744837072728395,0.04886416777234756,0.3347421204716735,0.4651991299748354,0.26941722660259604,0.937496907883795,0.9844236760124611,53.051751538762815,30.33357310295105
P. falciparum,bell,rs_rhum_random,169,171,17976,321,90934.82518397446,109676.04089133638,4.801562243700556,0.06073732396231958,0.3720162913738415,0.4449155473960723,0.43971341020701693,0.885316088440348,0.9906542056074766,37.01880068191247,31.172763109207153
P. falciparum,bell,rs_rhum_random,181,183,19260,321,94300.7692213387,113620.2232938432,7.570404157925938,0.07950475625056201,0.37684194568284213,0.4932256174082271,0.4490669645913449,0.9422253507506225,0.9875389408099688,47.47609439650532,23.285029649734497
P. falciparum,bell,rs_rhum_random,193,195,20544,321,97710.85585494191,117078.61013017669,1.945991893045985,0.04144038059974474,0.26862934620738366,0.47257902918659134,0.2391920551607997,0.9190370385165643,0.9875389408099688,46.048638848334,27.1785728931427
P. falciparum,bell,rs_rhum_random,205,207,21828,321,100962.71746084944,120523.57465162108,5.05494170363119,0.061818445325899085,0.36768862296552907,0.5011567328547686,0.3462395080938708,0.9764091536126727,0.9875389408099688,37.78002550868514,19.206275463104248
