especie,familia,modelo,test_start,test_end,n_train,n_test,dic,waic,mbe,nrmse,rae,rmsle,rse,cor,coverage_95,largura_95,fit_time_sec
P. vivax,bell,rs_temp_random,109,111,11556,321,101103.63284132976,131755.0502322208,35.472154427366696,0.07233166853173946,0.28417875547226223,0.5543936223231329,0.25006209352261727,0.9038006434690583,0.9844236760124611,362.65380042999885,54.819775104522705
P. vivax,bell,rs_temp_random,121,123,12840,321,108086.18969484542,158340.72153298373,10.018870615772453,0.06527144600885258,0.3045308486324842,0.5653990000461518,0.23372191732439787,0.8906227879733823,0.940809968847352,352.7323812370985,40.611188650131226
P. vivax,bell,rs_temp_random,133,135,14124,321,117632.29532605654,170326.54497127642,9.419537892142516,0.03103286686466254,0.18330968074998022,0.4687751040222569,0.10020705028941,0.9680048602236297,0.9688473520249221,289.1911560483758,53.8892879486084
P. vivax,bell,rs_temp_random,145,147,15408,321,125603.69086251943,179276.6215387495,15.370264379561313,0.05225774909591714,0.20392311648185574,0.409476248324634,0.1463072483320551,0.9508648951905138,0.9937694704049844,256.1119235115009,40.634928941726685
P. vivax,bell,rs_temp_random,157,159,16692,321,133032.9255288466,191234.050428352,19.49430216039827,0.06242870911813584,0.28635413727230546,0.5590538664679858,0.2500235346148875,0.9130693629870839,0.9719626168224299,295.25640725424586,30.264041662216187
P. vivax,bell,rs_temp_random,169,171,17976,321,141335.8298050443,204080.28055837736,36.648770378444894,0.06547210635872693,0.31017279314866775,0.5487004774053758,0.26234187780464424,0.9506552707485718,0.9750778816199377,249.67677507484666,58.10391879081726
P. vivax,bell,rs_temp_random,181,183,19260,321,149423.23961674614,230511.78793610976,49.24127706902684,0.05750167598592987,0.2966922802657605,0.5679040710191758,0.2182567751263791,0.9691227864167885,0.9813084112149533,358.93337020687113,27.92510414123535
P. vivax,bell,rs_temp_random,193,195,20544,321,158066.64639335228,246196.22518855328,15.527447447315934,0.04781733435783151,0.20718010765742317,0.4148342744793433,0.13284010544869307,0.9431222943623462,0.9937694704049844,352.8658731562961,38.145305156707764
P. vivax,bell,rs_temp_random,205,207,21828,321,166637.46239754383,257596.29247789033,20.07300334314776,0.06669000254146255,0.25838311231988914,0.51061739684258,0.19692451164162209,0.939441687728935,0.9750778816199377,273.3605361187238,35.67535376548767
P. falciparum,bell,rs_temp_random,109,111,11556,321,69962.07167290518,83527.89681910872,7.208660234808301,0.08688592282382772,0.3592466353450269,0.575688868952938,0.3730144475577035,0.8190162184824356,0.9844236760124611,99.09066948717026,55.97773718833923
P. falciparum,bell,rs_temp_random,121,123,12840,321,75873.50522289226,91634.00182613225,9.550443077629591,0.06564840178664896,0.3842708830620367,0.5739447085025579,0.4614590132277547,0.908768133340579,0.9719626168224299,95.27381638231176,30.03370761871338
P. falciparum,bell,rs_temp_random,133,135,14124,321,80813.87699289131,97165.91226201598,3.491437782156655,0.04147994974445873,0.34969466000645194,0.5163349334763376,0.31288344656448924,0.866419984877234,0.9968847352024922,85.29134300774828,30.840700149536133
P. falciparum,bell,rs_temp_random,145,147,15408,321,84424.44957673033,102788.86993505557,1.8878549560877826,0.02767293040183246,0.2155936292021999,0.43497673147703864,0.10382868589730991,0.9528667308144763,0.9844236760124611,58.5730197470226,36.62660074234009
P. falciparum,bell,rs_temp_random,157,159,16692,321,87620.75281279955,105770.36672369395,2.9397135092247404,0.05120925781495073,0.34645499969458227,0.465667079221687,0.29589751050968865,0.9372043875688214,0.9844236760124611,49.872639592916016,29.946062326431274
P. falciparum,bell,rs_temp_random,169,171,17976,321,90804.87212957916,109958.08766903558,4.698077054410664,0.058815637871815395,0.36215848440073084,0.4372373204960242,0.41232913878883337,0.8910260986761824,0.9906542056074766,38.320267319202294,35.37649321556091
P. falciparum,bell,rs_temp_random,181,183,19260,321,94135.17645000445,112334.02506646926,7.530206468255025,0.07873536251346432,0.3748783186111824,0.49087063463493574,0.44041748190479035,0.9506983140660744,0.9875389408099688,47.19209352083534,25.200321912765503
P. falciparum,bell,rs_temp_random,193,195,20544,321,97492.03448131875,115897.82159799903,1.9790114143887065,0.04226950194946074,0.2746955491813392,0.4750115292707686,0.24885910839888875,0.9161797228510214,0.9844236760124611,45.484939009159696,26.50359869003296
P. falciparum,bell,rs_temp_random,205,207,21828,321,100865.8981029897,119075.65434952022,5.133250618945201,0.06290872691372458,0.3734817195438022,0.5039274503972434,0.35856034528588465,0.9790220510105907,0.9875389408099688,36.55844738825365,26.734391927719116
