especie,familia,modelo,codMicroRes,nomeMicroRes,siglaUF,ano,mes,idMes,populacao,real_taxa,pred_taxa,residual,ci_low,ci_high,covered,test_start
P. vivax,bell,model5_defor_ns_annual,11001,Porto Velho,RO,2012,1,109,559543,340.992559999857,299.2726154929459,41.71994450691113,135.8161928573854,1285.1961332730452,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11001,Porto Velho,RO,2012,2,110,559543,263.2505455344808,246.45654852006996,16.79399701441085,120.7681983332827,1048.9006206850938,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11001,Porto Velho,RO,2012,3,111,559543,284.1604666665475,276.80246587779476,7.358000788752747,127.06351433223185,1169.003097170369,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11001,Porto Velho,RO,2012,4,112,559543,307.75114691810995,292.24123470513734,15.509912212972608,127.64434547478925,1256.2886141011504,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11001,Porto Velho,RO,2012,5,113,559543,312.7552306078353,329.72371718723326,-16.96848657939796,146.37838378819862,1462.193254137751,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11001,Porto Velho,RO,2012,6,114,559543,337.239497232563,369.7758032352555,-32.53630600269253,176.5279880187939,1639.0429332508838,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11001,Porto Velho,RO,2012,7,115,559543,426.7768518237204,396.3185015489276,30.458350274792792,177.71198996323784,1705.838514644986,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11001,Porto Velho,RO,2012,8,116,559543,439.2870610480338,370.7171528553303,68.56990819270351,171.00562423263267,1613.7052916397845,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11001,Porto Velho,RO,2012,9,117,559543,419.6281608383985,312.34762681223157,107.28053402616695,136.8929644370495,1356.0083854145255,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11001,Porto Velho,RO,2012,10,118,559543,440.1806474211991,331.31357280586656,108.86707461533257,143.88527780706755,1432.6378848453091,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11001,Porto Velho,RO,2012,11,119,559543,426.95556909835346,364.76288983487336,62.1926792634801,159.7196283395557,1563.5438205821533,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11001,Porto Velho,RO,2012,12,120,559543,331.5205444443054,311.671219031087,19.849325413218423,140.72644997792844,1325.8230377290035,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11002,Guajará-Mirim,RO,2012,1,109,73193,91.53880835599033,118.55279003289134,-27.01398167690101,44.36899703523561,551.4530078012922,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11002,Guajará-Mirim,RO,2012,2,110,73193,94.27131009796018,97.01815964353364,-2.746849545573454,38.83568100774664,472.41539491481393,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11002,Guajará-Mirim,RO,2012,3,111,73193,94.27131009796018,112.22343058859782,-17.95212049063764,39.416337627915254,492.9433142513618,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11002,Guajará-Mirim,RO,2012,4,112,73193,120.23007664667387,129.83027709318353,-9.60020044650966,47.10149877720548,573.0739278346284,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11002,Guajará-Mirim,RO,2012,5,113,73193,178.97886409902586,130.41956047162418,48.559303627401675,53.93275313213012,581.647152050059,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11002,Guajará-Mirim,RO,2012,6,114,73193,147.55509406637245,115.68861231976213,31.86648174661032,42.8661210771522,470.60511251075866,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11002,Guajará-Mirim,RO,2012,7,115,73193,155.75259929228204,113.6727816064846,42.07981768579744,36.17149180932603,489.8350935198721,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11002,Guajará-Mirim,RO,2012,8,116,73193,143.45634145341768,119.5803301047861,23.87601134863158,47.818780484472555,501.48238219501854,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11002,Guajará-Mirim,RO,2012,9,117,73193,97.00381183993005,122.57445862618374,-25.57064678625369,60.69569494350553,584.8236853250994,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11002,Guajará-Mirim,RO,2012,10,118,73193,142.09009058243277,134.85517928404803,7.234911298384731,51.20025139016026,625.4696487369,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11002,Guajará-Mirim,RO,2012,11,119,73193,98.370062710915,126.46755497166392,-28.097492260748922,51.780908010328865,563.7492656401554,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11002,Guajará-Mirim,RO,2012,12,120,73193,99.7363135818999,109.5214286287981,-9.785115046898198,45.0862787425027,464.6960774937486,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11003,Ariquemes,RO,2012,1,109,176003,136.3613120230905,181.92659902260326,-45.56528699951275,78.05264682988357,799.3897831286961,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11003,Ariquemes,RO,2012,2,110,176003,110.79356601876106,152.21702232566852,-41.42345630690747,67.58407527144423,730.6409549837213,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11003,Ariquemes,RO,2012,3,111,176003,111.92991028562012,162.96723620220607,-51.03732591658594,74.37373226592729,745.3424089362106,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11003,Ariquemes,RO,2012,4,112,176003,116.47528735305647,160.80271932674944,-44.32743197369297,76.4049476429379,724.7177604927183,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11003,Ariquemes,RO,2012,5,113,176003,135.79313988966098,180.05766839094977,-44.264528501288794,82.92472287404192,871.0220848508262,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11003,Ariquemes,RO,2012,6,114,176003,164.20174656113818,205.01662068739324,-40.81487412625506,91.98706840224315,936.3476758918872,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11003,Ariquemes,RO,2012,7,115,176003,155.11099242626545,238.62264068073625,-83.5116482544708,109.273705561837,1053.320113861695,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11003,Ariquemes,RO,2012,8,116,176003,189.76949256546763,242.55843850712546,-52.78894594165783,104.13174775429965,1125.122867223852,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11003,Ariquemes,RO,2012,9,117,176003,111.92991028562012,206.3071244095472,-94.37721412392709,94.31657414930427,939.40160110907,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11003,Ariquemes,RO,2012,10,118,176003,144.88389402453367,202.4933228805458,-57.60942885601213,96.85914444640147,902.2005306727722,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11003,Ariquemes,RO,2012,11,119,176003,106.81636108475422,204.36784685079132,-97.5514857660371,93.60635898251735,931.3761697243774,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11003,Ariquemes,RO,2012,12,120,176003,119.88432015363375,177.84546667840294,-57.96114652476919,79.45887286012172,834.1335090879122,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11004,Ji-Paraná,RO,2012,1,109,294157,22.097043415590996,25.245138451046476,-3.14809503545548,10.181637696876159,118.53364019894133,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11004,Ji-Paraná,RO,2012,2,110,294157,21.75708890150498,19.5154345933273,2.2416543081776794,7.640477704083194,92.30614943720529,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11004,Ji-Paraná,RO,2012,3,111,294157,20.737225359246935,21.760617507914734,-1.0233921486677993,7.640477704083194,104.4850199043367,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11004,Ji-Paraná,RO,2012,4,112,294157,21.41713438741896,20.903172788403054,0.5139615990159072,6.799090281720305,106.21878792617534,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11004,Ji-Paraná,RO,2012,5,113,294157,17.677634732472793,24.168031273425438,-6.490396540952645,8.66034124634124,112.91589185366992,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11004,Ji-Paraná,RO,2012,6,114,294157,18.01758924655881,28.400129083036635,-10.382539836477825,12.399840901287408,139.8402893692823,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11004,Ji-Paraná,RO,2012,7,115,294157,22.776952443763022,31.853987117137695,-9.077034673374673,14.099613471717486,154.8747777547364,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11004,Ji-Paraná,RO,2012,8,116,294157,26.856406612795208,32.12411667805445,-5.267710065259241,12.739795415373425,160.8324806140938,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11004,Ji-Paraná,RO,2012,9,117,294157,19.717361816988888,27.245399596386896,-7.528037779398009,10.87854445075249,134.04406490411543,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11004,Ji-Paraná,RO,2012,10,118,294157,21.41713438741896,27.717246846362592,-6.30011245894363,10.70006833085733,135.5313659032421,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11004,Ji-Paraná,RO,2012,11,119,294157,16.65777119021475,27.304802956533965,-10.647031766319216,12.382843175583108,133.602124035804,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11004,Ji-Paraná,RO,2012,12,120,294157,19.037452788816854,26.301614714629807,-7.264161925812953,8.821819640532098,135.49737045183352,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11005,Alvorada D'Oeste,RO,2012,1,109,69841,25.772826849558285,20.293731910916172,5.479094938642113,1.431823713864349,101.05095860597635,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11005,Alvorada D'Oeste,RO,2012,2,110,69841,14.31823713864349,15.902917446328624,-1.5846803076851348,1.431823713864349,87.41283773141845,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11005,Alvorada D'Oeste,RO,2012,3,111,69841,28.63647427728698,17.32845388875717,11.308020388529808,2.863647427728698,90.27648515914714,TRUE,109
P. vivax,bell,model5_defor_ns_annual,11005,Alvorada D'Oeste,RO,2012,4,112,69841,15.75006085250784,14.845251086269567,0.904809766238273,1.3602325281711356,91.63671768731834,TRUE,109
