especie,modelo,codMicroRes,nomeMicroRes,siglaUF,ano,mes,idMes,populacao,real_taxa,pred_taxa,residual,ci_low,ci_high,covered,test_start
P. vivax,model6,11001,Porto Velho,RO,2012,1,109,559543,340.992559999857,299.46086066729004,41.53169933256697,152.65582805968444,1270.0677159753561,TRUE,109
P. vivax,model6,11001,Porto Velho,RO,2012,2,110,559543,263.2505455344808,246.60886871755508,16.641676816925724,113.89651912364198,1087.190796775225,TRUE,109
P. vivax,model6,11001,Porto Velho,RO,2012,3,111,559543,284.1604666665475,276.98175469826305,7.1787119682844605,130.1910666383102,1163.9588020938502,TRUE,109
P. vivax,model6,11002,Guajará-Mirim,RO,2012,1,109,73193,91.53880835599033,118.3917736215558,-26.852965265565473,45.73524790622054,531.5399013566871,TRUE,109
P. vivax,model6,11002,Guajará-Mirim,RO,2012,2,110,73193,94.27131009796018,96.85818926085034,-2.586879162890156,32.79002090363833,433.85296408126396,TRUE,109
P. vivax,model6,11002,Guajará-Mirim,RO,2012,3,111,73193,94.27131009796018,112.0316980526275,-17.760387954667323,44.36899703523561,516.3403604169793,TRUE,109
P. vivax,model6,11003,Ariquemes,RO,2012,1,109,176003,136.3613120230905,181.23688246410381,-44.87557044101331,74.94190439935683,817.0031192650121,TRUE,109
P. vivax,model6,11003,Ariquemes,RO,2012,2,110,176003,110.79356601876106,151.64334068128494,-40.849774662523885,63.038698204007886,642.2333710220846,TRUE,109
P. vivax,model6,11003,Ariquemes,RO,2012,3,111,176003,111.92991028562012,162.34881963904292,-50.41890935342279,66.14944063453463,712.8571672073768,TRUE,109
P. vivax,model6,11004,Ji-Paraná,RO,2012,1,109,294157,22.097043415590996,25.14562708797736,-3.048583672386364,9.000295760427255,118.72911404454075,TRUE,109
P. vivax,model6,11004,Ji-Paraná,RO,2012,2,110,294157,21.75708890150498,19.436859857630694,2.320229043874285,6.280659647739133,91.32028134635581,TRUE,109
P. vivax,model6,11004,Ji-Paraná,RO,2012,3,111,294157,20.737225359246935,21.677060713581902,-0.9398353543349671,7.818953823978352,104.28954605873724,TRUE,109
P. vivax,model6,11005,Alvorada D'Oeste,RO,2012,1,109,69841,25.772826849558285,20.29782083285267,5.475006016705617,1.431823713864349,90.95660142323274,TRUE,109
P. vivax,model6,11005,Alvorada D'Oeste,RO,2012,2,110,69841,14.31823713864349,15.904628705839922,-1.5863915671964328,0,78.82189544823234,TRUE,109
P. vivax,model6,11005,Alvorada D'Oeste,RO,2012,3,111,69841,28.63647427728698,17.344215047381038,11.292259229905941,2.863647427728698,87.41283773141845,TRUE,109
P. vivax,model6,11006,Cacoal,RO,2012,1,109,228654,11.370892265169207,9.542489065931333,1.828403199237874,1.519763485440885,42.717380846169256,TRUE,109
P. vivax,model6,11006,Cacoal,RO,2012,2,110,228654,9.184182214175129,8.335729824264018,0.8484523899111114,1.312026030596447,39.798122928092226,TRUE,109
P. vivax,model6,11006,Cacoal,RO,2012,3,111,228654,11.370892265169207,10.609582212414972,0.7613100527542347,2.831789516037332,44.63075214078912,TRUE,109
P. vivax,model6,11007,Vilhena,RO,2012,1,109,136730,4.388210341549038,8.038203455645588,-3.6499931140965503,0,42.80333503985956,TRUE,109
P. vivax,model6,11007,Vilhena,RO,2012,2,110,136730,6.582315512323557,7.4451389808800155,-0.8628234685564582,0.731368390258173,36.641556351934405,TRUE,109
P. vivax,model6,11007,Vilhena,RO,2012,3,111,136730,7.31368390258173,8.650457746908213,-1.3367738443264825,0.3473999853726332,46.14934542529065,TRUE,109
P. vivax,model6,11008,Colorado do Oeste,RO,2012,1,109,51890,7.708614376565812,6.417611067050418,1.2910033095153945,0,33.773366737328914,TRUE,109
P. vivax,model6,11008,Colorado do Oeste,RO,2012,2,110,51890,0,5.071869174245169,-5.071869174245169,0,27.991905954904567,TRUE,109
P. vivax,model6,11008,Colorado do Oeste,RO,2012,3,111,51890,3.854307188282906,5.377477820032885,-1.523170631749979,0,31.84621314318747,TRUE,109
P. vivax,model6,12001,Cruzeiro do Sul,AC,2012,1,109,135803,1572.1302180364205,1301.699866528665,270.4303515077554,609.0808008659603,5217.44733179679,TRUE,109
P. vivax,model6,12001,Cruzeiro do Sul,AC,2012,2,110,135803,1248.1314845769239,949.7057686761351,298.42571590078876,406.45272932114904,3825.062774754603,TRUE,109
P. vivax,model6,12001,Cruzeiro do Sul,AC,2012,3,111,135803,1029.4323394917637,987.3448695083786,42.087469983385176,419.5231327732083,3841.759754939137,TRUE,109
P. vivax,model6,12002,Tarauacá,AC,2012,1,109,76221,17.05566707337873,44.365378084980435,-27.309711011601706,13.742931737972476,204.73360360005768,TRUE,109
P. vivax,model6,12002,Tarauacá,AC,2012,2,110,76221,13.119743902599021,34.428468288173505,-21.308724385574486,7.183059786672966,157.5025255507012,TRUE,109
P. vivax,model6,12002,Tarauacá,AC,2012,3,111,76221,7.871846341559412,36.0351916895708,-28.16334534801139,7.806247622046422,155.63296204458072,TRUE,109
P. vivax,model6,12003,Sena Madureira,AC,2012,1,109,52651,1.8992991586104726,1.1058669274369735,0.7934322311734991,0,7.59719663444189,TRUE,109
P. vivax,model6,12003,Sena Madureira,AC,2012,2,110,52651,0,0.999898425502109,-0.999898425502109,0,9.496495793052363,TRUE,109
P. vivax,model6,12003,Sena Madureira,AC,2012,3,111,52651,7.59719663444189,1.0417424495186274,6.5554541849232635,0,8.594328692712345,TRUE,109
P. vivax,model6,12004,Rio Branco,AC,2012,1,109,433224,24.467711853452254,15.535034328791413,8.932677524660841,4.847376876627334,67.21695935589898,TRUE,109
P. vivax,model6,12004,Rio Branco,AC,2012,2,110,433224,21.46695473934962,12.906595610283464,8.560359129066157,3.9240669953649845,56.2064890218454,TRUE,109
P. vivax,model6,12004,Rio Branco,AC,2012,3,111,433224,12.695510867357303,16.558727613729925,-3.863216746372622,5.637960962458221,69.04049637139215,TRUE,109
P. vivax,model6,12005,Brasiléia,AC,2012,1,109,60887,13.139093731009902,2.8451063796371705,10.293987351372731,0,18.066253880138618,TRUE,109
P. vivax,model6,12005,Brasiléia,AC,2012,2,110,60887,9.854320298257427,1.9902243493755951,7.8640959488818325,0,14.78148044738614,TRUE,109
P. vivax,model6,12005,Brasiléia,AC,2012,3,111,60887,1.6423867163762378,1.9537645831519543,-0.31137786677571655,0,14.78148044738614,TRUE,109
P. vivax,model6,13001,Rio Negro,AM,2012,1,109,99826,1045.8197263238035,580.8610655628514,464.95866076095206,264.4601606795825,2620.209163945262,TRUE,109
P. vivax,model6,13001,Rio Negro,AM,2012,2,110,99826,1017.7709214032417,470.8985372743003,546.8723841289413,199.77260433153688,2071.2289383527336,TRUE,109
P. vivax,model6,13001,Rio Negro,AM,2012,3,111,99826,897.5617574579769,561.5324072310717,336.0293502269052,250.3856710676577,2577.4597800172296,TRUE,109
P. vivax,model6,13002,Japurá,AM,2012,1,109,25044,43.9226960549433,14.04188092418083,29.88081513076247,0,65.98386839163064,TRUE,109
P. vivax,model6,13002,Japurá,AM,2012,2,110,25044,107.81025395304265,10.752010045553561,97.05824390748909,0,69.97684076026185,FALSE,109
P. vivax,model6,13002,Japurá,AM,2012,3,111,25044,143.74700527072352,13.374301305529789,130.37270396519372,0,73.96981312889305,FALSE,109
P. vivax,model6,13003,Alto Solimões,AM,2012,1,109,231482,292.89534391442965,115.78985307404102,177.10549084038863,46.40749604720885,599.4742571776638,TRUE,109
P. vivax,model6,13003,Alto Solimões,AM,2012,2,110,231482,447.5509974857656,155.03061174119645,292.5203857445691,59.054267718440315,754.6915094910178,TRUE,109
P. vivax,model6,13003,Alto Solimões,AM,2012,3,111,231482,834.1901314141056,187.87027827343007,646.3198531406756,68.23424715528637,921.3243362334858,TRUE,109
P. vivax,model6,13004,Juruá,AM,2012,1,109,131695,532.2905197615703,244.24453815108745,288.04598161048284,102.96518470708835,1074.0157181366028,TRUE,109
P. vivax,model6,13004,Juruá,AM,2012,2,110,131695,527.7345381373628,215.9714876951026,311.76305044226024,94.84035081058506,975.0939671209978,TRUE,109
P. vivax,model6,13004,Juruá,AM,2012,3,111,131695,981.0547097460042,281.71406883279036,699.3406409132137,126.01085842287102,1247.6555677892093,TRUE,109
P. vivax,model6,13005,Tefé,AM,2012,1,109,87520,286.79159049360146,137.1951318271804,149.59645866642106,54.24474405850091,625.6855575868367,TRUE,109
P. vivax,model6,13005,Tefé,AM,2012,2,110,87520,294.7897623400366,141.8306069599716,152.959155380065,50.816956124314444,644.8811700182812,TRUE,109
P. vivax,model6,13005,Tefé,AM,2012,3,111,87520,298.217550274223,186.9219009308955,111.29564934332751,71.9835466179159,914.5909506398533,TRUE,109
P. vivax,model6,13006,Coari,AM,2012,1,109,156671,72.12566460927677,55.371615769709315,16.754048839567453,17.83993208698483,285.3272143536452,TRUE,109
P. vivax,model6,13006,Coari,AM,2012,2,110,156671,103.40139528055606,64.69560763468182,38.70578764587424,17.871846097873888,303.55011457129905,TRUE,109
P. vivax,model6,13006,Coari,AM,2012,3,111,156671,132.12400508071053,87.58366881401524,44.54033626669529,28.35559867493027,464.1733313759403,TRUE,109
P. vivax,model6,13007,Manaus,AM,2012,1,109,2106861,74.37605043711949,71.12778477364,3.2482656634794864,34.47901878671635,289.5421197696478,TRUE,109
P. vivax,model6,13007,Manaus,AM,2012,2,110,2106861,57.09916316263864,61.66039693135502,-4.561233768716377,30.932273177964753,267.1450560810606,TRUE,109
P. vivax,model6,13007,Manaus,AM,2012,3,111,2106861,50.12195868640599,71.55456434464044,-21.43260565823445,36.795260816921484,294.86520468127696,TRUE,109
P. vivax,model6,13008,Rio Preto da Eva,AM,2012,1,109,55600,303.9568345323741,283.8006823825457,20.156152149828415,140.19784172661872,1181.7895683453226,TRUE,109
P. vivax,model6,13008,Rio Preto da Eva,AM,2012,2,110,55600,212.23021582733813,203.276882641476,8.953333185862135,79.04676258992806,871.8974820143881,TRUE,109
P. vivax,model6,13008,Rio Preto da Eva,AM,2012,3,111,55600,197.84172661870502,177.0827692894819,20.758957329223136,77.24820143884892,772.0323741007189,TRUE,109
P. vivax,model6,13009,Itacoatiara,AM,2012,1,109,156384,23.02025782688766,18.7907076219457,4.229550204941962,5.723091876406796,94.52693370165727,TRUE,109
P. vivax,model6,13009,Itacoatiara,AM,2012,2,110,156384,18.544096582770617,13.543286680312471,5.000809902458146,3.1972580315121752,69.49240331491703,TRUE,109
P. vivax,model6,13009,Itacoatiara,AM,2012,3,111,156384,7.033967669326786,13.824558734003322,-6.790591064676536,3.1972580315121752,73.69679762635549,TRUE,109
P. vivax,model6,13010,Parintins,AM,2012,1,109,248506,20.120238545548194,11.324683237913321,8.795555307634872,2.605570891648492,53.9423595406147,TRUE,109
P. vivax,model6,13010,Parintins,AM,2012,2,110,248506,14.084166981883737,9.075024227947603,5.009142753936134,1.3983565789156003,45.06933434202796,TRUE,109
P. vivax,model6,13010,Parintins,AM,2012,3,111,248506,19.71783377463723,10.89693633521742,8.820897439419811,2.4144286254657836,55.59221910134961,TRUE,109
P. vivax,model6,13011,Boca do Acre,AM,2012,1,109,49500,68.68686868686869,58.03247996551123,10.654388721357464,18.18181818181818,300.35353535353505,TRUE,109
P. vivax,model6,13011,Boca do Acre,AM,2012,2,110,49500,58.58585858585859,52.25955683038043,6.3263017554781555,12.121212121212121,273.88888888888874,TRUE,109
P. vivax,model6,13011,Boca do Acre,AM,2012,3,111,49500,133.33333333333334,60.547835510873846,72.78549782245949,14.14141414141414,312.4747474747472,TRUE,109
P. vivax,model6,13012,Purus,AM,2012,1,109,70911,277.81303323884873,167.3885891296392,110.42444410920953,59.2291745991454,721.9260763492259,TRUE,109
P. vivax,model6,13012,Purus,AM,2012,2,110,70911,315.8889311954422,173.13344020743455,142.75549098800764,59.08815275486174,800.0169226213136,TRUE,109
P. vivax,model6,13012,Purus,AM,2012,3,111,70911,492.16623655004156,294.4382785729961,197.72795797704543,112.74696450480181,1258.796237537193,TRUE,109
P. vivax,model6,13013,Madeira,AM,2012,1,109,170985,162.0025148404831,192.00642429984543,-30.003909459362347,88.53115770389215,946.0917624352991,TRUE,109
P. vivax,model6,13013,Madeira,AM,2012,2,110,170985,103.51785244319677,203.00794897413635,-99.49009653093958,92.6835687340995,968.94464426704,TRUE,109
P. vivax,model6,13013,Madeira,AM,2012,3,111,170985,106.44208556306108,272.1578304162253,-165.7157448531642,123.3149106646782,1257.4202415416548,FALSE,109
P. vivax,model6,14001,Boa Vista,RR,2012,1,109,334076,144.27854739640082,179.8679588744935,-35.58941147809267,86.64944503645877,864.6535518863967,TRUE,109
P. vivax,model6,14001,Boa Vista,RR,2012,2,110,334076,124.82189681389862,137.02021461063555,-12.19831779673693,64.9403129826746,664.1976675965943,TRUE,109
P. vivax,model6,14001,Boa Vista,RR,2012,3,111,334076,122.72656521270609,137.5622855724999,-14.835720359793797,66.59412828218728,662.0948526682546,TRUE,109
P. vivax,model6,14002,Nordeste de Roraima,RR,2012,1,109,44023,545.1695704518092,633.9624035251998,-88.79283307339051,239.47709152034165,2719.657906094538,TRUE,109
P. vivax,model6,14002,Nordeste de Roraima,RR,2012,2,110,44023,436.1356563614474,511.81039170510735,-75.67473534365996,216.30738477613977,2254.1625968243866,TRUE,109
P. vivax,model6,14002,Nordeste de Roraima,RR,2012,3,111,44023,367.9894600549713,467.66564556269384,-99.67618550772255,182.8021715921223,2061.7063807555137,TRUE,109
P. vivax,model6,14003,Caracaraí,RR,2012,1,109,43635,435.4302738627249,508.0373937163268,-72.60711985360189,207.7460753981896,2194.912341010655,TRUE,109
P. vivax,model6,14003,Caracaraí,RR,2012,2,110,43635,359.80291050762,374.306503947101,-14.503593439480994,143.1763492609144,1686.2037355334014,TRUE,109
P. vivax,model6,14003,Caracaraí,RR,2012,3,111,43635,263.54990260112294,366.8560503922888,-103.30614779116587,110.97742637790765,1584.3932622894436,TRUE,109
P. vivax,model6,14004,Sudeste de Roraima,RR,2012,1,109,47790,257.37602008788446,283.61248583723125,-26.23646574934679,117.75476041012767,1138.6273278928643,TRUE,109
P. vivax,model6,14004,Sudeste de Roraima,RR,2012,2,110,47790,259.46850805607863,203.37795380929975,56.09055424677888,78.415986608077,882.0359907930529,TRUE,109
P. vivax,model6,14004,Sudeste de Roraima,RR,2012,3,111,47790,280.3933877380205,209.41524972242823,70.9781380155923,77.31743042477507,984.5679012345679,TRUE,109
P. vivax,model6,15001,Óbidos,PA,2012,1,109,189429,3.695315923116313,4.978896400438378,-1.2835804773220651,0,26.39511373654509,TRUE,109
P. vivax,model6,15001,Óbidos,PA,2012,2,110,189429,2.6395113736545093,4.076915929768254,-1.4374045561137447,0,24.283504637621483,TRUE,109
P. vivax,model6,15001,Óbidos,PA,2012,3,111,189429,2.6395113736545093,4.671402775070205,-2.0318914014156957,0.5279022747309018,27.200164705509703,TRUE,109
P. vivax,model6,15002,Santarém,PA,2012,1,109,492734,40.18395320801893,27.99352842716767,12.190424780851256,10.649762346418148,139.33988724139192,TRUE,109
P. vivax,model6,15002,Santarém,PA,2012,2,110,492734,34.907272483733614,27.95306858971929,6.954203894014324,10.949112502892028,127.76163203675816,TRUE,109
P. vivax,model6,15002,Santarém,PA,2012,3,111,492734,31.457135087085526,32.07307070471738,-0.6159356176318553,12.166808054650176,155.0532335905377,TRUE,109
P. vivax,model6,15003,Almeirim,PA,2012,1,109,69092,144.73455682278703,139.67193090111886,5.062625921668172,50.657094887975454,868.4073409367207,TRUE,109
P. vivax,model6,15003,Almeirim,PA,2012,2,110,69092,150.5239390956985,112.28522275749933,38.23871633819917,32.38435708909861,719.3669310484563,TRUE,109
P. vivax,model6,15003,Almeirim,PA,2012,3,111,69092,108.55091761709026,94.95571170310858,13.595205913981687,33.97643721414926,603.7602037862557,TRUE,109
P. vivax,model6,15004,Portel,PA,2012,1,109,135041,479.1137506386949,223.30501881046186,255.80873182823305,85.47404121711185,997.8821246880574,TRUE,109
P. vivax,model6,15004,Portel,PA,2012,2,110,135041,593.8937063558475,220.77296268384274,373.1207436720048,99.22912300708673,1027.002910227264,TRUE,109
P. vivax,model6,15004,Portel,PA,2012,3,111,135041,388.7708177516458,244.34526772443215,144.42555002721363,104.15355336527426,1184.6031945853474,TRUE,109
P. vivax,model6,15005,Furos de Breves,PA,2012,1,109,209923,1253.3166923109902,688.1969257870106,565.1197665239796,248.24578535939372,2842.1016277396943,TRUE,109
P. vivax,model6,15005,Furos de Breves,PA,2012,2,110,209923,1816.8566569646966,777.091128717118,1039.7655282475787,313.6507195495492,3193.2184658184187,TRUE,109
P. vivax,model6,15005,Furos de Breves,PA,2012,3,111,209923,1729.2054705773069,861.9061902706096,867.2992803066973,359.3341368025419,3598.8433854317977,TRUE,109
P. vivax,model6,15006,Arari,PA,2012,1,109,158333,50.52642216088876,44.210342730088264,6.316079430800492,15.789506925277738,210.07938964082024,TRUE,109
P. vivax,model6,15006,Arari,PA,2012,2,110,158333,209.68465196768835,56.5302965571816,153.15435541050675,21.773730049958,289.6269255303695,TRUE,109
P. vivax,model6,15006,Arari,PA,2012,3,111,158333,248.21104886536602,72.32901994183722,175.88202892352882,29.65269400567159,377.74816368034396,TRUE,109
P. vivax,model6,15007,Belém,PA,2012,1,109,2185084,5.079896241975137,3.67842077788315,1.4014754640919866,1.5296894764686393,19.847063087734796,TRUE,109
