especie,familia,modelo,codMicroRes,nomeMicroRes,siglaUF,ano,mes,idMes,populacao,real_taxa,pred_taxa,residual,ci_low,ci_high,covered,test_start
P. vivax,bell,model6_cnes,11001,Porto Velho,RO,2012,1,109,559543,340.992559999857,284.9997251607775,55.992834839079535,114.38352369701705,1180.0925040613497,TRUE,109
P. vivax,bell,model6_cnes,11001,Porto Velho,RO,2012,2,110,559543,263.2505455344808,234.69180180912412,28.558743725356692,95.67629297480266,922.7351606578939,TRUE,109
P. vivax,bell,model6_cnes,11001,Porto Velho,RO,2012,3,111,559543,284.1604666665475,263.603266952938,20.55719971360952,105.4655316928279,1069.1314161735547,TRUE,109
P. vivax,bell,model6_cnes,11002,Guajará-Mirim,RO,2012,1,109,73193,91.53880835599033,112.76211075169557,-21.223302395705247,40.270244422280825,558.1476370691187,TRUE,109
P. vivax,bell,model6_cnes,11002,Guajará-Mirim,RO,2012,2,110,73193,94.27131009796018,92.25303680040662,2.018273297553563,31.423770032653394,455.2347902121785,TRUE,109
P. vivax,bell,model6_cnes,11002,Guajará-Mirim,RO,2012,3,111,73193,94.27131009796018,106.7274783668998,-12.45616826893962,38.90399355129589,520.9173008347783,TRUE,109
P. vivax,bell,model6_cnes,11003,Ariquemes,RO,2012,1,109,176003,136.3613120230905,172.77610864465208,-36.41479662156158,61.93076254382028,793.87851343443,TRUE,109
P. vivax,bell,model6_cnes,11003,Ariquemes,RO,2012,2,110,176003,110.79356601876106,144.5519460332713,-33.75838001451024,54.51611620256473,669.2499559666587,TRUE,109
P. vivax,bell,model6_cnes,11003,Ariquemes,RO,2012,3,111,176003,111.92991028562012,154.76861254224934,-42.83870225662922,55.0558797293228,749.234388050202,TRUE,109
P. vivax,bell,model6_cnes,11004,Ji-Paraná,RO,2012,1,109,294157,22.097043415590996,23.97227285044959,-1.8752294348585927,7.300523189997179,102.18182807140403,TRUE,109
P. vivax,bell,model6_cnes,11004,Ji-Paraná,RO,2012,2,110,294157,21.75708890150498,18.528441336042853,3.2286475654621256,6.119181253548275,95.9946559150383,TRUE,109
P. vivax,bell,model6_cnes,11004,Ji-Paraná,RO,2012,3,111,294157,20.737225359246935,20.663386720334067,0.0738386389128678,7.640477704083194,87.56378396570537,TRUE,109
P. vivax,bell,model6_cnes,11005,Alvorada D'Oeste,RO,2012,1,109,69841,25.772826849558285,19.326748173023564,6.4460786765347216,0,93.211723772569,TRUE,109
P. vivax,bell,model6_cnes,11005,Alvorada D'Oeste,RO,2012,2,110,69841,14.31823713864349,15.139866113444185,-0.8216289748006957,1.431823713864349,83.79748285391099,TRUE,109
P. vivax,bell,model6_cnes,11005,Alvorada D'Oeste,RO,2012,3,111,69841,28.63647427728698,16.504212512842706,12.132261764444273,0.6801162640855678,89.66796008075468,TRUE,109
P. vivax,bell,model6_cnes,11006,Cacoal,RO,2012,1,109,228654,11.370892265169207,9.096108741657716,2.2747835235114913,1.519763485440885,40.67280694848986,TRUE,109
P. vivax,bell,model6_cnes,11006,Cacoal,RO,2012,2,110,228654,9.184182214175129,7.9460022488467255,1.2381799653284036,0.8746840203976313,39.6122525737577,TRUE,109
P. vivax,bell,model6_cnes,11006,Cacoal,RO,2012,3,111,228654,11.370892265169207,10.111631299138905,1.2592609660303022,3.0613940713917094,48.12948822237964,TRUE,109
P. vivax,bell,model6_cnes,11007,Vilhena,RO,2012,1,109,136730,4.388210341549038,7.659752152109444,-3.2715418105604064,0.731368390258173,39.53046149345422,TRUE,109
P. vivax,bell,model6_cnes,11007,Vilhena,RO,2012,2,110,136730,6.582315512323557,7.093529892134318,-0.5112143798107605,0.3473999853726332,39.183061508081565,TRUE,109
P. vivax,bell,model6_cnes,11007,Vilhena,RO,2012,3,111,136730,7.31368390258173,8.241934581528808,-0.9282506789470775,0.731368390258173,43.53470343011773,TRUE,109
P. vivax,bell,model6_cnes,11008,Colorado do Oeste,RO,2012,1,109,51890,7.708614376565812,6.12443359421474,1.5841807823510718,0,40.47022547697052,TRUE,109
P. vivax,bell,model6_cnes,11008,Colorado do Oeste,RO,2012,2,110,51890,0,4.8410197358117,-4.8410197358117,0,30.83445750626325,TRUE,109
P. vivax,bell,model6_cnes,11008,Colorado do Oeste,RO,2012,3,111,51890,3.854307188282906,5.134163096658035,-1.2798559083751293,0,32.7616111004047,TRUE,109
P. vivax,bell,model6_cnes,12001,Cruzeiro do Sul,AC,2012,1,109,135803,1572.1302180364205,1231.3348712792028,340.79534675721766,510.73982165342443,5515.23162227638,TRUE,109
P. vivax,bell,model6_cnes,12001,Cruzeiro do Sul,AC,2012,2,110,135803,1248.1314845769239,898.3535553659024,349.7779292110215,362.5104010957049,3737.6567527963275,TRUE,109
P. vivax,bell,model6_cnes,12001,Cruzeiro do Sul,AC,2012,3,111,135803,1029.4323394917637,933.9416307642451,95.49070872751861,367.6649264007423,3933.160534008819,TRUE,109
P. vivax,bell,model6_cnes,12002,Tarauacá,AC,2012,1,109,76221,17.05566707337873,42.169941113548994,-25.114274040170265,7.183059786672966,189.3179045145035,TRUE,109
P. vivax,bell,model6_cnes,12002,Tarauacá,AC,2012,2,110,76221,13.119743902599021,32.730253464276196,-19.610509561677176,9.80700856719277,143.75959381272867,TRUE,109
P. vivax,bell,model6_cnes,12002,Tarauacá,AC,2012,3,111,76221,7.871846341559412,34.25878318702169,-26.38693684546228,7.806247622046422,147.76111570302132,TRUE,109
P. vivax,bell,model6_cnes,12003,Sena Madureira,AC,2012,1,109,52651,1.8992991586104726,1.0485030492113538,0.8507961093991188,0,9.496495793052363,TRUE,109
P. vivax,bell,model6_cnes,12003,Sena Madureira,AC,2012,2,110,52651,0,0.9479713709239794,-0.9479713709239794,0,9.496495793052363,TRUE,109
P. vivax,bell,model6_cnes,12003,Sena Madureira,AC,2012,3,111,52651,7.59719663444189,0.9882714280992076,6.608925206342683,0,9.496495793052363,TRUE,109
