especie,modelo,codMicroRes,nomeMicroRes,siglaUF,ano,mes,idMes,populacao,real_taxa,pred_taxa,residual,ci_low,ci_high,covered,test_start
P. vivax,paper_replica_corrigido,11001,Porto Velho,RO,2012,1,109,559543,340.992559999857,1549.5095219937825,-1208.5169619939256,768.2501273552771,11865.564525080179,FALSE,109
P. vivax,paper_replica_corrigido,11001,Porto Velho,RO,2012,2,110,559543,263.2505455344808,1429.8026351002702,-1166.5520895657894,639.4706253572494,9252.41736710511,FALSE,109
P. vivax,paper_replica_corrigido,11001,Porto Velho,RO,2012,3,111,559543,284.1604666665475,1470.9821119780304,-1186.8216453114828,514.6324787097936,8554.026335311424,FALSE,109
P. vivax,paper_replica_corrigido,11002,Guajará-Mirim,RO,2012,1,109,73193,91.53880835599033,586.3815945843701,-494.84278622837974,169.64905452575357,3733.1525537726275,FALSE,109
P. vivax,paper_replica_corrigido,11002,Guajará-Mirim,RO,2012,2,110,73193,94.27131009796018,541.081265572693,-446.8099554747329,126.41802132614067,3339.2698068428217,FALSE,109
P. vivax,paper_replica_corrigido,11002,Guajará-Mirim,RO,2012,3,111,73193,94.27131009796018,556.6655167254639,-462.39420662750376,187.55281574983567,3752.148007754278,FALSE,109
P. vivax,paper_replica_corrigido,11003,Ariquemes,RO,2012,1,109,176003,136.3613120230905,1221.172029925481,-1084.8107179023905,469.15717661561507,7769.831220698933,FALSE,109
P. vivax,paper_replica_corrigido,11003,Ariquemes,RO,2012,2,110,176003,110.79356601876106,1126.830934756408,-1016.0373687376468,364.7386062444214,7182.18166640122,FALSE,109
P. vivax,paper_replica_corrigido,11003,Ariquemes,RO,2012,3,111,176003,111.92991028562012,1159.2847941179457,-1047.3548838323256,449.63544389404404,7697.373812736994,FALSE,109
P. vivax,paper_replica_corrigido,11004,Ji-Paraná,RO,2012,1,109,294157,22.097043415590996,168.0752379765162,-145.9781945609252,48.84054225197407,1036.6798968322237,FALSE,109
P. vivax,paper_replica_corrigido,11004,Ji-Paraná,RO,2012,2,110,294157,21.75708890150498,155.09071149426202,-133.33362259275705,54.32763320575536,1115.020343914923,FALSE,109
P. vivax,paper_replica_corrigido,11004,Ji-Paraná,RO,2012,3,111,294157,20.737225359246935,159.55757893633526,-138.82035357708833,51.01364758020428,954.2648772590916,FALSE,109
P. vivax,paper_replica_corrigido,11005,Alvorada D'Oeste,RO,2012,1,109,69841,25.772826849558285,98.94012328227709,-73.1672964327188,4.3475353791784634,755.7847030224427,TRUE,109
P. vivax,paper_replica_corrigido,11005,Alvorada D'Oeste,RO,2012,2,110,69841,14.31823713864349,91.29685543236525,-76.97861829372175,0,521.7042455014141,TRUE,109
P. vivax,paper_replica_corrigido,11005,Alvorada D'Oeste,RO,2012,3,111,69841,28.63647427728698,93.92671332809479,-65.29023905080781,4.3475353791784634,577.993387779197,TRUE,109
P. vivax,paper_replica_corrigido,11006,Cacoal,RO,2012,1,109,228654,11.370892265169209,79.72926497674945,-68.35837271158024,23.693044384558867,471.13513922215725,FALSE,109
P. vivax,paper_replica_corrigido,11006,Cacoal,RO,2012,2,110,228654,9.184182214175127,73.56994791256281,-64.38576569838769,15.306126018343342,522.155559283301,FALSE,109
P. vivax,paper_replica_corrigido,11006,Cacoal,RO,2012,3,111,228654,11.370892265169209,75.68901550800047,-64.31812324283126,19.56947618783623,579.1167131871819,FALSE,109
P. vivax,paper_replica_corrigido,11007,Vilhena,RO,2012,1,109,136730,4.388210341549038,46.297294626232265,-41.909084284683225,2.2206993228786884,268.93837589178133,TRUE,109
P. vivax,paper_replica_corrigido,11007,Vilhena,RO,2012,2,110,136730,6.582315512323557,42.720847518175376,-36.138532005851815,4.675156469218278,287.63900176865445,TRUE,109
P. vivax,paper_replica_corrigido,11007,Vilhena,RO,2012,3,111,136730,7.31368390258173,43.95148353483865,-36.63779963225692,4.675156469218278,304.1189283226488,TRUE,109
